Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,43.54,43.3,43.1025,43.52,6366.0,656396.0
2015-02-17,43.65,42.78,42.53,42.89,10831.0,1545843.0
2015-02-18,43.31,43.25,42.5801,43.1,7675.0,867323.0
2015-02-19,43.196,42.08,41.9,43.09,5830.0,694771.0
2015-02-20,42.41,42.25,41.98,42.1,5523.0,671620.0
2015-02-23,42.65,42.47,42.0801,42.36,6262.0,757226.0
2015-02-24,42.27,41.69,41.45,42.27,5678.0,659358.0
2015-02-25,42.02,41.54,41.44,41.73,6317.0,871915.0
2015-02-26,41.59,41.01,40.989,41.55,6754.0,760963.0
2015-02-27,41.34,41.27,40.76,41.08,8443.0,1190714.0
2015-03-02,41.83,41.44,41.21,41.39,4425.0,528149.0
2015-03-03,41.47,41.41,41.02,41.28,4096.0,433231.0
2015-03-04,41.41,40.92,40.76,41.3,5493.0,521319.0
2015-03-05,41.43,41.06,41.01,41.01,6484.0,721266.0
2015-03-06,40.44,40.12,39.61,40.44,11314.0,1392652.0
2015-03-09,40.76,40.66,40.16,40.26,6147.0,714476.0
2015-03-10,41.1,40.75,40.56,40.6,6386.0,823319.0
2015-03-11,41.05,40.94,40.56,40.78,7125.0,911098.0
2015-03-12,41.42,41.34,40.91,41.19,5212.0,588835.0
2015-03-13,41.34,41.17,40.89,41.33,3733.0,461230.0
2015-03-16,41.98,41.8,41.0,41.38,5648.0,623042.0
2015-03-17,41.95,41.78,41.49,41.77,5398.0,566618.0
2015-03-18,42.88,42.77,41.49,41.79,7237.0,636750.0
2015-03-19,42.89,42.26,42.26,42.58,6599.0,756569.0
2015-03-20,43.83,43.76,42.34,42.4,9064.0,2783628.0
2015-03-23,44.13,43.49,43.49,43.75,5106.0,623759.0
2015-03-24,43.44,42.58,42.58,43.42,5866.0,689776.0
2015-03-25,42.9,41.99,41.91,42.65,4561.0,639378.0
2015-03-26,42.11,41.79,41.64,41.9,4296.0,439049.0
2015-03-27,42.19,42.08,41.7,41.85,4476.0,505244.0
2015-03-30,42.8,42.77,41.94,42.19,5104.0,580589.0
2015-03-31,43.02,42.87,42.58,42.62,8267.0,1335913.0
2015-04-01,42.97,42.84,42.49,42.92,8803.0,911874.0
2015-04-02,43.48,43.36,42.68,42.84,6046.0,665393.0
2015-04-06,43.8,43.67,43.36,43.55,6925.0,873736.0
2015-04-07,43.69,43.12,43.11,43.63,7762.0,1016286.0
2015-04-08,43.31,42.83,42.785,43.31,5071.0,600508.0
2015-04-09,42.82,41.87,41.772,42.75,4332.0,499361.0
2015-04-10,42.45,41.83,41.73,42.12,3678.0,338568.0
2015-04-13,41.93,41.51,41.5,41.79,3414.0,411606.0
2015-04-14,41.84,41.54,41.49,41.68,3930.0,505317.0
2015-04-15,41.63,41.18,41.14,41.62,4332.0,486315.0
2015-04-16,41.56,41.39,40.83,41.03,4864.0,490684.0
2015-04-17,41.36,41.09,40.81,41.2,4106.0,446956.0
2015-04-20,41.29,41.16,40.98,41.14,4617.0,505256.0
2015-04-21,41.5,41.27,41.09,41.35,2826.0,301334.0
2015-04-22,41.74,41.74,41.17,41.24,4632.0,787994.0
2015-04-23,42.1,42.08,41.65,41.7,3950.0,481226.0
2015-04-24,42.37,42.21,41.9,42.17,4123.0,512014.0
2015-04-27,42.52,42.35,42.22,42.29,6655.0,1019226.0
2015-04-28,42.62,42.29,41.86,42.14,3694.0,406493.0
2015-04-29,42.25,41.28,41.1,41.91,4775.0,506948.0
2015-04-30,41.28,40.14,39.91,41.21,9454.0,930662.0
2015-05-01,40.675,40.35,40.07,40.14,5550.0,540941.0
2015-05-04,40.83,40.51,40.44,40.52,5863.0,634334.0
2015-05-05,40.47,39.35,39.26,40.4,6354.0,757948.0
2015-05-06,39.51,39.47,39.12,39.32,6299.0,727165.0
2015-05-07,40.33,40.17,39.45,39.6,4989.0,682806.0
2015-05-08,41.04,40.35,40.305,40.67,5365.0,724855.0
2015-05-11,40.42,39.58,39.53,40.17,5559.0,676263.0
2015-05-12,39.63,39.51,38.9,39.32,5239.0,591030.0
2015-05-13,39.97,38.92,38.8,39.66,6322.0,704957.0
2015-05-14,39.47,39.46,38.78,38.8,4408.0,477492.0
2015-05-15,39.9,39.54,39.44,39.44,5145.0,634433.0
2015-05-18,39.76,39.3,39.2,39.39,4099.0,513956.0
2015-05-19,39.49,39.22,39.13,39.16,3526.0,448229.0
2015-05-20,39.43,39.2,39.05,39.32,4709.0,560606.0
2015-05-21,39.43,39.12,38.95,39.2,3904.0,464660.0
2015-05-22,39.4,39.17,38.84,39.06,4439.0,517279.0
2015-05-26,39.21,38.77,38.66,39.11,6082.0,888566.0
2015-05-27,39.39,39.33,38.7,38.84,5516.0,641172.0
2015-05-28,39.495,39.23,38.97,39.3,5644.0,915499.0
2015-05-29,39.84,39.01,38.97,39.5,10602.0,4520731.0
2015-06-01,39.86,39.83,38.91,39.04,7548.0,1062481.0
2015-06-02,39.8,39.59,39.11,39.75,6658.0,799061.0
2015-06-03,39.58,38.85,38.8,39.48,6864.0,954463.0
2015-06-04,39.1,38.81,38.59,38.81,4422.0,505565.0
2015-06-05,39.02,38.67,37.871,38.31,6744.0,755809.0
2015-06-08,38.98,38.66,38.38,38.67,5006.0,572910.0
2015-06-09,38.73,38.37,38.2402,38.54,4079.0,543788.0
2015-06-10,38.955,38.74,38.22,38.38,6641.0,782592.0
2015-06-11,39.42,39.24,38.81,39.02,7302.0,884659.0
2015-06-12,39.39,38.85,38.79,39.18,4516.0,678588.0
2015-06-15,38.99,38.61,38.56,38.85,3663.0,421284.0
2015-06-16,38.99,38.86,38.56,38.67,5147.0,688266.0
2015-06-17,39.21,39.12,38.53,38.9,4548.0,502445.0
2015-06-18,39.91,39.71,39.102,39.13,6220.0,637741.0
2015-06-19,39.75,39.54,39.29,39.6,4797.0,1159605.0
2015-06-22,40.01,39.08,39.05,39.63,5417.0,693496.0
2015-06-23,39.0,38.76,38.59,38.87,7382.0,905240.0
2015-06-24,39.1,38.66,38.65,38.76,5328.0,684053.0
2015-06-25,38.81,38.36,38.329,38.64,5615.0,730608.0
2015-06-26,38.79,38.57,38.18,38.32,5469.0,841106.0
2015-06-29,38.79,37.99,37.96,38.46,5970.0,685246.0
2015-06-30,38.21,37.69,37.59,38.21,8016.0,1080225.0
2015-07-01,38.64,38.64,37.56,37.69,7038.0,1095618.0
2015-07-02,39.29,38.48,38.41,38.92,5286.0,637344.0
2015-07-06,38.98,38.8,38.37,38.41,6093.0,698549.0
2015-07-07,39.12,38.36,38.25,38.79,16526.0,3323207.0
2015-07-08,38.39,38.23,38.1,38.13,8735.0,1221439.0
2015-07-09,38.5,38.05,37.97,38.38,7818.0,1063716.0
2015-07-10,38.51,38.37,37.8464,38.1,11487.0,1497731.0
2015-07-13,38.96,38.46,38.23,38.66,8084.0,1249036.0
2015-07-14,39.24,39.1,38.19,38.55,8706.0,1718754.0
2015-07-15,39.18,38.98,38.72,38.97,5692.0,804346.0
2015-07-16,39.33,38.96,38.8,39.1,7318.0,1082622.0
2015-07-17,39.0,38.97,38.68,38.97,6609.0,1088136.0
2015-07-20,39.42,39.42,38.75,38.92,7546.0,1032238.0
2015-07-21,39.67,39.16,39.13,39.49,5310.0,659803.0
2015-07-22,39.57,39.27,39.16,39.16,5004.0,639961.0
2015-07-23,39.27,38.86,38.66,39.19,5401.0,639331.0
2015-07-24,39.015,38.73,38.68,38.77,7595.0,1135985.0
2015-07-27,39.0,38.67,38.55,38.8,7271.0,1046007.0
2015-07-28,38.71,37.7,37.59,38.35,8708.0,1168820.0
2015-07-29,37.82,37.81,36.93,37.61,9174.0,1269101.0
2015-07-30,37.76,37.09,37.075,37.68,6562.0,827150.0
2015-07-31,37.5,37.32,37.07,37.41,6842.0,938133.0
2015-08-03,37.59,37.51,37.3,37.39,5553.0,1017828.0
2015-08-04,37.61,37.1,36.96,37.52,6794.0,970279.0
2015-08-05,37.3,36.63,36.55,37.18,6037.0,754591.0
2015-08-06,36.8,36.75,36.11,36.63,5203.0,637000.0
2015-08-07,37.19,37.14,36.36,36.71,5746.0,754618.0
2015-08-10,37.37,36.82,36.66,37.27,4537.0,586031.0
2015-08-11,37.19,37.16,36.73,36.79,4794.0,707873.0
2015-08-12,37.25,37.24,36.66,37.08,6710.0,1028622.0
2015-08-13,37.235,37.08,36.46,36.83,6124.0,728750.0
2015-08-14,37.44,37.41,36.8224,37.08,5336.0,586225.0
2015-08-17,37.72,37.68,37.1,37.42,5122.0,687618.0
2015-08-18,37.74,37.61,37.38,37.59,6109.0,677188.0
2015-08-19,37.7,37.55,37.24,37.39,5949.0,676073.0
2015-08-20,37.815,37.51,37.05,37.38,7645.0,970341.0
2015-08-21,37.52,36.96,36.96,37.31,10090.0,1239555.0
2015-08-24,36.54,35.18,35.01,36.21,11352.0,1533520.0
2015-08-25,35.66,33.74,33.71,35.59,13731.0,1769035.0
2015-08-26,34.47,34.19,33.57,34.28,13670.0,1634065.0
2015-08-27,35.52,35.05,33.96,34.45,10019.0,1280916.0
2015-08-28,35.31,35.0,34.82,35.09,5923.0,822387.0
2015-08-31,35.04,34.25,34.22,35.04,7551.0,1091213.0
2015-09-01,34.09,33.55,33.35,33.82,7390.0,883779.0
2015-09-02,33.98,33.58,33.31,33.85,6285.0,723316.0
2015-09-03,33.89,33.49,33.4,33.69,6941.0,839903.0
2015-09-04,33.23,32.6,32.44,33.23,7071.0,802554.0
2015-09-08,33.0,32.69,32.56,32.87,11605.0,1547770.0
2015-09-09,33.15,32.26,32.19,32.91,8228.0,960973.0
2015-09-10,32.62,32.3,32.12,32.12,10820.0,1473885.0
2015-09-11,33.24,33.02,32.18,32.28,10918.0,1467876.0
2015-09-14,33.2,32.76,32.59,33.16,6681.0,806721.0
2015-09-15,33.72,33.65,32.45,32.71,10440.0,3251681.0
2015-09-16,34.49,34.19,33.65,33.7,11754.0,1129280.0
2015-09-17,35.03,34.5,33.98,34.21,10701.0,1099475.0
2015-09-18,35.08,34.79,34.0,34.21,15025.0,2134010.0
2015-09-21,35.58,35.37,34.74,34.74,8541.0,1166981.0
2015-09-22,35.37,35.1,35.0,35.17,8278.0,1462974.0
2015-09-23,36.01,36.01,35.02,35.23,12597.0,1662449.0
2015-09-24,36.81,36.58,35.575,35.96,19223.0,2859044.0
2015-09-25,36.94,36.46,36.17,36.58,13958.0,1857467.0
2015-09-28,36.39,36.22,36.0,36.36,13166.0,1885238.0
2015-09-29,36.9,36.77,35.8,36.25,12092.0,1522616.0
2015-09-30,36.95,36.24,36.15,36.95,9684.0,1396787.0
2015-10-01,36.4,36.32,35.89,36.35,7857.0,918187.0
2015-10-02,36.56,36.56,35.6601,36.19,6170.0,834046.0
2015-10-05,37.22,37.17,36.45,36.66,5899.0,640694.0
2015-10-06,37.41,37.18,36.93,37.11,5439.0,621530.0
2015-10-07,37.66,37.65,37.11,37.17,8935.0,1169137.0
2015-10-08,38.06,38.0,37.46,37.67,5096.0,564987.0
2015-10-09,38.02,37.75,37.57,38.02,5929.0,765573.0
2015-10-12,38.01,37.82,37.5,37.75,4835.0,583906.0
2015-10-13,38.03,37.52,37.46,37.64,6091.0,676852.0
2015-10-14,37.76,37.35,37.25,37.63,3981.0,376977.0
2015-10-15,37.89,37.89,37.26,37.38,3568.0,486567.0
2015-10-16,38.47,38.3,37.88,38.0,5475.0,566422.0
2015-10-19,39.15,39.12,38.07,38.3,5826.0,748330.0
2015-10-20,39.5,39.39,38.91,39.05,5308.0,556066.0
2015-10-21,39.64,39.44,39.17,39.51,4609.0,460844.0
2015-10-22,39.75,39.68,39.45,39.53,5294.0,603034.0
