,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,ACC,196819000.0,104064000.0,0.25592,5834748000.0,2972719000.0,1.760684982,26850000.0,4.21
1,ACC,192493000.0,100827000.0,0.2379,5819565000.0,2724771000.0,1.486050914,70197000.0,4.15
2,ACC,177874000.0,86034000.0,0.11349000000000001,5810170000.0,2733221000.0,1.43984989,15580000.0,1.84
3,ACC,180816000.0,70799000.0,-0.01278,6026102000.0,2921329000.0,1.6669629330000002,1855000.0,-1.39
4,ACC,202198000.0,108410000.0,0.25046999999999997,6006248000.0,2948281000.0,1.909657116,28359000.0,3.9
5,ACC,199995000.0,106751000.0,0.22612,6367537000.0,2623267000.0,1.9915980180000001,45587000.0,3.88
6,ACC,185983000.0,92809000.0,0.13881,6315057000.0,2590664000.0,1.9397755890000001,18438000.0,2.97
7,ACC,196411000.0,81345000.0,0.07122,6279375000.0,2484292000.0,1.901404286,9644000.0,
8,ACC,203972000.0,108520000.0,0.29495,5865913000.0,2125297000.0,1.826321654,25392000.0,
9,ACC,192938000.0,101542000.0,0.2524,5987966000.0,2208321000.0,1.812086663,34050000.0,
10,ACC,179008000.0,83870000.0,0.0536,6224973000.0,2360034000.0,1.6926175819999998,-2762000.0,
11,ACC,196938000.0,78700000.0,-0.01226,6686891000.0,2766285000.0,1.597770665,-1312000.0,
12,ACC,227563000.0,128698000.0,0.35143,6897370000.0,3024519000.0,1.51044135,39062000.0,
13,ACC,220409000.0,115185000.0,0.1862,7006952000.0,3134210000.0,1.693836313,25927000.0,
14,ACC,201059000.0,94391000.0,0.04319,6905017000.0,2827257000.0,1.55506086,46009000.0,
15,ACC,213469000.0,87632000.0,-0.02009,7046048000.0,2973722000.0,1.620144644,-2345000.0,
16,ACC,245873000.0,136276000.0,0.2822,7038846000.0,3027599000.0,1.8711566169999998,47504000.0,
17,ACC,242131000.0,130955000.0,0.23509000000000002,7325448000.0,3109423000.0,1.840497993,29640000.0,
18,ACC,217371000.0,106938000.0,0.07432000000000001,7382897000.0,3241362000.0,1.95058313283713,10386000.0,
19,ACC,227705000.0,96237000.0,0.044539999999999996,7668982000.0,3363469000.0,1.93833945691932,20223000.0,
20,ACC,,,,,,,,
