,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,AIV,244265000.0,135499000.0,0.59895,6215453000.0,3888284000.0,4.551567786000001,7567000.0,0.3
1,AIV,244783000.0,140793000.0,0.40316,6157694000.0,3866007000.0,3.4643660880000002,19088000.0,0.78
2,AIV,246387000.0,141258000.0,0.12707000000000002,6217662000.0,3935899000.0,3.4443456539999997,21925000.0,2.87
3,AIV,245875000.0,144966000.0,0.44127,6118681000.0,3849141000.0,3.7910781019999997,19537000.0,4.73
4,AIV,246239000.0,143362000.0,0.15370999999999999,6142213000.0,3917590000.0,3.907694953,19870000.0,1.94
5,AIV,251218000.0,145116000.0,1.45987,6274228000.0,3955638000.0,4.183285442,7892000.0,3.3
6,AIV,248904000.0,143580000.0,0.07384,6293847000.0,4055541000.0,3.9367633960000004,1015000.0,2.0
7,AIV,249493000.0,147804000.0,1.0696700000000001,6232818000.0,3884632000.0,4.108878425,7843000.0,2.86
8,AIV,246481000.0,144957000.0,0.07583,6187440000.0,3971036000.0,3.761362971,14092000.0,0.74
9,AIV,249092000.0,148861000.0,0.10452,6199202000.0,4341573000.0,3.875956434,16544000.0,1.45
10,AIV,254635000.0,151718000.0,0.11499000000000001,6169338000.0,4390522000.0,4.46883586,19868000.0,1.3
11,AIV,255229000.0,150512000.0,1.7768099999999998,6079040000.0,4088911000.0,4.57704074,-34289000.0,2.4
12,AIV,247720000.0,146274000.0,0.31062,6255290000.0,4254845000.0,3.734916912,83792000.0,
13,AIV,250187000.0,149618000.0,0.02907,6544356000.0,4485321000.0,3.8639820019999997,5037000.0,
14,AIV,242481000.0,146154000.0,-0.20057,6185021000.0,3646789000.0,4.169728245,569991000.0,
15,AIV,,161336000.0,,6190004000.0,4075665000.0,3.149928435,,
16,AIV,230235000.0,135004000.0,-0.11735999999999999,6283769000.0,3929023000.0,4.279737389,274133000.0,
17,AIV,224200000.0,132623000.0,0.1201,6240804000.0,3997447000.0,3.9581705080000003,64459000.0,
18,AIV,229827000.0,138995000.0,0.02484,6539178000.0,4254710000.0,4.400963777828,1979000.0,
19,AIV,230032000.0,,,,,4.508988042795269,133512000.0,
