Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,457.0,453.22,453.22,457.0,65.0,1612.0
2015-02-17,459.045,453.0,453.0,459.045,48.0,1184.0
2015-02-18,451.54,443.0,434.1643,451.54,132.0,3450.0
2015-02-19,439.999,433.5,433.5,435.01,74.0,1441.0
2015-02-20,436.437,433.98,424.0,424.85,84.0,4532.0
2015-02-23,436.77,435.02,435.02,436.77,68.0,1646.0
2015-02-24,434.75,434.75,430.77,431.604,62.0,923.0
2015-02-25,441.02,441.02,441.02,441.02,70.0,1307.0
2015-02-26,441.0,435.34,435.34,441.0,63.0,1855.0
2015-02-27,440.41,440.41,437.81,437.81,141.0,4054.0
2015-03-02,445.75,445.75,440.39,440.39,79.0,2191.0
2015-03-03,445.99,441.36,440.0,441.49,88.0,3206.0
2015-03-04,443.257,436.1,436.1,443.257,65.0,1389.0
2015-03-05,440.62,435.06,435.06,438.62,64.0,1847.0
2015-03-06,435.2,422.05,422.05,435.0,112.0,4573.0
2015-03-09,428.3,428.3,427.0,427.0,70.0,1086.0
2015-03-10,417.49,417.49,417.48,417.48,85.0,1833.0
2015-03-11,420.86,420.86,420.86,420.86,85.0,1980.0
2015-03-12,422.23,420.09,415.5001,418.0,163.0,7331.0
2015-03-13,425.0,417.01,415.87,425.0,63.0,2110.0
2015-03-16,425.87,425.87,411.49,417.66,235.0,13180.0
2015-03-17,430.84,430.84,416.55,416.55,104.0,3166.0
2015-03-18,434.94,434.94,428.35,429.1,213.0,5119.0
2015-03-19,435.98,431.69,431.69,435.91,68.0,2186.0
2015-03-20,456.55,456.55,430.98,434.44,322.0,11395.0
2015-03-23,461.49,461.49,450.0,450.0,131.0,5715.0
2015-03-24,464.4,457.08,457.08,461.06,82.0,4753.0
2015-03-25,459.01,450.53,450.01,459.01,141.0,5290.0
2015-03-26,450.83,447.35,447.02,450.0,84.0,2820.0
2015-03-27,450.19,450.19,443.0,446.806,87.0,2700.0
2015-03-30,458.475,458.38,450.98,452.0,115.0,2939.0
2015-03-31,460.6,456.58,456.58,460.5,167.0,4857.0
2015-04-01,459.02,459.02,456.51,456.51,87.0,1696.0
2015-04-02,452.99,452.99,452.99,452.99,61.0,1175.0
2015-04-06,464.9,464.8,461.81,464.9,57.0,1363.0
2015-04-07,464.99,464.99,464.99,464.99,35.0,631.0
2015-04-08,468.25,468.25,463.01,463.01,80.0,1931.0
2015-04-09,467.41,467.41,461.52,463.1832,42.0,1522.0
2015-04-10,461.9995,451.98,451.88,460.59,147.0,8265.0
2015-04-13,445.2095,435.49,435.49,445.01,108.0,5709.0
2015-04-14,435.99,434.0,433.5,435.99,37.0,1130.0
2015-04-15,453.99,447.95,435.0,437.04,109.0,3772.0
2015-04-16,443.9,443.01,440.0,440.0,75.0,2180.0
2015-04-17,440.0,438.0,438.0,438.76,85.0,1967.0
2015-04-20,440.57,440.57,440.57,440.57,60.0,789.0
2015-04-21,451.968,447.19,445.61,445.61,72.0,2467.0
2015-04-22,448.57,445.68,445.68,448.57,42.0,850.0
2015-04-23,444.88,444.88,443.74,443.74,54.0,1109.0
2015-04-24,444.79,444.79,444.79,444.79,35.0,535.0
2015-04-27,451.5,445.02,445.02,451.5,91.0,2205.0
2015-04-28,446.0,442.22,440.0,441.575,91.0,3041.0
2015-04-29,442.99,436.99,436.99,442.99,74.0,1328.0
2015-04-30,440.06,431.22,431.22,434.99,212.0,11283.0
2015-05-01,439.88,435.03,430.33,434.01,189.0,5630.0
2015-05-04,438.28,435.03,428.42,428.42,93.0,3240.0
2015-05-05,442.25,430.04,427.03,434.0005,144.0,4767.0
2015-05-06,429.5,423.02,423.02,429.5,122.0,2719.0
2015-05-07,430.9,425.98,419.55,430.0,114.0,3853.0
2015-05-08,440.0,430.17,424.085,426.01,146.0,8031.0
2015-05-11,430.99,430.99,425.2,426.1,79.0,2123.0
2015-05-12,426.0,424.38,424.01,426.0,71.0,1794.0
2015-05-13,426.97,425.0,423.9,423.9,119.0,3148.0
2015-05-14,425.26,423.77,423.77,425.26,105.0,1613.0
2015-05-15,422.42,421.1,417.1,422.42,111.0,2996.0
2015-05-18,422.08,422.08,417.79,417.79,102.0,2781.0
2015-05-19,430.485,423.0,423.0,423.0,85.0,2213.0
2015-05-20,426.9997,424.29,418.3,418.3,86.0,2232.0
2015-05-21,430.0,430.0,426.0,426.0,73.0,1512.0
2015-05-22,430.0,420.35,420.35,430.0,78.0,1442.0
2015-05-26,408.2499,400.0,390.76,407.25,118.0,3844.0
2015-05-27,408.51,408.0,396.08,396.4,123.0,5302.0
2015-05-28,406.39,405.09,405.09,406.39,80.0,1112.0
2015-05-29,410.0,403.85,399.43,405.33,212.0,16362.0
2015-06-01,410.75,410.75,405.99,406.0,98.0,2321.0
2015-06-02,405.0,405.0,405.0,405.0,174.0,2264.0
2015-06-03,407.85,406.05,396.77,402.7,98.0,4433.0
2015-06-04,410.55,402.0,402.0,405.0,103.0,2203.0
2015-06-05,406.5,406.5,402.07,405.0,151.0,3068.0
2015-06-08,413.47,405.0,405.0,405.0,116.0,3320.0
2015-06-09,411.08,406.49,401.39,401.39,114.0,2496.0
2015-06-10,419.4,406.0,402.386,407.8,198.0,3499.0
2015-06-11,410.72,404.11,401.356,401.356,296.0,3421.0
2015-06-12,422.02,405.15,405.15,407.74,65.0,1454.0
2015-06-15,405.79,405.79,391.74,400.47,179.0,8888.0
2015-06-16,405.0,401.21,401.21,405.0,132.0,3008.0
2015-06-17,405.94,402.26,390.56,390.56,201.0,3241.0
2015-06-18,423.64,423.64,401.31,401.31,301.0,8278.0
2015-06-19,422.01,420.99,404.47,422.01,131.0,6188.0
2015-06-22,421.01,418.75,417.68,421.01,137.0,2672.0
2015-06-23,416.0,416.0,398.0,398.0,201.0,4919.0
2015-06-24,409.3,404.1,398.03,402.01,129.0,5787.0
2015-06-25,407.49,402.52,402.01,403.01,117.0,3621.0
2015-06-26,403.94,401.01,400.22,403.3,103.0,8697.0
2015-06-29,416.96,408.56,403.94,403.94,245.0,8264.0
2015-06-30,416.0,410.0,409.0,416.0,219.0,6185.0
2015-07-01,421.03,414.0,399.96,414.0,103.0,4139.0
2015-07-02,423.31,409.42,409.21,423.31,79.0,2681.0
2015-07-06,414.95,410.6,409.0,409.0,113.0,3684.0
2015-07-07,425.55,421.66,407.98,414.0,231.0,7038.0
2015-07-08,421.0,414.2,414.2,418.0,66.0,2060.0
2015-07-09,421.2,420.0,411.67,416.99,123.0,6606.0
2015-07-10,428.0,423.7,413.71,428.0,160.0,8664.0
2015-07-13,434.5,429.98,424.0,427.0,122.0,3795.0
2015-07-14,429.5,418.35,418.35,426.99,188.0,7636.0
2015-07-15,423.0,420.0,416.0,419.5,102.0,3556.0
2015-07-16,419.24,419.24,417.0,418.0,80.0,2983.0
2015-07-17,415.81,415.0,412.62,414.25,87.0,3533.0
2015-07-20,412.4,408.06,403.856,408.0,118.0,5686.0
2015-07-21,414.0,414.0,405.0,406.99,267.0,14298.0
2015-07-22,411.755,410.02,406.6,408.5,145.0,7946.0
2015-07-23,410.51,405.8,405.0,410.01,99.0,3800.0
2015-07-24,407.53,400.52,399.906,400.0,101.0,3567.0
2015-07-27,408.6,404.53,400.0,407.51,168.0,3853.0
2015-07-28,414.0,408.0,401.99,401.99,206.0,8042.0
2015-07-29,417.5,408.0,407.0,408.0,144.0,5517.0
2015-07-30,409.0,405.47,403.99,407.01,151.0,11139.0
2015-07-31,407.01,405.47,403.8,407.01,210.0,4491.0
2015-08-03,406.6,405.12,400.03,406.6,108.0,1926.0
2015-08-04,401.99,387.0,366.51,401.99,203.0,15217.0
2015-08-05,392.0,388.42,379.54,390.01,218.0,9232.0
2015-08-06,398.044,390.0,385.5,390.0,137.0,5248.0
2015-08-07,388.254,386.0,376.14,386.06,91.0,2408.0
2015-08-10,393.79,389.42,387.54,393.79,87.0,2782.0
2015-08-11,387.8,386.6,380.0,387.8,124.0,3032.0
2015-08-12,382.89,382.3,379.0,382.2,184.0,4891.0
2015-08-13,385.56,382.3,377.37,385.56,49.0,894.0
2015-08-14,390.0,390.0,380.0,380.0,64.0,1155.0
2015-08-17,395.0,395.0,395.0,395.0,48.0,716.0
2015-08-18,390.3,388.0,386.0,390.1,94.0,3262.0
2015-08-19,391.38,380.0,380.0,388.9,194.0,10415.0
2015-08-20,380.94,375.56,373.199,378.1,227.0,11431.0
2015-08-21,381.5,379.5,363.0,363.0,246.0,14589.0
2015-08-24,385.0,366.0,364.62,365.83,153.0,5419.0
2015-08-25,377.7,357.8,357.8,375.8,234.0,8350.0
2015-08-26,370.0,370.0,362.06,362.06,144.0,5284.0
2015-08-27,390.0,375.8,370.4,378.28,177.0,5543.0
2015-08-28,377.86,369.0,369.0,375.5,76.0,2199.0
2015-08-31,375.51,363.0,361.5,363.0,171.0,11141.0
2015-09-01,362.0,357.5,356.0,361.39,207.0,8218.0
2015-09-02,371.95,364.16,357.58,360.89,156.0,5712.0
2015-09-03,367.0,364.87,360.0,365.39,68.0,1983.0
2015-09-04,359.71,358.32,358.32,359.71,43.0,830.0
2015-09-08,367.26,364.44,356.63,367.26,200.0,8069.0
2015-09-09,369.99,363.0,359.89,366.24,117.0,5403.0
2015-09-10,375.0,365.0,360.0,372.53,89.0,3027.0
2015-09-11,369.99,364.42,362.08,362.08,84.0,1679.0
2015-09-14,369.99,365.77,365.77,365.96,71.0,2551.0
2015-09-15,382.09,374.99,370.01,382.09,134.0,2916.0
2015-09-16,381.82,377.99,374.0,376.47,107.0,3184.0
2015-09-17,390.28,384.34,377.98,377.98,122.0,4037.0
2015-09-18,399.71,372.4,372.4,380.26,308.0,25567.0
2015-09-21,382.0,376.55,376.0,376.5,155.0,7273.0
2015-09-22,378.98,373.03,372.41,378.98,114.0,4886.0
2015-09-23,376.0,373.21,373.03,373.855,239.0,5120.0
2015-09-24,374.02,372.03,370.01,372.0,104.0,3897.0
2015-09-25,376.7,369.72,369.72,373.29,131.0,6654.0
2015-09-28,369.76,367.52,367.5,369.76,146.0,3557.0
2015-09-29,385.21,367.51,365.0,368.62,138.0,5015.0
2015-09-30,378.1,374.0,368.0,368.0,129.0,4581.0
2015-10-01,372.0,371.24,367.81,368.0,135.0,7531.0
2015-10-02,377.34,365.41,360.01,368.675,142.0,9622.0
2015-10-05,369.49,368.0,360.01,365.51,255.0,8089.0
2015-10-06,378.78,368.99,360.03,360.13,184.0,11966.0
2015-10-07,384.0,384.0,368.97,368.97,122.0,4214.0
2015-10-08,380.11,374.73,372.98,380.02,150.0,5116.0
2015-10-09,380.54,378.8,374.55,380.54,84.0,2544.0
2015-10-12,385.18,380.0,377.0,378.8,138.0,4161.0
2015-10-13,377.95,370.15,370.12,377.95,77.0,1922.0
2015-10-14,368.735,364.8,364.8,366.0687,72.0,2213.0
2015-10-15,370.01,370.01,360.1,360.1,96.0,3158.0
2015-10-16,377.09,365.42,360.1,371.98,136.0,6597.0
2015-10-19,376.0,375.48,363.73,365.94,209.0,12515.0
2015-10-20,381.31,377.0,368.36,373.89,111.0,7527.0
2015-10-21,375.71,372.05,366.49,375.71,57.0,1595.0
2015-10-22,385.0,385.0,369.43,372.11,174.0,7905.0
2015-10-23,384.68,377.2,377.02,383.72,74.0,2733.0
2015-10-26,383.55,382.07,377.1,380.7,136.0,2951.0
2015-10-27,384.98,381.4,378.29,383.28,120.0,3474.0
2015-10-28,395.9995,384.74,375.0,390.01,294.0,12639.0
2015-10-29,385.14,380.6,380.55,385.14,61.0,2153.0
2015-10-30,394.89,394.89,377.3,384.0,138.0,7333.0
2015-11-02,402.9,400.94,380.0,381.1,235.0,7738.0
2015-11-03,405.0,404.0,404.0,404.79,85.0,1766.0
2015-11-04,409.89,409.89,401.11,401.11,66.0,2161.0
2015-11-05,410.51,406.53,400.0,405.2,46.0,1299.0
2015-11-06,402.73,397.38,392.28,402.73,91.0,1831.0
2015-11-09,399.37,395.01,382.03,395.9,165.0,4270.0
2015-11-10,408.86,400.27,400.27,403.54,112.0,3210.0
2015-11-11,396.66,395.0,395.0,396.66,53.0,1231.0
2015-11-12,393.85,390.2,390.0,393.85,99.0,2556.0
2015-11-13,395.935,380.32,380.32,389.25,65.0,1881.0
2015-11-16,387.945,385.01,385.0062,385.0062,86.0,2355.0
2015-11-17,388.9,388.9,382.67,383.1,100.0,2597.0
2015-11-18,397.79,397.79,385.27,388.44,94.0,4607.0
2015-11-19,399.7,397.0,378.08,396.24,79.0,2734.0
2015-11-20,401.6,395.0,389.981,399.02,107.0,5083.0
2015-11-23,394.97,390.57,390.0,394.97,95.0,2116.0
2015-11-24,389.81,389.81,384.985,387.85,113.0,1776.0
2015-11-25,396.0,396.0,368.31,390.99,57.0,1940.0
2015-11-27,,,,,46.0,541.0
2015-11-30,400.72,400.72,391.63,397.2,163.0,8117.0
2015-12-01,396.915,396.89,392.01,395.01,106.0,4885.0
2015-12-02,394.34,389.16,389.16,394.33,147.0,4462.0
2015-12-03,389.3,383.41,383.41,385.395,110.0,4957.0
2015-12-04,389.08,389.08,387.01,387.01,66.0,1625.0
2015-12-07,389.72,389.0,385.0,385.0,108.0,2361.0
2015-12-08,385.01,385.01,375.33,375.33,67.0,942.0
2015-12-09,385.41,384.2,380.36,383.1,76.0,2213.0
2015-12-10,385.1,378.4,376.84,385.0,109.0,3584.0
2015-12-11,384.02,381.86,372.04,375.02,109.0,4100.0
2015-12-14,388.61,386.96,381.544,381.544,110.0,5156.0
2015-12-15,393.94,389.02,389.02,393.94,73.0,1432.0
2015-12-16,390.6,390.6,389.03,389.03,68.0,1575.0
2015-12-17,390.65,388.8,388.8,390.65,61.0,1412.0
2015-12-18,397.49,397.49,388.8,388.8,123.0,9512.0
2015-12-21,402.32,402.32,394.98,394.98,126.0,2254.0
2015-12-22,404.98,400.0,399.41,404.98,136.0,6142.0
2015-12-23,402.0,398.0,394.25,398.54,161.0,2088.0
2015-12-24,393.01,393.01,393.0,393.0,34.0,446.0
