,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,ALX,51286000,31168000,3.44659,1423216000,1032780000,6.691720687999999,18161000,
1,ALX,52036000,31720000,3.48685,1432872000,1032004000,6.001817567000001,17822000,
2,ALX,50646000,31197000,3.3922,1417939000,1031213000,5.557049033999999,17341000,
3,ALX,52414000,31933000,3.5540199999999995,1456701000,1060408000,5.683008084,18172000,
4,ALX,52819000,31441000,4.610130000000001,1447808000,1053262000,5.50658697,23572000,
5,ALX,55558000,34669000,4.30641,1448437000,1053051000,5.908094258999999,22019000,
6,ALX,57005000,35846000,4.256480000000001,1445835000,1052840000,5.9719806339999995,21767000,
7,ALX,57120000,34181000,4.11285,1451599000,1052612000,6.106154928,21036000,
8,ALX,57253000,34572000,4.23387,1451230000,1052359000,6.249666375,21655000,
9,ALX,57229000,43197000,4.236219999999999,1443932000,1051973000,6.160895872,21667000,
10,ALX,57190000,42888000,4.03885,1630255000,1239729000,6.274571231,20660000,
11,ALX,58094000,44024000,3.9677599999999997,1622057000,1240069000,5.909978036,20299000,
12,ALX,58061000,34699000,3.49551,1632395000,1240222000,5.660775877000001,17883000,
13,ALX,57880000,34342000,2.75548,1617268000,1240564000,6.277936567999999,-9700000,
14,ALX,58253000,35053000,3.4338800000000003,1524257000,1162632000,5.800828246,17570000,
15,ALX,59125000,31581000,2.9317900000000003,1500872000,1162928000,5.220263813,15003000,
16,ALX,57567000,32735000,1.9484700000000001,1285549000,965826000,6.738909822999999,9971000,
17,ALX,56778000,33684000,3.4910699999999997,1295712000,967112000,6.755790439,17865000,
18,ALX,55932000,32372000,2.20456,1276471000,968386000,6.624589214468711,11283000,
19,ALX,57760000,33038000,3.22211,1283383000,969673000,6.43743299655692,16493000,
