,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,AMH,116899000.0,57874000.0,-0.0607,6227351000.0,1778034000.0,1.014432102,-13743000.0,4.2
1,AMH,131748000.0,65019000.0,-0.056179999999999994,6576550000.0,2164806000.0,0.991220827,-12221000.0,0.5
2,AMH,153628000.0,74339000.0,-0.06365,6686962000.0,2291863000.0,1.001744299,-12128000.0,0.25
3,AMH,172613000.0,79406000.0,-0.11571,6965816000.0,2587172000.0,1.049610763,-23047000.0,1.6
4,AMH,172587000.0,87856000.0,-0.07304,6751219000.0,2524395000.0,1.0140511,-14905000.0,5.1
5,AMH,194959000.0,99778000.0,0.00475,8097710000.0,3393407000.0,1.330682485,1192000.0,4.7
6,AMH,220972000.0,114971000.0,-0.028999999999999998,8252400000.0,3094506000.0,1.2490220840000001,-2992000.0,4.5
7,AMH,236057000.0,114049000.0,-0.07411000000000001,8086499000.0,2926821000.0,1.220436726,-7483000.0,4.85
8,AMH,227559000.0,117669000.0,0.00392,8107210000.0,2922574000.0,1.3326945270000001,15978000.0,5.45
9,AMH,233754000.0,122118000.0,-0.0099,8490605000.0,2944096000.0,1.289885052,12097000.0,
10,AMH,237008000.0,123327000.0,0.02058,8146307000.0,2434703000.0,1.203840682,15096000.0,
11,AMH,246836000.0,121635000.0,0.04154,8509876000.0,2339235000.0,1.17356994,18788000.0,
12,AMH,242801000.0,128796000.0,-0.08304,8608768000.0,2475887000.0,1.11812602,35018000.0,
13,AMH,258004000.0,127972000.0,0.01701,8958033000.0,2824857000.0,1.235588439,20411000.0,
14,AMH,264483000.0,135723000.0,-0.052879999999999996,8830448000.0,2674381000.0,1.258580421,29048000.0,
15,AMH,280052000.0,137253000.0,0.03808,8971426000.0,2671703000.0,1.117200052,27400000.0,
16,AMH,270316000.0,140589000.0,0.03936,9001481000.0,2803543000.0,1.283306223,31414000.0,
17,AMH,279204000.0,141352000.0,0.03863,9191038000.0,2943925000.0,1.3737220330000002,30065000.0,
18,AMH,281860000.0,143619000.0,0.0348,9142623000.0,2841057000.0,1.4642891594947902,36300000.0,
19,AMH,298304000.0,142069000.0,0.03543,9140121000.0,2837115000.0,1.48004210572182,37302000.0,
20,AMH,,,,,,,,
