Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,96.83,96.4,95.5,95.95,14946.0,1748921.0
2015-02-17,97.25,96.22,96.08,96.46,17420.0,3051317.0
2015-02-18,96.72,96.2,95.475,96.12,17522.0,2429981.0
2015-02-19,96.19,95.26,95.19,96.19,16355.0,1731695.0
2015-02-20,96.6,96.53,95.24,95.3,18954.0,3039018.0
2015-02-23,97.54,97.33,96.278,96.53,21305.0,2621954.0
2015-02-24,96.65,94.65,94.05,95.42,50528.0,6782314.0
2015-02-25,98.85,97.85,94.38,94.39,44306.0,6038251.0
2015-02-26,100.8,98.88,97.42,97.56,92436.0,18726256.0
2015-02-27,99.7,99.14,98.7,99.4,32160.0,4150575.0
2015-03-02,99.89,99.4,98.76,98.81,22330.0,2911073.0
2015-03-03,99.47,98.28,98.15,99.31,24430.0,3117478.0
2015-03-04,98.93,98.56,97.69,98.34,23512.0,3103140.0
2015-03-05,99.57,99.24,98.37,98.42,16483.0,2153071.0
2015-03-06,98.18,96.61,96.2,98.18,26410.0,3799265.0
2015-03-09,97.45,96.58,96.37,97.0,17843.0,2366254.0
2015-03-10,96.23,94.57,94.51,95.94,21498.0,2642114.0
2015-03-11,95.07,94.63,94.24,94.51,16042.0,2146706.0
2015-03-12,96.291,96.27,95.0,95.5,17332.0,2231929.0
2015-03-13,96.29,94.24,93.89,96.22,19035.0,2510923.0
2015-03-16,95.0,94.61,94.04,94.73,20822.0,2881525.0
2015-03-17,94.88,94.12,93.85,94.45,20587.0,2764384.0
2015-03-18,95.98,95.51,93.21,94.1,29469.0,3494273.0
2015-03-19,95.62,94.59,94.57,95.5,20247.0,2758077.0
2015-03-20,97.77,97.69,94.39,94.7,21792.0,3581187.0
2015-03-23,98.31,97.64,97.35,97.72,14798.0,1888387.0
2015-03-24,98.01,97.16,97.15,97.77,16502.0,2271906.0
2015-03-25,97.38,95.47,95.47,97.13,14776.0,1827352.0
2015-03-26,95.885,95.2,94.61,94.62,13437.0,1475294.0
2015-03-27,96.37,96.04,95.58,95.8,19782.0,2380073.0
2015-03-30,96.74,96.16,95.72,96.57,18378.0,2564895.0
2015-03-31,96.62,94.15,94.15,95.81,25851.0,4335482.0
2015-04-01,97.24,96.46,95.61,96.26,27880.0,3388944.0
2015-04-02,97.29,96.78,96.4,96.56,12846.0,1526934.0
2015-04-06,98.16,98.04,96.5,96.69,18600.0,2604672.0
2015-04-07,98.64,96.87,96.86,98.04,19926.0,2338535.0
2015-04-08,97.57,96.53,96.21,96.67,11111.0,1344292.0
2015-04-09,96.61,95.34,95.22,96.28,14033.0,1737026.0
2015-04-10,95.95,95.07,95.01,95.55,12264.0,1468901.0
2015-04-13,95.79,94.78,94.78,95.0,12914.0,1645554.0
2015-04-14,95.14,94.5,93.89,94.8,15725.0,2372801.0
2015-04-15,96.57,95.17,95.09,96.0,18394.0,2404172.0
2015-04-16,96.94,96.76,94.45,94.57,22346.0,2774572.0
2015-04-17,96.55,96.1,95.32,96.24,18893.0,2320877.0
2015-04-20,96.5,95.84,95.51,96.14,15908.0,2222639.0
2015-04-21,96.2,94.98,94.83,95.84,15824.0,2150265.0
2015-04-22,96.04,95.92,94.86,94.98,14753.0,1837475.0
