,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,AMT,1046314000.0,609525000.0,0.43668999999999997,21263565000.0,14540341000.0,9.446975746,180387000.0,19.41
1,AMT,1079190000.0,683486000.0,0.46115,25930194000.0,15720104000.0,5.36863749,193317000.0,14.28
2,AMT,1174375000.0,718130000.0,0.46843999999999997,26469725000.0,16224025000.0,5.093626596,156056000.0,12.66
3,AMT,1237910000.0,742021000.0,0.18002,26926788000.0,17027408000.0,6.204101005,102999000.0,13.72
4,AMT,1280041000.0,754480000.0,0.48762,26904272000.0,17119009000.0,6.523636069,232702000.0,17.57
5,AMT,1289047000.0,793487000.0,0.58572,27064315000.0,17022095000.0,6.956998597,275159000.0,11.93
6,AMT,1442227000.0,830571000.0,0.37677,30740198000.0,18717076000.0,7.115191831000001,187550000.0,13.16
7,AMT,1514845000.0,877073000.0,0.5586800000000001,30655527000.0,18679136000.0,6.705982961,264509000.0,15.26
8,AMT,1539549000.0,877533000.0,0.47446000000000005,30879150000.0,18533465000.0,7.674577897000001,229207000.0,16.44
9,AMT,1616238000.0,952519000.0,0.79643,32057389000.0,18890084000.0,8.23076294,316080000.0,17.94
10,AMT,1662434000.0,973264000.0,0.80615,32138210000.0,19241972000.0,9.048630174,367051000.0,19.04
11,AMT,1680766000.0,993505000.0,0.72506,32319326000.0,19268763000.0,9.395367953,317268000.0,20.73
12,AMT,1704462000.0,977912000.0,0.78983,33214300000.0,20205100000.0,9.985532132000001,238501000.0,19.54
13,AMT,1741800000.0,994500000.0,0.8509,34372700000.0,21372000000.0,10.050976496,285200000.0,20.61
14,AMT,1780900000.0,1028900000.0,0.7689600000000001,33205700000.0,21113800000.0,11.548872357999999,306700000.0,22.72
15,AMT,1785500000.0,1017800000.0,0.83591,33077200000.0,21264200000.0,13.031229045,366900000.0,24.56
16,AMT,2131900000.0,1157200000.0,0.6381,33010400000.0,21159900000.0,16.288166189000002,277600000.0,24.25
17,AMT,1813400000.0,1069900000.0,0.93848,38926800000.0,21204300000.0,16.899262689,397400000.0,28.07
18,AMT,1889600000.0,1145800000.0,1.0446799999999998,39072700000.0,21058100000.0,17.859391361074398,429100000.0,28.18
19,AMT,1953600000.0,1171100000.0,1.12611,39307200000.0,21483600000.0,19.420719735087896,498600000.0,33.71
20,AMT,,,,,,,,34.94
