Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,96.07,94.9,94.5,96.07,3177.0,275918.0
2015-02-17,95.62,94.66,94.265,94.89,3251.0,294678.0
2015-02-18,96.29,96.28,94.0,94.75,4239.0,392050.0
2015-02-19,96.2,94.76,94.41,96.1,3749.0,319677.0
2015-02-20,96.37,96.09,94.75,94.85,3704.0,350234.0
2015-02-23,97.47,97.4,96.19,96.23,3473.0,356881.0
2015-02-24,97.39,95.7,95.08,97.01,4574.0,565525.0
2015-02-25,97.34,96.14,95.7,95.74,4924.0,542637.0
2015-02-26,96.115,95.04,94.495,95.66,3419.0,427873.0
2015-02-27,96.23,95.91,94.74,95.2,3543.0,394144.0
2015-03-02,97.8,97.41,96.12,96.17,3698.0,643098.0
2015-03-03,97.96,97.52,95.89,97.0,4723.0,439895.0
2015-03-04,97.965,97.09,96.5,97.21,4978.0,495867.0
2015-03-05,98.76,97.83,97.05,97.42,4797.0,424914.0
2015-03-06,96.34,94.74,94.25,96.34,7178.0,669682.0
2015-03-09,95.55,95.39,94.39,95.02,5009.0,571147.0
2015-03-10,95.635,94.14,94.07,95.05,6530.0,681556.0
2015-03-11,95.15,94.94,94.02,94.1,4487.0,580827.0
2015-03-12,97.47,97.46,95.66,95.83,3753.0,404098.0
2015-03-13,97.47,96.77,96.04,97.47,2779.0,235840.0
2015-03-16,98.36,97.43,96.38,97.22,3196.0,323966.0
2015-03-17,98.02,97.69,96.85,97.26,3426.0,325299.0
2015-03-18,99.65,99.4,96.81,97.7,5040.0,395789.0
2015-03-19,100.0,99.48,98.54,98.99,2619.0,503139.0
2015-03-20,102.65,102.42,99.28,99.9,4843.0,753026.0
2015-03-23,102.96,101.93,101.56,102.14,4039.0,391084.0
2015-03-24,102.17,101.09,101.08,102.06,4076.0,414041.0
2015-03-25,101.66,99.23,99.02,101.18,4663.0,425781.0
2015-03-26,99.5199,97.57,97.48,98.97,5864.0,541133.0
2015-03-27,97.69,97.4,96.6,97.24,3169.0,269236.0
2015-03-30,99.1,98.89,97.53,97.74,4413.0,375811.0
2015-03-31,99.4,98.04,97.77,98.83,3369.0,326312.0
2015-04-01,98.39,96.78,96.61,98.08,6713.0,588604.0
2015-04-02,97.78,96.94,96.54,96.61,7897.0,751431.0
2015-04-06,97.79,97.64,96.94,97.1,6463.0,772335.0
2015-04-07,97.82,95.75,95.75,97.6,3864.0,377385.0
2015-04-08,96.45,96.11,95.85,95.94,3998.0,319369.0
2015-04-09,95.93,94.27,94.05,95.9,4869.0,1015194.0
2015-04-10,95.84,95.01,94.63,95.08,4191.0,332419.0
2015-04-13,95.428,94.42,94.42,94.8,3137.0,319826.0
2015-04-14,95.5,93.58,93.55,94.84,6071.0,536946.0
2015-04-15,94.47,93.11,93.04,93.91,3804.0,310128.0
2015-04-16,93.52,93.16,92.24,92.7,4779.0,352894.0
2015-04-17,93.41,92.88,91.76,92.93,3809.0,299660.0
2015-04-20,93.85,93.01,92.55,92.95,3495.0,279312.0
2015-04-21,94.24,93.78,93.45,93.46,3885.0,344010.0
2015-04-22,94.17,93.54,93.32,93.69,2693.0,228671.0
2015-04-23,94.28,94.01,93.2,93.6,3080.0,288370.0
2015-04-24,95.02,94.26,93.63,94.0,3220.0,296988.0
2015-04-27,94.89,93.61,93.5,94.48,3738.0,306495.0
2015-04-28,94.63,93.96,92.95,93.4,4644.0,342404.0
2015-04-29,93.33,92.05,91.84,92.91,3905.0,377044.0
2015-04-30,92.56,92.38,91.08,92.5,6936.0,646430.0
2015-05-01,93.65,93.38,92.42,92.45,5328.0,507463.0
2015-05-04,94.2,93.29,93.04,93.69,4296.0,408082.0
2015-05-05,93.85,90.93,90.51,93.02,5045.0,416525.0
2015-05-06,91.84,90.51,89.61,90.94,6031.0,471644.0
2015-05-07,92.1,91.96,90.1,90.51,4682.0,431077.0
2015-05-08,94.8,93.66,93.06,93.18,3891.0,330760.0
2015-05-11,93.65,91.5,91.28,93.34,3100.0,248156.0
2015-05-12,92.73,92.64,90.32,91.12,3735.0,322577.0
2015-05-13,93.26,91.4,91.22,92.65,4889.0,467243.0
2015-05-14,93.34,93.31,91.42,91.69,3923.0,323049.0
2015-05-15,94.46,94.31,93.055,93.64,2520.0,200963.0
2015-05-18,94.71,94.53,93.39,93.62,3095.0,271540.0
2015-05-19,94.96,94.53,93.78,94.29,2269.0,196480.0
2015-05-20,95.27,94.63,94.0832,94.58,2199.0,204916.0
2015-05-21,95.12,93.74,93.4,94.55,2423.0,179965.0
2015-05-22,94.325,93.48,92.97,93.38,3210.0,274809.0
2015-05-26,93.37,93.33,92.45,93.19,2808.0,215540.0
2015-05-27,94.7,94.48,93.36,93.36,2806.0,225491.0
2015-05-28,94.775,94.43,93.8,94.48,4099.0,369703.0
2015-05-29,94.6,92.73,92.5,94.43,4466.0,630549.0
2015-06-01,94.32,93.6,92.61,92.94,4866.0,403551.0
2015-06-02,93.41,92.92,92.22,93.28,2817.0,290763.0
2015-06-03,92.68,91.48,91.43,92.68,2603.0,259864.0
2015-06-04,92.08,91.63,90.96,91.37,3403.0,319384.0
2015-06-05,90.83,89.98,89.785,90.4,5029.0,523611.0
2015-06-08,90.92,90.62,89.06,90.07,4663.0,394675.0
2015-06-09,90.81,89.9,89.79,90.49,2298.0,214098.0
2015-06-10,91.31,90.29,89.56,89.93,3931.0,300534.0
2015-06-11,92.52,91.9,90.497,90.86,4715.0,383491.0
2015-06-12,92.35,91.21,90.02,91.57,2588.0,216918.0
2015-06-15,91.44,91.22,90.61,91.16,3343.0,309248.0
2015-06-16,92.22,91.83,90.91,91.2,4150.0,386672.0
2015-06-17,92.8,92.7,91.32,92.11,2997.0,313562.0
2015-06-18,94.06,93.3,92.37,92.71,4599.0,397874.0
2015-06-19,93.55,93.23,92.39,93.02,3172.0,387195.0
2015-06-22,93.83,92.5,92.37,93.32,2306.0,179926.0
2015-06-23,93.46,91.62,91.37,92.33,2590.0,303663.0
2015-06-24,91.765,90.19,90.17,91.57,3297.0,260514.0
2015-06-25,90.5597,88.92,88.83,90.0,4819.0,414485.0
2015-06-26,89.13,88.67,88.2,89.09,4081.0,404579.0
2015-06-29,89.53,87.34,87.34,88.25,4762.0,410547.0
2015-06-30,88.4,87.46,86.84,87.84,4685.0,385243.0
2015-07-01,88.94,88.9,86.78,87.93,5190.0,459369.0
2015-07-02,90.46,88.86,88.61,89.94,3336.0,271173.0
2015-07-06,90.28,89.74,88.73,88.81,4252.0,354314.0
2015-07-07,91.67,91.01,89.91,90.06,6170.0,444070.0
2015-07-08,91.24,90.98,90.35,90.4,3392.0,357634.0
2015-07-09,91.3,90.08,90.08,91.16,3287.0,259800.0
2015-07-10,91.27,90.65,90.19,90.2,3044.0,237434.0
2015-07-13,92.46,90.86,90.41,90.79,3126.0,251836.0
2015-07-14,91.6,91.28,90.25,91.03,2151.0,181108.0
2015-07-15,91.81,91.48,90.61,90.99,2511.0,213950.0
2015-07-16,92.6,92.41,91.64,91.64,2968.0,256020.0
2015-07-17,92.82,91.82,91.74,92.58,3818.0,344472.0
2015-07-20,92.48,92.03,91.47,91.75,1983.0,139926.0
2015-07-21,92.64,92.16,91.68,92.08,3928.0,405595.0
2015-07-22,93.32,93.12,92.08,92.08,3566.0,334284.0
2015-07-23,93.39,91.87,91.37,93.39,3117.0,257103.0
2015-07-24,93.01,92.51,91.6,91.75,3644.0,315177.0
2015-07-27,93.38,92.64,92.33,92.81,3449.0,276421.0
2015-07-28,93.5,92.64,91.0,91.51,3408.0,328665.0
2015-07-29,93.77,93.59,91.91,92.64,4291.0,367739.0
2015-07-30,93.8,92.6,92.23,93.43,3998.0,325979.0
2015-07-31,93.97,92.71,92.62,93.34,4141.0,357378.0
2015-08-03,94.21,94.19,92.87,92.87,3300.0,264213.0
2015-08-04,94.43,93.36,93.13,93.59,2389.0,208446.0
2015-08-05,94.13,92.55,91.98,93.54,3035.0,291320.0
2015-08-06,92.8099,92.22,90.83,92.55,3456.0,265131.0
2015-08-07,92.7,92.61,91.45,92.22,2547.0,221953.0
2015-08-10,92.99,92.16,91.73,92.88,2518.0,187289.0
2015-08-11,93.54,92.44,91.32,92.03,3633.0,250803.0
2015-08-12,92.33,92.2,91.04,92.19,3175.0,229106.0
2015-08-13,92.81,92.27,90.79,91.66,3007.0,231455.0
2015-08-14,93.86,93.76,91.53,91.95,3936.0,311400.0
2015-08-17,94.8,94.79,93.29,93.76,4476.0,380727.0
2015-08-18,95.13,94.87,94.06,94.45,1880.0,121703.0
2015-08-19,95.0518,94.56,93.76,94.1,2216.0,156116.0
2015-08-20,95.21,94.46,93.34,94.34,4353.0,349486.0
2015-08-21,94.11,92.23,92.22,93.87,4177.0,379595.0
2015-08-24,91.54,88.18,88.115,89.91,7036.0,653492.0
2015-08-25,90.4,85.87,85.57,89.97,7001.0,607217.0
2015-08-26,87.88,87.55,85.83,87.44,4710.0,373513.0
2015-08-27,89.08,88.28,87.09,88.5,5120.0,454532.0
2015-08-28,88.93,88.44,87.52,88.38,3304.0,273346.0
2015-08-31,88.61,85.99,85.86,88.4,7184.0,763724.0
2015-09-01,85.5,84.24,83.71,84.82,4727.0,397199.0
2015-09-02,85.45,85.34,84.33,84.85,2954.0,255206.0
2015-09-03,86.4,85.4,85.07,85.59,2360.0,156579.0
2015-09-04,84.62,83.4,82.91,84.62,2523.0,179355.0
2015-09-08,85.06,84.45,83.41,84.52,4715.0,402822.0
2015-09-09,85.31,84.22,83.931,85.31,4847.0,366074.0
2015-09-10,85.29,84.38,83.83,84.05,4052.0,356738.0
