,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,ARE,196753000,121143000,0.45314,8405221000,3903926000,1.8300719419999998,24516000,3.44
1,ARE,204156000,126917000,0.44082,8524891000,4092966000,1.655140457,38167000,3.49
2,ARE,218610000,134621000,0.45677,8737344000,4314232000,1.587781214,39529000,3.82
3,ARE,223955000,139940000,0.43772,8881017000,3935692000,1.72565716,42005000,2.3805
4,ARE,216089000,135064000,0.34665999999999997,8971532000,4091499000,1.6588191490000002,5936000,1.83
5,ARE,226076000,143367000,0.38341,9144830000,4116537000,1.951478075,-111616000,1.4235
6,ARE,230379000,142523000,0.21911999999999998,9293901000,4329094000,2.072112951,24385000,2.84
7,ARE,249162000,158460000,-0.15857000000000002,10354888000,4164025000,2.183450336,15304000,2.52
8,ARE,270877000,174561000,0.29565,10868626000,4560686000,1.979010779,41711000,2.064
9,ARE,273059000,176845000,0.35163,11245667000,4775385000,2.1864727840000002,34221000,2.0275
10,ARE,285370000,184265000,0.55372,11545323000,4817040000,2.159850465,53773000,2.4895
11,ARE,298791000,191808000,0.41618999999999995,12103953000,4764807000,2.277548609,39388000,2.1125
12,ARE,320139000,205947000,1.31166,12821196000,5210798000,2.094568845,135630000,2.5639999999999996
13,ARE,325034000,210187000,0.5725,13562190000,5614105000,2.051032375,54730000,2.4819999999999998
14,ARE,341823000,219404000,2.0163599999999997,14105566000,5684004000,2.011328139,213636000,3.79
15,ARE,340463000,220396000,-0.36583000000000004,14464956000,5478255000,1.774010906,-24684000,3.68
16,ARE,358842000,232664000,1.17849,15480206000,5843503000,2.155532621,129159000,
17,ARE,373856000,241733000,0.68499,16039470000,6356205000,2.073488184,78767000,
18,ARE,390484000,246104000,-0.0853,17058154000,6737683000,2.26142807333052,-47202000,
19,ARE,408114000,256480000,1.86037,18390503000,6777479000,2.3230322280531803,202441000,
