Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,173.12,170.82,169.9601,172.91,7460.0,587045.0
2015-02-17,172.21,170.74,169.9801,170.35,7694.0,637274.0
2015-02-18,173.37,173.2,169.38,170.75,8540.0,881731.0
2015-02-19,173.2,169.03,168.77,173.2,11357.0,1114316.0
2015-02-20,171.1,171.0,168.13,168.8,7586.0,867725.0
2015-02-23,173.46,173.46,171.07,171.7,7978.0,791298.0
2015-02-24,172.72,168.9,168.07,172.65,10342.0,1102263.0
2015-02-25,170.78,167.98,167.88,168.81,8330.0,695532.0
2015-02-26,168.17,166.23,165.95,168.02,7996.0,772849.0
2015-02-27,168.34,168.34,165.67,166.61,8734.0,1067796.0
2015-03-02,171.39,169.66,168.37,168.42,6945.0,671287.0
2015-03-03,169.49,168.82,167.3,168.65,5969.0,471153.0
2015-03-04,169.53,168.14,167.46,168.55,10088.0,988778.0
2015-03-05,171.33,169.93,168.56,168.71,8649.0,696418.0
2015-03-06,167.86,164.64,163.84,167.86,13037.0,1311611.0
2015-03-09,166.89,166.47,165.53,165.65,10136.0,988878.0
2015-03-10,168.15,166.84,166.31,166.45,7878.0,864878.0
2015-03-11,168.5499,167.29,166.48,166.63,8438.0,814548.0
2015-03-12,171.61,171.22,168.11,168.11,9094.0,949641.0
2015-03-13,172.35,170.68,170.29,171.54,7847.0,707816.0
2015-03-16,174.11,173.62,171.33,171.6,9420.0,1051404.0
2015-03-17,174.16,172.86,172.34,173.09,5852.0,453292.0
2015-03-18,176.18,175.66,171.73,173.0,12103.0,1126934.0
2015-03-19,176.86,174.79,173.44,175.0,7562.0,952096.0
2015-03-20,180.08,179.83,175.56,175.56,9573.0,1304164.0
2015-03-23,181.54,180.88,179.0,180.16,10660.0,1442923.0
2015-03-24,181.69,180.29,179.28,180.96,8526.0,901849.0
2015-03-25,181.47,176.88,176.73,180.29,10190.0,933218.0
2015-03-26,177.69,175.96,175.06,176.78,7818.0,641953.0
2015-03-27,175.77,174.12,173.22,174.53,6753.0,582713.0
2015-03-30,176.43,176.15,174.16,174.9,6717.0,522008.0
2015-03-31,176.67,174.25,174.09,175.52,9670.0,1171134.0
2015-04-01,174.988,172.91,172.53,174.4,7500.0,606395.0
2015-04-02,175.47,174.74,172.695,173.27,6389.0,655645.0
2015-04-06,176.43,175.81,174.55,174.98,5248.0,531322.0
2015-04-07,175.67,172.59,172.53,175.35,7181.0,732739.0
2015-04-08,174.26,173.88,172.84,173.22,6805.0,587038.0
2015-04-09,173.43,169.23,168.52,173.27,8264.0,865670.0
2015-04-10,171.315,168.31,168.205,170.09,6790.0,658076.0
2015-04-13,169.26,167.72,167.72,168.31,5012.0,481453.0
2015-04-14,170.41,169.53,168.11,168.11,5220.0,419825.0
2015-04-15,169.68,168.0,167.46,169.1,6708.0,693891.0
2015-04-16,169.96,169.04,166.97,167.45,6266.0,420830.0
2015-04-17,169.49,168.31,167.25,168.5,6380.0,694102.0
2015-04-20,169.35,168.25,167.63,168.36,4859.0,408817.0
2015-04-21,169.85,169.05,168.63,168.63,5441.0,494901.0
2015-04-22,171.35,170.64,168.36,168.85,5763.0,425977.0
2015-04-23,171.8099,171.23,170.19,170.63,4283.0,391385.0
2015-04-24,172.53,171.27,170.9,171.16,4880.0,397182.0
2015-04-27,173.12,171.55,171.37,171.9,9307.0,873970.0
2015-04-28,172.76,171.19,169.25,171.48,10575.0,873319.0
2015-04-29,171.13,167.75,166.316,169.72,9559.0,953122.0
2015-04-30,168.4,164.34,163.44,166.92,12159.0,1274398.0
2015-05-01,168.46,167.63,165.09,165.42,9020.0,759988.0
2015-05-04,170.61,168.96,168.27,168.66,9086.0,840389.0
2015-05-05,168.48,163.7,163.35,168.41,9589.0,759972.0
2015-05-06,165.19,163.43,162.78,163.81,10552.0,836315.0
2015-05-07,167.35,165.98,163.73,163.73,8364.0,687447.0
2015-05-08,170.4,168.51,167.97,169.04,7408.0,598885.0
2015-05-11,168.58,164.57,164.31,167.65,5921.0,508469.0
2015-05-12,166.68,165.25,162.42,163.53,8321.0,699494.0
2015-05-13,167.6,164.09,163.46,165.71,8140.0,739542.0
2015-05-14,167.28,167.19,164.1,164.75,6582.0,512497.0
2015-05-15,169.25,168.45,167.23,167.79,5966.0,567517.0
2015-05-18,169.025,167.84,167.27,167.85,6907.0,731418.0
2015-05-19,168.6,167.62,166.44,167.28,4499.0,317006.0
2015-05-20,168.62,167.46,166.9701,168.02,6108.0,559603.0
2015-05-21,167.95,165.6,165.24,167.46,7268.0,575621.0
2015-05-22,167.26,166.24,164.71,165.73,5080.0,392843.0
2015-05-26,166.08,164.83,164.135,165.94,7143.0,615611.0
2015-05-27,167.89,167.44,165.12,165.55,5651.0,448998.0
2015-05-28,168.19,167.78,167.03,167.43,5647.0,436137.0
2015-05-29,168.73,166.5,165.52,168.09,9466.0,1556111.0
2015-06-01,168.63,168.29,165.95,166.8,8316.0,673674.0
2015-06-02,167.88,165.35,165.03,167.61,5867.0,482571.0
2015-06-03,165.32,161.4,160.91,165.25,8938.0,728038.0
2015-06-04,162.09,161.01,159.46,159.46,6544.0,525208.0
2015-06-05,162.47,161.05,158.72,159.68,10594.0,864019.0
2015-06-08,161.99,160.95,160.07,161.2,8274.0,989505.0
2015-06-09,161.88,160.65,159.82,160.78,6767.0,677340.0
