,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,AVB,442367000,271945000.0,1.08912,16263748000,6562331000,2.54352737,208144000,4.96
1,AVB,457459000,289142000.0,1.04803,16320476000,6487130000,2.3229599640000003,172324000,5.44
2,AVB,475360000,298825000.0,1.16354,16781979000,6306727000,2.52228953,206142000,5.71
3,AVB,480841000,312819000.0,1.07827,16931305000,6456948000,2.56404054,155428000,3.475
4,AVB,508498000,312522000.0,1.2374100000000001,17043390000,6502580000,2.648007445,237931000,8.325
5,AVB,502307000,322084000.0,1.23989,17395067000,6833991000,2.51283122,197444000,6.66
6,AVB,516211000,329301000.0,1.08426,17588657000,6815970000,2.477513647,356392000,6.16
7,AVB,518240000,339956000.0,1.16642,17867271000,7030880000,2.423831437,242235000,6.19
8,AVB,522326000,335075000.0,1.17648,17978421000,7005729000,2.4789029609999997,235875000,5.7
9,AVB,530512000,338469000.0,1.0727200000000001,17943745000,6991759000,2.579081116,165225000,5.83
10,AVB,550500000,350462000.0,1.5223799999999998,18177837000,7128030000,2.396015528,238248000,6.2
11,AVB,555291000,363804000.0,1.11769,18414821000,7329470000,2.384026307,237573000,6.21
12,AVB,560793000,357079000.0,1.04672,18646447000,7599455000,2.1862594669999997,141643000,5.57
13,AVB,569239000,364534000.0,1.0973,18671008000,7571278000,2.298629533,254662000,
14,AVB,575982000,368695000.0,1.21574,18662119000,7533228000,2.4079424030000003,192486000,
15,AVB,578520000,374475000.0,1.74098,18380200000,7040263000,2.313806655,385734000,
16,AVB,566184000,366543000.0,1.12028,18639983000,7060301000,2.614861789,170366000,
17,AVB,577263000,364124000.0,1.08673,18932575000,7372442000,2.638713329,168281000,
18,AVB,587613000,374931000.0,1.0962,19060467000,7381495000,2.79741833160976,279677000,
19,AVB,593566000,,,19121051000,7296290000,2.7081203956747095,167650000,
