Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,16.59,16.45,16.325,16.58,5593.0,876352.0
2015-02-17,16.5503,16.25,16.225,16.42,6722.0,980106.0
2015-02-18,16.43,16.4,16.135,16.27,4483.0,626066.0
2015-02-19,16.37,16.04,16.02,16.36,6802.0,990337.0
2015-02-20,16.19,16.13,16.01,16.02,6401.0,1049945.0
2015-02-23,16.29,16.26,16.11,16.14,8880.0,1482266.0
2015-02-24,16.18,15.89,15.8,16.18,8815.0,1344485.0
2015-02-25,16.14,15.99,15.89,15.89,5769.0,808369.0
2015-02-26,16.0,15.77,15.715,16.0,4436.0,617479.0
2015-02-27,15.89,15.85,15.67,15.8,4973.0,936843.0
2015-03-02,16.06,15.86,15.77,15.87,5955.0,931258.0
2015-03-03,15.91,15.82,15.74,15.84,7641.0,1480795.0
2015-03-04,15.89,15.68,15.615,15.79,5549.0,931664.0
2015-03-05,15.87,15.63,15.61,15.74,4316.0,679898.0
2015-03-06,15.52,14.86,14.83,15.52,11700.0,2129073.0
2015-03-09,15.04,14.84,14.69,14.975,13961.0,3402166.0
2015-03-10,14.95,14.87,14.79,14.8,10275.0,2389527.0
2015-03-11,14.94,14.81,14.69,14.86,8076.0,2056256.0
2015-03-12,15.22,15.21,14.84,14.91,6390.0,1230506.0
2015-03-13,15.24,15.19,15.09,15.22,6207.0,996370.0
2015-03-16,15.44,15.34,15.18,15.23,4695.0,786523.0
2015-03-17,15.44,15.42,15.205,15.3,6565.0,1066115.0
2015-03-18,15.82,15.76,15.36,15.43,8815.0,1275296.0
2015-03-19,15.91,15.85,15.65,15.71,6519.0,1171089.0
2015-03-20,16.39,16.36,15.85,15.88,6943.0,1307935.0
2015-03-23,16.56,16.44,16.275,16.38,9877.0,1501931.0
2015-03-24,16.44,16.24,16.24,16.37,9418.0,1442064.0
2015-03-25,16.43,16.09,16.04,16.25,9210.0,1612838.0
2015-03-26,16.16,15.92,15.88,16.02,7332.0,1042278.0
2015-03-27,16.03,15.89,15.802,15.91,5727.0,859172.0
2015-03-30,16.17,16.16,15.91,16.01,5649.0,741234.0
2015-03-31,16.21,15.98,15.95,16.09,7719.0,1090903.0
2015-04-01,15.93,15.78,15.65,15.85,6914.0,1077240.0
2015-04-02,15.96,15.92,15.75,15.82,4318.0,618913.0
2015-04-06,16.13,16.1,15.91,15.96,4205.0,651583.0
2015-04-07,16.05,15.68,15.67,16.05,5895.0,932674.0
2015-04-08,15.78,15.62,15.54,15.68,7058.0,1311336.0
2015-04-09,15.57,15.21,15.17,15.57,7646.0,1093382.0
2015-04-10,15.47,15.21,15.17,15.3,5606.0,982065.0
2015-04-13,15.31,15.22,15.15,15.19,3910.0,845733.0
2015-04-14,15.33,15.21,15.205,15.28,4878.0,1118012.0
2015-04-15,15.26,15.03,15.02,15.23,6467.0,1019599.0
2015-04-16,15.11,15.05,14.97,15.02,10027.0,1617671.0
2015-04-17,15.075,14.96,14.85,14.98,6885.0,1065115.0
2015-04-20,15.03,14.89,14.87,15.02,6814.0,1046522.0
2015-04-21,14.99,14.76,14.76,14.97,11440.0,2466977.0
2015-04-22,14.9,14.9,14.73,14.78,9778.0,1933305.0
2015-04-23,14.93,14.65,14.57,14.88,15252.0,4863388.0
2015-04-24,15.07,15.0,14.6,14.67,11676.0,2363810.0
2015-04-27,15.125,15.02,14.93,15.06,6135.0,1090145.0
2015-04-28,15.05,15.04,14.85,14.98,8618.0,1853318.0
2015-04-29,14.94,14.71,14.685,14.88,9066.0,1680459.0
2015-04-30,14.705,14.58,14.45,14.61,11623.0,2224979.0
2015-05-01,14.74,14.58,14.52,14.56,8296.0,1363918.0
2015-05-04,14.73,14.55,14.515,14.64,8269.0,1661685.0
2015-05-05,14.605,14.33,14.255,14.53,10291.0,1940946.0
2015-05-06,14.4,14.25,14.17,14.3,9677.0,3282181.0
2015-05-07,14.65,14.62,14.26,14.26,10934.0,1970510.0
2015-05-08,15.035,14.72,14.69,14.82,7396.0,1242205.0
2015-05-11,14.77,14.38,14.36,14.66,5469.0,889471.0
2015-05-12,14.47,14.45,14.16,14.29,6940.0,1232812.0
2015-05-13,14.63,14.42,14.36,14.49,8078.0,1526644.0
2015-05-14,14.59,14.49,14.41,14.46,7997.0,1526456.0
2015-05-15,14.67,14.6,14.46,14.56,7506.0,1375840.0
2015-05-18,14.64,14.64,14.45,14.49,4834.0,858027.0
2015-05-19,14.669,14.53,14.5,14.57,4301.0,754783.0
2015-05-20,14.67,14.56,14.49,14.57,4456.0,743737.0
2015-05-21,14.63,14.49,14.4,14.59,4612.0,750792.0
2015-05-22,14.59,14.43,14.36,14.41,5494.0,1320862.0
2015-05-26,14.47,14.36,14.27,14.41,4840.0,998113.0
2015-05-27,14.52,14.49,14.31,14.39,5584.0,755302.0
2015-05-28,14.52,14.41,14.3,14.48,5059.0,769957.0
2015-05-29,14.4599,14.08,14.045,14.4,10105.0,2520532.0
2015-06-01,14.39,14.32,14.07,14.09,11087.0,2825589.0
2015-06-02,14.36,14.28,14.2,14.26,5740.0,972736.0
2015-06-03,14.34,14.12,14.095,14.26,5124.0,915807.0
