,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,BRX,315293000,202734000,0.10444,9639179000,6059258000,2.7115171,30423000,5.46
1,BRX,312111000,214660000,0.14872,9577504000,5998651000,2.384530251,54112000,5.83
2,BRX,313025000,215618000,0.17969000000000002,9527623000,5969336000,2.429214552,53773000,6.64
3,BRX,325551000,214586000,0.17444,9498007000,5974266000,2.68078882,55412000,7.65
4,BRX,323104000,220198000,0.20177,9465258000,6007397000,2.670559791,60477000,7.47
5,BRX,310057000,211140000,0.18865,9427789000,5966533000,2.7751455380000003,64456000,7.86
6,BRX,318577000,215719000,0.19155999999999998,9312709000,5857431000,2.919545235,57492000,8.34
7,BRX,324034000,219369000,0.23240999999999998,9319685000,5838889000,2.576672195,93203000,8.58
8,BRX,325806000,219907000,0.22889,9359098000,5924834000,2.234506667,71579000,8.86
9,BRX,322818000,220724000,0.21620999999999999,9297074000,5819948000,1.866329371,75438000,9.28
10,BRX,314496000,214861000,0.21861999999999998,9196220000,5713688000,1.966147936,83380000,8.82
11,BRX,320060000,214929000,0.22523,9153926000,5676238000,1.94777913,69896000,8.21
12,BRX,317175000,211119000,0.21628000000000003,8987858000,5622111000,1.5972840590000001,61022000,9.02
13,BRX,313030000,211933000,0.21213,8850547000,5483354000,1.844530906,80362000,
14,BRX,306480000,205497000,0.21174,8497438000,5106708000,1.8547636459999999,147346000,
15,BRX,297655000,188495000,0.17837,8242421000,4885863000,1.532710559,77554000,
16,BRX,291139000,191112000,0.19529000000000002,8183930000,4873065000,1.9333718999999998,62900000,
17,BRX,291005000,193334000,0.21009,8220523000,4925537000,1.90778636,68960000,
18,BRX,292965000,195154000,0.21531,8160161000,4852510000,2.18628968671417,80854000,
19,BRX,293149000,190485000,0.20468,8142496000,4861185000,2.3325881598337,62059000,
