,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,BXP,618476000,360759000,0.49856000000000006,19179071000,10066696000,3.738967241,173823000,3.43
1,BXP,618221000,372978000,0.51918,19113959000,10047459000,3.1802450039999997,82078000,5.06
2,BXP,629884000,381019000,-0.09859,18980263000,9909796000,3.1119034460000004,186729000,5.31
3,BXP,624240000,375410000,0.51484,18351486000,9188543000,3.347093128,140550000,
4,BXP,665985000,409826000,0.7412,19175830000,10160366000,3.4183667189999998,184344000,7.59
5,BXP,623546000,372212000,0.63457,18963965000,9934084000,3.523697424,99186000,4.78
6,BXP,625228000,363385000,0.43038000000000004,18789899000,9808922000,3.653363423,79342000,6.24
7,BXP,636061000,378934000,0.5798399999999999,18851643000,9796133000,3.377890722,149875000,5.76
8,BXP,632228000,365464000,0.6294,18966627000,9886845000,3.519239467,99680000,5.57
9,BXP,656907000,390908000,0.75137,19281762000,10236639000,3.277019156,136334000,8.89
10,BXP,657712000,386132000,0.74295,19308518000,10234634000,3.2611093280000003,119962000,8.5
11,BXP,655229000,383821000,0.75762,19372233000,10271611000,3.444768036,106478000,7.97
12,BXP,661151000,373970000,0.51486,19583939000,10339313000,3.2707435289999998,178626000,7.72
13,BXP,664484000,387515000,0.71785,19961163000,10721878000,3.293081725,131306000,6.12
14,BXP,686284000,397274000,0.7263,20137498000,10889702000,3.2253574210000004,121743000,8.28
15,BXP,705157000,413991000,0.75934,20256477000,11007757000,2.9578922469999998,151137000,8.47
16,BXP,725767000,415230000,0.79952,20501604000,11178681000,3.514924401,100738000,
17,BXP,733741000,429216000,1.05465,21268275000,12019143000,3.415076712,166943000,
18,BXP,743553000,435631000,0.8819799999999999,21288575000,12059767000,3.50615305113377,110396000,
19,BXP,757501000,445308000,0.9244399999999999,21284905000,12035848000,3.75696022396752,143449000,
