Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,20.66,20.52,20.31,20.66,6003.0,881941.0
2015-02-17,20.69,20.37,20.3,20.5,5934.0,1407302.0
2015-02-18,20.7,20.69,20.04,20.39,12361.0,2114404.0
2015-02-19,20.65,20.17,20.08,20.63,8177.0,1248066.0
2015-02-20,20.28,20.26,20.04,20.09,7958.0,1707479.0
2015-02-23,20.56,20.52,20.22,20.29,6092.0,879462.0
2015-02-24,20.41,20.17,20.04,20.41,8428.0,1226229.0
2015-02-25,20.41,20.25,20.1,20.18,7737.0,1166753.0
2015-02-26,20.26,19.85,19.82,20.26,8057.0,1279408.0
2015-02-27,20.095,20.02,19.66,19.87,7107.0,1310297.0
2015-03-02,20.46,20.08,20.03,20.05,8736.0,1352800.0
2015-03-03,20.09,20.03,19.83,20.07,4939.0,799003.0
2015-03-04,20.11,19.73,19.68,20.04,4954.0,667842.0
2015-03-05,20.03,19.73,19.73,19.87,7162.0,1103972.0
2015-03-06,19.43,18.99,18.98,19.43,9509.0,1595111.0
2015-03-09,19.24,18.86,18.76,19.2,13011.0,2317956.0
2015-03-10,18.95,18.84,18.72,18.8,10372.0,1613837.0
2015-03-11,18.89,18.8,18.73,18.88,5922.0,1012845.0
2015-03-12,19.08,19.04,18.835,18.94,11646.0,2536489.0
2015-03-13,19.15,19.11,18.88,19.05,7198.0,1050458.0
2015-03-16,19.41,19.28,19.13,19.2,7667.0,1263061.0
2015-03-17,19.295,19.18,19.13,19.26,7630.0,1130237.0
2015-03-18,19.72,19.64,19.04,19.16,13040.0,1686749.0
2015-03-19,19.83,19.39,19.38,19.62,9382.0,1683799.0
2015-03-20,20.01,19.96,19.404,19.46,13865.0,3239845.0
2015-03-23,20.32,20.16,19.955,20.02,10143.0,1704779.0
2015-03-24,20.19,20.09,20.01,20.15,6254.0,1322649.0
2015-03-25,20.26,19.78,19.74,20.14,8113.0,1402605.0
2015-03-26,19.71,19.45,19.44,19.48,9931.0,1294709.0
2015-03-27,19.6,19.53,19.36,19.46,4926.0,864205.0
2015-03-30,19.91,19.87,19.53,19.64,7929.0,1194999.0
2015-03-31,19.93,19.8,19.685,19.8,7025.0,1185657.0
2015-04-01,19.9,19.74,19.6,19.82,6998.0,877681.0
2015-04-02,19.885,19.79,19.72,19.74,7401.0,972173.0
2015-04-06,19.98,19.91,19.79,19.83,7648.0,1354502.0
2015-04-07,19.94,19.62,19.6,19.94,6299.0,962165.0
2015-04-08,19.68,19.61,19.52,19.65,4622.0,626610.0
2015-04-09,19.61,19.06,19.04,19.57,6373.0,1118957.0
2015-04-10,19.42,19.1,19.05,19.21,8392.0,1278900.0
2015-04-13,19.26,19.13,19.11,19.12,7625.0,1241736.0
2015-04-14,19.35,19.33,19.16,19.17,6555.0,1225666.0
2015-04-15,19.39,19.21,19.16,19.39,7468.0,1454764.0
2015-04-16,19.29,19.2,19.04,19.18,5557.0,1230052.0
2015-04-17,19.18,19.01,18.97,19.11,7832.0,1308354.0
2015-04-20,19.056,18.88,18.83,19.03,8432.0,1447693.0
2015-04-21,19.21,19.13,18.88,18.98,6525.0,1351640.0
2015-04-22,19.24,19.16,19.03,19.11,5092.0,714650.0
2015-04-23,19.33,19.27,19.135,19.14,6165.0,1118374.0
2015-04-24,19.436,19.28,19.19,19.35,5980.0,1028051.0
2015-04-27,19.46,19.2,19.16,19.32,5082.0,696486.0
2015-04-28,19.23,19.11,19.04,19.16,6299.0,1063948.0
2015-04-29,19.05,18.27,18.1599,18.55,12890.0,2514441.0
2015-04-30,18.254,18.01,17.85,18.21,8973.0,1352002.0
2015-05-01,18.315,18.13,17.97,18.02,6700.0,963338.0
2015-05-04,18.29,18.1,17.99,18.08,10849.0,1629251.0
2015-05-05,18.22,17.66,17.63,18.07,10653.0,1968959.0
2015-05-06,17.725,17.37,17.34,17.68,12794.0,2803809.0
2015-05-07,17.805,17.55,17.33,17.34,11844.0,2771989.0
2015-05-08,18.14,18.06,17.7,17.79,10904.0,2008212.0
2015-05-11,18.23,17.87,17.815,18.03,7980.0,1491781.0
2015-05-12,17.955,17.86,17.615,17.72,7468.0,1522926.0
2015-05-13,18.12,17.73,17.7,17.97,5967.0,836895.0
2015-05-14,18.22,18.22,17.8,17.85,7014.0,1028013.0
2015-05-15,18.445,18.31,18.25,18.28,6456.0,924732.0
2015-05-18,18.41,18.28,18.18,18.22,5025.0,893843.0
2015-05-19,18.33,18.15,18.15,18.27,5123.0,856145.0
2015-05-20,18.29,18.12,18.082,18.17,6112.0,1084824.0
2015-05-21,18.16,18.04,17.93,18.15,8367.0,1697930.0
2015-05-22,18.215,18.14,17.92,18.01,5442.0,885116.0
2015-05-26,18.13,18.09,17.98,18.1,7154.0,1512219.0
2015-05-27,18.2,18.15,18.03,18.12,4389.0,668520.0
2015-05-28,18.23,18.06,18.025,18.15,6934.0,1531290.0
2015-05-29,18.14,17.65,17.61,18.07,9484.0,2199184.0
2015-06-01,17.83,17.78,17.61,17.66,10710.0,1838391.0
2015-06-02,17.77,17.71,17.53,17.74,6046.0,1118077.0
2015-06-03,17.81,17.56,17.53,17.81,8246.0,1571753.0
2015-06-04,17.63,17.45,17.4,17.53,5305.0,1128180.0
2015-06-05,17.31,17.13,17.12,17.31,7438.0,1274087.0
2015-06-08,17.18,17.09,17.04,17.17,5602.0,847709.0
2015-06-09,17.13,16.89,16.81,17.07,6473.0,1269128.0
2015-06-10,17.26,17.15,16.81,16.91,8875.0,1663978.0
