,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,CBL,260909000,161298000,0.13898,6543600000,4669711000,2.396749886,46164000,3.87
1,CBL,253843000,163878000,0.11490999999999998,6702203000,4834205000,1.9958236630000001,41895000,6.14
2,CBL,262636000,168936000,0.14085999999999999,6695735000,4821475000,1.712981921,37569000,8.42
3,CBL,277630000,188486000,0.13994,6479991000,4710628000,1.548687615,-22257000,11.75
4,CBL,263078000,160021000,0.24399,6383928000,4683487000,1.578902469,40074000,5.85
5,CBL,254965000,167754000,0.43176000000000003,6280136000,4540479000,1.255795129,62919000,8.17
6,CBL,251721000,162079000,0.1256,6174321000,4531269000,1.6270513999999998,1059000,9.33
7,CBL,258493000,173289000,0.20697,6104640000,4465294000,1.628178602,68830000,13.96
8,CBL,238013000,151829000,0.10905,6126149000,4522480000,1.326070901,34115000,6.68
9,CBL,229233000,153901000,0.0053,5808333000,4249440000,1.193612187,41396000,7.2
10,CBL,224650000,147839000,0.05695,5743756000,4216178000,1.202134161,8965000,4.35
11,CBL,235356000,158700000,0.13324,5704808000,4230845000,0.845113937,36464000,10.32
12,CBL,220200000,140304000,0.01576,5702570000,4207685000,0.625822552,903000,0.9
13,CBL,214598000,141810000,-0.01144,5582009000,4172353000,0.828207028,-23797000,
14,CBL,206878000,130698000,-0.04453,5491019000,4115808000,0.6332272529999999,-1367000,
15,CBL,216881000,141732000,-0.048260000000000004,5340853000,4043180000,0.318085689,-54307000,
16,CBL,198030000,115365000,-0.13201,5161948000,3898550000,0.277572081,-38976000,
17,CBL,193377000,123045000,-0.06472,5048140000,3865939000,0.200333436,-24177000,
18,CBL,187251000,119336000,-0.16493,4769918000,3699007000,0.259061637871719,-78893000,
19,CBL,189505000,119378000,-0.03268,4640304000,3527015000,0.23582314564158702,57746000,
