,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,CCI,900471000.0,513538000.0,0.3231,21105477000.0,12070091000.0,4.10297842,122787000.0,4.385
1,CCI,899437000.0,499881000.0,0.48678999999999994,21011629000.0,11131304000.0,4.100081599,1153360000.0,3.74
2,CCI,918107000.0,507549000.0,0.30959000000000003,21995644000.0,12141366000.0,3.555239967,103779000.0,5.0
3,CCI,945836000.0,516790000.0,0.42953,21936966000.0,12149959000.0,3.985267768,141066000.0,6.26
4,CCI,934384000.0,503211000.0,0.23248000000000002,21718251000.0,11865999000.0,4.072555868999999,47840000.0,5.93
5,CCI,962409000.0,522304000.0,0.29765,22153074000.0,12426204000.0,4.786622553,86058000.0,3.425
6,CCI,992016000.0,536097000.0,0.31883,22171723000.0,12592958000.0,4.57690655,98366000.0,3.485
7,CCI,1032416000.0,548062000.0,0.38771,22675092000.0,12171142000.0,4.33701069,124710000.0,3.9185
8,CCI,1015942000.0,551393000.0,0.35643,23776842000.0,13492973000.0,4.506043316,119138000.0,3.7175
9,CCI,1038335000.0,566692000.0,0.34075,24483624000.0,13841265000.0,4.9162281839999995,112114000.0,3.573
10,CCI,1063238000.0,575092000.0,0.26147,31011756000.0,15204415000.0,4.822499016,115194000.0,3.6525
11,CCI,1238090000.0,672029000.0,0.27924,32229570000.0,16159620000.0,3.5589791639999997,98104000.0,4.81
12,CCI,1299000000.0,732000000.0,0.39924,32250000000.0,15746000000.0,3.6090548910000004,114000000.0,3.65
13,CCI,1330000000.0,738000000.0,0.40612,32374000000.0,15956000000.0,3.48700904,180000000.0,4.92
14,CCI,1375000000.0,756000000.0,0.4306,32644000000.0,16424000000.0,3.6767427980000003,164000000.0,3.59
15,CCI,1419000000.0,788000000.0,0.48798,32785000000.0,16682000000.0,3.6666490439999997,213000000.0,6.22
16,CCI,1426000000.0,788000000.0,0.46431999999999995,37778000000.0,17216000000.0,4.41415988,210000000.0,5.68
17,CCI,1478000000.0,820000000.0,0.54533,38147000000.0,17569000000.0,4.616516261,246000000.0,5.25
18,CCI,1514000000.0,848000000.0,0.6007,38344000000.0,17850000000.0,5.018498654858611,272000000.0,6.89
19,CCI,,,,,,5.22158057395291,,6.74
