Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,7.63,7.61,7.51,7.59,1958.0,326763.0
2015-02-17,7.7,7.51,7.48,7.59,1941.0,300731.0
2015-02-18,7.65,7.62,7.44,7.52,2068.0,345127.0
2015-02-19,7.62,7.47,7.4,7.59,2932.0,483824.0
2015-02-20,7.54,7.52,7.41,7.44,2257.0,386033.0
2015-02-23,7.59,7.58,7.44,7.48,2604.0,423333.0
2015-02-24,7.57,7.5,7.4,7.56,2382.0,388266.0
2015-02-25,7.58,7.51,7.47,7.48,1490.0,245236.0
2015-02-26,7.54,7.45,7.37,7.5,1716.0,250863.0
2015-02-27,7.51,7.48,7.3,7.42,1781.0,288486.0
2015-03-02,7.65,7.54,7.44,7.46,1774.0,273811.0
2015-03-03,7.59,7.57,7.47,7.56,1507.0,235833.0
2015-03-04,7.58,7.44,7.44,7.54,1339.0,213548.0
2015-03-05,7.59,7.52,7.46,7.47,1473.0,218272.0
2015-03-06,7.43,7.23,7.21,7.43,2120.0,444612.0
2015-03-09,7.33,7.2,7.17,7.26,2312.0,487829.0
2015-03-10,7.2,7.11,7.11,7.12,2399.0,440197.0
2015-03-11,7.16,7.13,7.09,7.11,1810.0,311371.0
2015-03-12,7.31,7.29,7.14,7.15,1882.0,349903.0
2015-03-13,7.37,7.33,7.21,7.3,1500.0,284546.0
2015-03-16,7.42,7.37,7.35,7.36,1787.0,276658.0
2015-03-17,7.44,7.36,7.311,7.36,1594.0,241680.0
2015-03-18,7.56,7.54,7.31,7.31,3025.0,399038.0
2015-03-19,7.58,7.51,7.45,7.51,1926.0,385207.0
2015-03-20,7.7,7.61,7.41,7.51,3335.0,869912.0
2015-03-23,7.75,7.64,7.6,7.62,2123.0,472011.0
2015-03-24,7.65,7.61,7.53,7.65,2901.0,671598.0
2015-03-25,7.68,7.43,7.425,7.6,2728.0,528035.0
2015-03-26,7.54,7.36,7.35,7.43,1821.0,320770.0
2015-03-27,7.49,7.43,7.37,7.37,2126.0,357121.0
2015-03-30,7.54,7.53,7.43,7.46,1161.0,199116.0
2015-03-31,7.548,7.49,7.42,7.5,1407.0,266239.0
2015-04-01,7.55,7.52,7.44,7.48,1853.0,347115.0
2015-04-02,7.63,7.56,7.52,7.53,960.0,136442.0
