,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,CDR,36665000,22123000.0,0.00944,1286779000.0,665388000.0,0.9977294609999999,4350000,
1,CDR,38635000,21685000.0,0.01487,1306937000.0,659267000.0,0.876747114,3479000,
2,CDR,36742000,22468000.0,0.0228,1297587000.0,654522000.0,0.8496995079999999,5517000,
3,CDR,36100000,22616000.0,0.02868,1287604000.0,643802000.0,0.977384591,6192000,
4,CDR,37730000,22844000.0,0.03192,1318380000.0,673820000.0,0.9930348290000001,6958000,
5,CDR,38251000,20869000.0,0.006379999999999999,1319887000.0,681057000.0,1.042550487,1663000,
6,CDR,37872000,23320000.0,0.01871,1326034000.0,692487000.0,1.0218325659999998,4888000,
7,CDR,37793000,22901000.0,0.02621,1322818000.0,694464000.0,0.935433655,-687000,
8,CDR,37170000,21327000.0,0.02408,1233521000.0,607745000.0,0.709269277,3079000,
9,CDR,36774000,20849000.0,0.012790000000000001,1257941000.0,625100000.0,0.679376628,11776000,
10,CDR,35699000,21079000.0,0.01937,1241570000.0,620963000.0,0.804420166,-4474000,
11,CDR,36398000,21768000.0,-0.062060000000000004,1255789000.0,627670000.0,0.9255637520000001,6300000,
12,CDR,37137000,21076000.0,0.02669,1252418000.0,580125000.0,0.551543314,5541000,
13,CDR,37568000,20201000.0,-0.01929,1238512000.0,634016000.0,0.74383351,-16668000,
14,CDR,41350000,26024000.0,0.07721,1232658000.0,628415000.0,0.726468168,9777000,
15,CDR,36170000,20764000.0,0.029439999999999997,1237553000.0,626897000.0,0.487999394,6160000,
16,CDR,36932000,20222000.0,0.0205,1222901000.0,624834000.0,0.535411622,4620000,
17,CDR,36883000,18908000.0,-0.00059,1222379000.0,626773000.0,0.422433422,2882000,
18,CDR,35660000,18993000.0,-0.00329,1216329000.0,623709000.0,0.486475777158766,5383000,
19,CDR,35912000,19527000.0,-0.00053,1222785000.0,631642000.0,0.48410926574778496,2780000,
20,CDR,35628000,,,,,,-9969000,
