Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,19.91,19.81,19.6,19.83,2096.0,310461.0
2015-02-17,20.0,19.63,19.565,19.8,3000.0,439744.0
2015-02-18,19.78,19.69,19.44,19.63,5099.0,616259.0
2015-02-19,19.89,19.24,18.98,19.57,7224.0,1148963.0
2015-02-20,19.4,19.33,19.13,19.18,5454.0,761324.0
2015-02-23,19.456,19.41,19.16,19.35,3938.0,511270.0
2015-02-24,19.31,19.19,19.08,19.31,3444.0,451201.0
2015-02-25,19.41,19.13,19.11,19.15,2496.0,301970.0
2015-02-26,19.16,18.98,18.95,19.09,3105.0,408557.0
2015-02-27,19.01,18.81,18.7,18.99,5835.0,940512.0
2015-03-02,19.25,19.21,18.85,18.86,3319.0,517280.0
2015-03-03,19.22,19.15,18.97,19.15,3345.0,460532.0
2015-03-04,19.17,18.98,18.9,19.11,3136.0,377679.0
2015-03-05,19.15,18.82,18.7775,19.08,3078.0,403186.0
2015-03-06,18.38,18.14,18.06,18.37,4251.0,552076.0
2015-03-09,18.4,18.16,18.06,18.26,3309.0,464790.0
2015-03-10,18.45,18.39,18.01,18.1,4855.0,686183.0
2015-03-11,18.55,18.52,18.21,18.38,4284.0,881286.0
2015-03-12,18.93,18.89,18.56,18.59,3423.0,437685.0
2015-03-13,18.92,18.71,18.62,18.9,2490.0,327612.0
2015-03-16,19.195,19.11,18.65,18.77,4417.0,654574.0
2015-03-17,19.21,19.04,18.94,19.05,3470.0,506410.0
2015-03-18,19.5,19.44,18.89,19.04,5484.0,940876.0
2015-03-19,19.52,19.32,19.26,19.35,2460.0,371955.0
2015-03-20,19.93,19.8,19.37,19.39,5022.0,1306274.0
2015-03-23,20.0,19.76,19.67,19.79,2517.0,364291.0
2015-03-24,19.79,19.56,19.54,19.72,3225.0,429574.0
2015-03-25,19.65,19.22,19.2,19.54,2651.0,373331.0
2015-03-26,19.3,19.07,19.02,19.18,2945.0,385550.0
2015-03-27,19.13,19.11,18.91,19.07,2286.0,352864.0
2015-03-30,19.46,19.45,19.14,19.18,2336.0,308724.0
2015-03-31,19.42,19.28,19.02,19.38,4378.0,755945.0
2015-04-01,19.26,19.13,18.93,19.09,2949.0,369975.0
2015-04-02,19.38,19.3,19.13,19.13,2470.0,302764.0
2015-04-06,19.63,19.61,19.31,19.31,2678.0,391224.0
2015-04-07,19.59,19.2,19.19,19.59,2772.0,330122.0
2015-04-08,19.26,19.04,18.96,19.22,3663.0,575287.0
2015-04-09,19.07,18.78,18.76,19.01,3341.0,512645.0
2015-04-10,19.05,18.77,18.68,18.93,2992.0,433593.0
2015-04-13,18.96,18.82,18.8,18.82,3138.0,494615.0
2015-04-14,19.0,18.76,18.73,18.88,2268.0,355986.0
2015-04-15,18.848,18.69,18.67,18.77,2468.0,380597.0
2015-04-16,18.795,18.65,18.51,18.62,2619.0,366350.0
2015-04-17,18.64,18.37,18.31,18.55,3427.0,573917.0
2015-04-20,18.588,18.35,18.26,18.44,3516.0,748333.0
2015-04-21,18.65,18.29,18.22,18.46,4140.0,634931.0
2015-04-22,18.36,18.28,18.2,18.27,2804.0,586976.0
2015-04-23,18.82,18.71,18.16,18.39,3124.0,439542.0
2015-04-24,18.84,18.68,18.59,18.77,2047.0,262127.0
2015-04-27,18.9253,18.64,18.47,18.74,3014.0,457401.0
2015-04-28,18.62,18.58,18.4,18.59,1919.0,290164.0
2015-04-29,18.51,18.18,18.18,18.39,2602.0,383173.0
2015-04-30,18.15,17.95,17.83,18.07,5177.0,746631.0
2015-05-01,18.08,17.99,17.82,18.01,3690.0,473396.0
2015-05-04,18.12,17.97,17.85,18.01,4218.0,518072.0
2015-05-05,18.03,17.52,17.48,17.92,4585.0,554577.0
2015-05-06,17.61,17.59,17.34,17.51,5048.0,767498.0
2015-05-07,18.07,18.03,17.6,17.64,3974.0,824751.0
2015-05-08,18.46,18.13,18.12,18.25,3346.0,500557.0
2015-05-11,18.19,17.72,17.65,18.02,2506.0,325056.0
2015-05-12,17.76,17.74,17.36,17.62,3268.0,398896.0
2015-05-13,17.93,17.39,17.36,17.81,4118.0,481973.0
2015-05-14,17.65,17.65,17.39,17.4,3174.0,620383.0
2015-05-15,17.95,17.94,17.56,17.68,2631.0,500089.0
2015-05-18,17.89,17.84,17.635,17.83,3318.0,453493.0
2015-05-19,17.78,17.58,17.58,17.77,2310.0,336835.0
2015-05-20,17.65,17.5,17.48,17.61,2135.0,279594.0
2015-05-21,17.63,17.29,17.23,17.51,3075.0,440941.0
2015-05-22,17.38,17.18,17.1,17.23,2572.0,358317.0
2015-05-26,17.16,17.09,16.98,17.15,3215.0,395280.0
2015-05-27,17.31,17.29,17.01,17.11,3088.0,377847.0
2015-05-28,17.3,17.15,17.01,17.3,3379.0,516873.0
2015-05-29,17.19,16.9,16.85,17.11,4953.0,952011.0
2015-06-01,17.3,17.17,16.89,16.92,4851.0,590287.0
2015-06-02,17.12,17.02,16.96,17.05,2133.0,290896.0
2015-06-03,17.29,17.28,16.92,17.01,7141.0,1130603.0
2015-06-04,17.406,17.37,17.15,17.33,6007.0,1255148.0
2015-06-05,17.42,17.31,17.0,17.16,6847.0,937163.0
2015-06-08,17.47,17.34,17.18,17.26,5335.0,847859.0
2015-06-09,17.67,17.55,17.22,17.31,7360.0,1273219.0
2015-06-10,18.35,17.97,17.54,17.56,10450.0,1398392.0
2015-06-11,18.16,18.16,17.93,18.05,6918.0,1574844.0
2015-06-12,18.62,18.48,18.06,18.13,7484.0,1549741.0
2015-06-15,18.495,18.42,18.25,18.46,6079.0,969767.0
2015-06-16,18.66,18.59,18.35,18.44,5200.0,780832.0
2015-06-17,18.84,18.83,18.47,18.58,6050.0,897802.0
2015-06-18,19.36,19.36,18.742,18.84,10180.0,1627115.0
2015-06-19,19.6,19.56,19.25,19.59,9819.0,3523327.0
2015-06-22,19.73,19.42,19.41,19.6,5853.0,1016950.0
2015-06-23,19.43,18.94,18.94,19.35,7613.0,1747178.0
2015-06-24,19.18,19.17,18.88,18.94,8478.0,1510490.0
2015-06-25,19.27,19.09,19.01,19.12,8509.0,1415904.0
2015-06-26,19.15,18.92,18.88,19.08,6409.0,1533678.0
2015-06-29,19.08,18.6,18.59,18.89,5171.0,783284.0
2015-06-30,19.07,18.43,18.36,18.72,5959.0,1005173.0
2015-07-01,18.57,18.52,18.23,18.37,4195.0,667436.0
2015-07-02,18.78,18.59,18.43,18.65,4254.0,602144.0
2015-07-06,18.85,18.79,18.51,18.57,4863.0,720760.0
2015-07-07,19.18,19.05,18.642,18.93,5867.0,861925.0
2015-07-08,19.02,18.9,18.74,18.92,6630.0,878069.0
2015-07-09,19.07,18.92,18.85,18.95,6169.0,1292025.0
2015-07-10,19.21,18.99,18.89,18.99,4129.0,646944.0
2015-07-13,19.35,19.16,19.0301,19.08,5310.0,1343749.0
2015-07-14,19.25,19.15,19.06,19.18,3418.0,522280.0
2015-07-15,19.26,19.14,18.95,19.08,6722.0,1549284.0
2015-07-16,19.47,19.29,19.21,19.24,6573.0,1111152.0
2015-07-17,19.36,19.28,19.17,19.25,4843.0,655321.0
2015-07-20,19.3299,19.26,19.04,19.21,4143.0,670677.0
2015-07-21,19.39,19.21,19.16,19.3,6887.0,1198178.0
2015-07-22,20.42,20.27,19.28,19.28,15145.0,3680275.0
2015-07-23,20.72,20.16,20.05,20.45,6245.0,1243166.0
2015-07-24,20.225,20.1,20.01,20.13,5631.0,1162015.0
2015-07-27,20.63,20.39,20.18,20.25,7097.0,1757467.0
2015-07-28,20.75,20.67,20.4,20.49,9470.0,1620316.0
2015-07-29,20.91,20.88,20.46,20.64,9255.0,1283976.0
2015-07-30,20.87,20.69,20.605,20.79,5054.0,866865.0
2015-07-31,21.04,20.84,20.6925,20.76,5670.0,873973.0
2015-08-03,20.92,20.84,20.62,20.83,5505.0,785128.0
2015-08-04,20.98,20.76,20.71,20.84,6330.0,882356.0
2015-08-05,20.86,20.64,20.545,20.8,3562.0,432421.0
2015-08-06,20.79,20.76,20.53,20.67,5173.0,652113.0
2015-08-07,20.84,20.8,20.6,20.69,4402.0,575981.0
2015-08-10,20.97,20.83,20.695,20.84,3273.0,443911.0
2015-08-11,21.05,20.99,20.69,20.73,4632.0,578357.0
2015-08-12,20.99,20.96,20.73,20.86,6490.0,843010.0
2015-08-13,20.99,20.81,20.6,20.9,4129.0,515029.0
2015-08-14,20.93,20.85,20.63,20.76,4673.0,634476.0
2015-08-17,21.12,20.92,20.72,20.85,6936.0,1645722.0
2015-08-18,20.95,20.8,20.77,20.86,5470.0,849124.0
2015-08-19,20.75,20.66,20.3617,20.67,5646.0,742078.0
2015-08-20,20.64,20.52,20.345,20.6,6266.0,891150.0
2015-08-21,20.42,20.06,20.05,20.21,6526.0,893476.0
2015-08-24,19.69,19.02,18.99,19.45,9356.0,1336876.0
2015-08-25,19.47,18.4,18.35,19.42,9739.0,1195500.0
2015-08-26,18.87,18.57,18.21,18.84,8391.0,1044110.0
2015-08-27,19.09,18.98,18.51,18.73,7768.0,1142424.0
2015-08-28,19.23,19.22,18.61,19.01,5373.0,706326.0
2015-08-31,19.21,18.73,18.65,19.21,7349.0,1215273.0
2015-09-01,18.68,18.24,18.14,18.45,5139.0,667237.0
2015-09-02,18.5,18.24,18.04,18.41,4556.0,657449.0
2015-09-03,18.49,18.26,18.01,18.36,4110.0,510107.0
2015-09-04,18.42,18.37,18.01,18.09,8193.0,1109944.0
2015-09-08,18.88,18.75,18.41,18.48,7650.0,1035034.0
2015-09-09,19.0,18.75,18.68,18.87,6638.0,863058.0
2015-09-10,19.32,19.08,18.42,18.74,8293.0,1084286.0
2015-09-11,19.79,19.64,19.11,19.11,9225.0,1560765.0
2015-09-14,19.8,19.66,19.54,19.7,6750.0,901926.0
2015-09-15,20.08,19.98,19.67,19.69,5967.0,795365.0
2015-09-16,20.09,19.88,19.73,19.96,6598.0,890700.0
2015-09-17,20.06,19.91,19.71,19.89,10505.0,1316560.0
2015-09-18,20.07,19.76,19.68,19.74,12019.0,2529675.0
2015-09-21,20.0,19.94,19.76,19.82,7179.0,1008285.0
2015-09-22,19.94,19.69,19.57,19.8,6516.0,886461.0
2015-09-23,19.9,19.77,19.556,19.78,5793.0,877413.0
2015-09-24,19.95,19.68,19.47,19.73,5376.0,814217.0
2015-09-25,19.9,19.57,19.55,19.77,5415.0,773694.0
2015-09-28,19.57,19.14,19.01,19.5,8811.0,1430389.0
2015-09-29,19.3,19.06,18.98,19.21,10289.0,1471173.0
2015-09-30,19.26,18.88,18.47,19.2,11200.0,2091236.0
2015-10-01,19.16,19.07,18.672,18.79,10604.0,2106422.0
2015-10-02,19.23,19.2,18.925,19.0,8188.0,1428637.0
2015-10-05,19.89,19.87,19.28,19.3,4775.0,728761.0
2015-10-06,20.11,19.99,19.79,19.83,6981.0,891769.0
2015-10-07,20.35,20.35,20.015,20.06,7710.0,1076803.0
2015-10-08,20.72,20.68,20.26,20.33,8637.0,1594373.0
2015-10-09,20.79,20.76,20.62,20.68,4855.0,703017.0
2015-10-12,20.92,20.76,20.67,20.79,3836.0,461753.0
2015-10-13,20.86,20.67,20.495,20.65,3412.0,434818.0
2015-10-14,20.865,20.72,20.67,20.69,5118.0,839731.0
2015-10-15,20.925,20.9,20.62,20.75,6561.0,1136496.0
2015-10-16,21.4,21.13,20.92,20.94,9021.0,1621346.0
2015-10-19,21.52,21.51,21.04,21.1,7892.0,1110916.0
2015-10-20,22.03,21.78,21.305,21.46,11134.0,2703924.0
2015-10-21,22.15,21.96,21.65,21.75,9106.0,1389941.0
2015-10-22,22.44,22.0,21.86,22.05,9266.0,1514334.0
2015-10-23,22.27,22.13,21.88,22.0,5619.0,1325308.0
2015-10-26,22.24,22.1,21.86,22.14,5527.0,763380.0
2015-10-27,22.39,22.39,21.9,22.07,7195.0,1154049.0
2015-10-28,22.51,22.42,21.95,22.34,7337.0,968113.0
2015-10-29,23.16,22.41,21.83,22.26,12270.0,1853714.0
2015-10-30,22.47,21.76,21.68,22.4,9294.0,1467858.0
2015-11-02,22.63,22.44,21.67,21.82,10842.0,1580585.0
2015-11-03,22.59,22.48,22.21,22.37,6313.0,983781.0
2015-11-04,22.8,22.47,22.3,22.51,6489.0,1056733.0
2015-11-05,22.6,22.43,22.28,22.45,4039.0,554967.0
2015-11-06,22.43,21.97,21.94,22.13,8656.0,1344030.0
2015-11-09,22.38,21.6,21.49,21.84,8623.0,1365124.0
2015-11-10,21.97,21.85,21.5925,21.61,8620.0,1432402.0
2015-11-11,22.26,22.2,21.8,21.85,4541.0,713826.0
2015-11-12,22.51,22.38,22.04,22.14,7006.0,950821.0
2015-11-13,22.63,22.42,22.33,22.38,7502.0,964002.0
2015-11-16,22.68,22.65,22.31,22.39,5682.0,705738.0
2015-11-17,22.9051,22.68,22.52,22.59,6851.0,835467.0
2015-11-18,23.23,23.19,22.58,22.75,10148.0,1481183.0
2015-11-19,23.6,23.6,23.0,23.22,11517.0,1767422.0
2015-11-20,24.01,23.96,23.57,23.67,6859.0,952110.0
2015-11-23,24.21,23.99,23.87,23.96,4885.0,765479.0
2015-11-24,24.055,23.78,23.49,23.9,4473.0,562033.0
2015-11-25,24.15,24.12,23.69,23.76,4167.0,536481.0
2015-11-27,24.26,24.11,24.02,24.09,3331.0,476243.0
2015-11-30,24.2,23.5,23.4,24.16,8357.0,1158963.0
2015-12-01,24.08,23.69,23.57,23.59,9431.0,1469117.0
2015-12-02,23.85,23.43,23.275,23.62,9149.0,1386039.0
2015-12-03,23.78,22.94,22.94,23.4,7704.0,1129627.0
2015-12-04,23.39,23.27,22.95,22.95,5274.0,662384.0
2015-12-07,23.38,23.11,22.97,23.23,6875.0,838139.0
2015-12-08,23.13,22.85,22.69,23.01,7391.0,811272.0
2015-12-09,23.04,22.53,22.53,22.79,5583.0,941511.0
2015-12-10,22.68,22.2,22.12,22.57,7722.0,1209653.0
2015-12-11,22.2,21.8,21.74,22.0,7765.0,1328231.0
2015-12-14,22.08,22.06,21.69,21.78,7814.0,942554.0
2015-12-15,22.52,22.48,22.07,22.17,6737.0,885410.0
2015-12-16,23.02,22.89,22.565,22.6,6583.0,835614.0
2015-12-17,23.49,23.04,22.98,23.27,8739.0,1126956.0
2015-12-18,23.115,22.98,22.68,22.96,7268.0,1468089.0
2015-12-21,23.2,23.14,22.83,23.13,6654.0,795352.0
2015-12-22,23.45,23.36,23.08,23.22,6141.0,870802.0
2015-12-23,23.5,23.34,23.18,23.43,3975.0,574902.0
2015-12-24,23.44,23.3,23.09,23.35,1443.0,269277.0
2015-12-28,23.45,23.45,23.09,23.29,3248.0,456670.0
2015-12-29,23.81,23.81,23.44,23.55,4557.0,802173.0
2015-12-30,23.91,23.82,23.66,23.73,4544.0,536807.0
2015-12-31,23.85,23.35,23.3,23.81,5172.0,681062.0
2016-01-04,22.95,22.72,22.361,22.95,6627.0,885085.0
2016-01-05,23.055,22.91,22.53,22.77,6281.0,988792.0
2016-01-06,23.1,22.68,22.66,22.72,7412.0,2311819.0
2016-01-07,22.61,22.03,22.01,22.37,7957.0,1159572.0
2016-01-08,22.42,21.99,21.53,22.1,5745.0,1008163.0
2016-01-11,22.36,21.61,21.58,22.04,7064.0,1079805.0
2016-01-12,21.83,20.93,20.62,21.74,9737.0,1414881.0
2016-01-13,21.54,21.03,20.82,20.99,7860.0,1017149.0
2016-01-14,21.635,21.34,20.89,21.09,8947.0,1187176.0
2016-01-15,21.56,21.01,20.7,21.0,6821.0,846638.0
2016-01-19,21.17,20.48,20.25,21.16,7417.0,928214.0
2016-01-20,20.55,19.95,19.46,20.38,9494.0,1158137.0
2016-01-21,20.69,20.39,19.9,20.06,6106.0,770652.0
2016-01-22,20.995,20.91,20.46,20.52,4307.0,601485.0
2016-01-25,21.24,20.99,20.67,20.86,6285.0,867471.0
2016-01-26,21.4,21.38,20.94,21.05,7118.0,967951.0
2016-01-27,21.35,20.97,20.85,21.27,7002.0,843369.0
2016-01-28,21.38,20.94,20.89,21.1,6194.0,1083517.0
2016-01-29,21.4,20.79,20.58,21.1,10466.0,2208129.0
2016-02-01,20.76,20.1,20.07,20.66,10291.0,1638886.0
2016-02-02,20.53,19.2,18.95,19.99,13678.0,2176780.0
2016-02-03,19.52,19.46,19.05,19.34,6029.0,938332.0
2016-02-04,19.57,19.06,18.91,19.39,10854.0,1370868.0
2016-02-05,19.02,18.58,18.54,18.99,7755.0,1200688.0
2016-02-08,18.535,18.31,17.82,18.51,9908.0,1397213.0
2016-02-09,18.25,17.65,17.57,18.13,9604.0,1712708.0
2016-02-10,18.13,17.84,17.4,17.71,6255.0,948958.0
2016-02-11,17.85,17.67,17.38,17.59,7716.0,1372650.0
2016-02-12,18.13,17.99,17.35,17.76,8770.0,1539535.0
2016-02-16,18.32,18.31,17.955,18.06,5992.0,853516.0
2016-02-17,18.62,18.48,18.31,18.36,6140.0,1281167.0
2016-02-18,18.54,18.52,18.28,18.51,5249.0,982480.0
2016-02-19,18.53,18.35,18.3,18.39,5866.0,1019161.0
2016-02-22,18.91,18.88,18.4,18.47,5494.0,834846.0
2016-02-23,19.12,19.08,18.69,18.77,5619.0,788252.0
2016-02-24,19.16,19.04,18.79,19.0,6006.0,875975.0
2016-02-25,19.975,19.9,18.625,19.11,8045.0,1180301.0
2016-02-26,20.33,20.24,19.73,19.93,5544.0,858604.0
2016-02-29,20.45,19.9,19.9,20.18,6656.0,1095919.0
2016-03-01,20.88,20.88,19.93,20.03,6991.0,1092266.0
2016-03-02,20.825,20.82,20.31,20.79,5401.0,694691.0
2016-03-03,20.93,20.86,20.69,20.79,4347.0,544373.0
2016-03-04,21.78,21.74,20.917,20.93,4627.0,650943.0
2016-03-07,21.89,21.7,21.53,21.56,3925.0,511429.0
2016-03-08,21.68,21.19,21.05,21.68,4000.0,544377.0
2016-03-09,21.4,21.33,21.18,21.26,4390.0,704498.0
2016-03-10,21.58,21.27,20.96,21.46,2731.0,283314.0
2016-03-11,21.82,21.8,21.4,21.43,3153.0,478899.0
2016-03-14,22.225,21.9,21.64,21.79,2953.0,400993.0
2016-03-15,22.09,21.99,21.59,21.73,3369.0,399948.0
2016-03-16,22.61,22.61,21.875,21.88,3265.0,539250.0
2016-03-17,23.14,23.13,22.46,22.59,4792.0,748273.0
2016-03-18,23.36,23.29,22.93,23.21,5004.0,1156312.0
2016-03-21,23.38,22.61,22.59,23.2,3902.0,702511.0
2016-03-22,23.005,22.95,22.4,22.53,3652.0,419955.0
2016-03-23,23.0,22.12,22.12,22.89,3003.0,494091.0
2016-03-24,22.07,22.03,21.85,22.04,2915.0,381775.0
2016-03-28,22.47,22.42,22.08,22.08,2567.0,263718.0
2016-03-29,23.53,23.53,22.42,22.42,5088.0,738687.0
2016-03-30,23.705,23.46,23.44,23.54,3729.0,590014.0
2016-03-31,23.65,23.5,23.45,23.46,3362.0,493104.0
2016-04-01,23.49,23.29,22.47,23.19,3632.0,483553.0
2016-04-04,23.4,23.12,23.01,23.29,3593.0,400776.0
2016-04-05,23.2,23.09,22.95,22.98,2922.0,366851.0
2016-04-06,23.25,23.21,22.63,23.07,2607.0,333860.0
2016-04-07,23.13,22.88,22.73,23.13,2763.0,398511.0
2016-04-08,23.59,23.4,22.95,23.04,3326.0,383655.0
2016-04-11,23.63,23.31,23.01,23.45,4459.0,695069.0
2016-04-12,24.04,23.94,23.36,23.36,3269.0,451716.0
2016-04-13,24.19,23.84,23.53,24.02,4493.0,823743.0
2016-04-14,24.195,24.13,23.75,23.88,5593.0,819693.0
2016-04-15,24.92,24.37,23.96,24.11,6039.0,912891.0
2016-04-18,24.68,24.59,24.27,24.37,3301.0,449585.0
2016-04-19,24.625,24.5,24.17,24.6,3409.0,544281.0
2016-04-20,24.65,24.56,24.31,24.49,3824.0,465938.0
