,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,CLI,151414000.0,59821000.0,-0.07345,4192247000.0,2088654000.0,1.057001813,-9240000.0,
1,CLI,153715000.0,68193000.0,-0.02988,4198854000.0,2107572000.0,1.020157446,-2521000.0,
2,CLI,148567000.0,70098000.0,0.01098,4153465000.0,2034819000.0,1.031091484,35379000.0,
3,CLI,146158000.0,69358000.0,0.20801999999999998,4001902000.0,2043592000.0,1.394371484,-126892000.0,
4,CLI,146443000.0,67606000.0,0.04007,4053963000.0,2145393000.0,1.44621662,-31718000.0,3.59
5,CLI,152923000.0,70642000.0,0.04002,4228450000.0,2269287000.0,1.6136369590000001,62191000.0,
6,CLI,149227000.0,73162000.0,0.12140999999999999,4213540000.0,2256955000.0,1.590941224,48393000.0,
7,CLI,157517000.0,76863000.0,0.31897,4435619000.0,2455309000.0,1.716925232,-8541000.0,
8,CLI,153731000.0,74181000.0,-0.023809999999999998,4296766000.0,2340009000.0,1.5822912869999999,15181000.0,
9,CLI,149887000.0,72428000.0,0.052829999999999995,4914227000.0,2731204000.0,1.595499882,19879000.0,
10,CLI,162766000.0,85710000.0,-0.0103,5076494000.0,2950219000.0,1.451558549,-37330000.0,
11,CLI,160018000.0,81579000.0,0.04432,4995519000.0,2839186000.0,1.3023722309999999,38054000.0,
12,CLI,143529000.0,70799000.0,-0.05025,4957885000.0,2809568000.0,1.017726659,2582000.0,
13,CLI,138967000.0,61463000.0,-0.08436,4815606000.0,2615211000.0,1.2121044140000001,43036000.0,
14,CLI,126589000.0,60314000.0,-0.062439999999999996,4858284000.0,2646437000.0,1.290630339,-1251000.0,
15,CLI,132114000.0,63317000.0,0.0548,5046194000.0,2807718000.0,1.205907672,-1478000.0,
16,CLI,132936000.0,67370000.0,-0.15556,5060644000.0,2792651000.0,1.348737155,43804000.0,
17,CLI,134249000.0,64158000.0,-0.31025,5274284000.0,2686317000.0,1.2345453020000001,244495000.0,
18,CLI,130461000.0,59299000.0,-0.34931999999999996,5327712000.0,2687642000.0,1.19190646109877,-22054000.0,
19,CLI,131884000.0,64011000.0,-0.13063,5720935000.0,3151559000.0,1.3346836925790901,-55928000.0,
20,CLI,,,,,,,,
