Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,29.09,28.78,28.63,29.09,2370.0,259135.0
2015-02-17,28.996,28.22,28.09,28.84,3735.0,407835.0
2015-02-18,31.02,30.16,28.55,28.55,6842.0,1525053.0
2015-02-19,30.48,29.7,29.28,30.26,5523.0,807708.0
2015-02-20,30.44,30.08,29.2,29.77,6196.0,803391.0
2015-02-23,30.96,30.5,29.75,30.17,3709.0,403473.0
2015-02-24,30.53,30.21,30.07,30.33,2355.0,345112.0
2015-02-25,30.71,30.02,30.0,30.27,2015.0,215624.0
2015-02-26,30.243,29.8,29.65,29.89,2406.0,324212.0
2015-02-27,30.21,29.72,29.554,29.87,2416.0,297237.0
2015-03-02,30.66,30.19,29.32,29.6,2055.0,270462.0
2015-03-03,30.38,30.08,29.7695,30.17,1873.0,208754.0
2015-03-04,30.48,29.88,29.85,30.07,1659.0,194780.0
2015-03-05,30.325,29.74,29.618,29.87,2060.0,241738.0
2015-03-06,29.96,28.91,28.89,29.42,2806.0,290285.0
2015-03-09,29.73,29.64,28.88,29.08,2299.0,279951.0
2015-03-10,29.7,29.52,29.191,29.48,2231.0,253174.0
2015-03-11,30.595,30.08,29.66,29.68,2806.0,319895.0
2015-03-12,30.88,30.88,30.25,30.45,2809.0,361765.0
2015-03-13,31.04,30.33,29.94,31.04,1745.0,191488.0
2015-03-16,31.73,31.62,30.54,30.54,3129.0,392310.0
2015-03-17,31.79,31.61,31.112,31.7,2889.0,331220.0
2015-03-18,32.35,32.3,31.25,31.68,4225.0,423071.0
2015-03-19,32.52,32.48,31.81,32.08,2389.0,284765.0
2015-03-20,32.8,32.6,31.91,32.66,2962.0,499208.0
2015-03-23,32.86,32.62,32.25,32.54,2187.0,245288.0
2015-03-24,32.68,32.3,31.9,32.68,2542.0,282666.0
2015-03-25,32.11,31.19,31.14,32.11,1892.0,224673.0
2015-03-26,31.51,31.33,30.52,31.1,2371.0,292033.0
2015-03-27,31.7699,31.64,30.86,31.41,3440.0,594589.0
2015-03-30,32.52,32.49,31.615,31.8,1893.0,272239.0
2015-03-31,31.97,31.12,30.79,31.97,6140.0,934477.0
2015-04-01,31.38,31.11,31.0,31.27,28395.0,6659999.0
2015-04-02,32.06,31.61,31.09,31.16,9382.0,1588512.0
2015-04-06,32.58,32.49,31.51,31.74,7564.0,1024275.0
2015-04-07,32.65,31.77,31.76,32.55,4611.0,604481.0
2015-04-08,32.22,32.01,31.58,31.9,4409.0,516458.0
2015-04-09,32.14,31.55,31.2,32.11,4549.0,608861.0
2015-04-10,31.79,31.62,31.42,31.66,2015.0,463700.0
2015-04-13,31.8,31.41,31.35,31.52,3493.0,459291.0
2015-04-14,31.49,31.37,30.95,31.49,2767.0,441747.0
2015-04-15,31.4,31.06,30.95,31.4,3661.0,386950.0
2015-04-16,31.28,31.17,30.51,31.09,2578.0,276733.0
2015-04-17,31.22,30.92,30.69,31.06,4027.0,529225.0
2015-04-20,31.26,31.02,30.665,31.07,4351.0,449064.0
2015-04-21,31.64,31.32,31.11,31.22,4917.0,542994.0
2015-04-22,31.57,31.49,31.172,31.42,4760.0,543764.0
2015-04-23,31.595,31.49,31.23,31.46,3249.0,336816.0
2015-04-24,31.98,31.97,31.38,31.68,4250.0,453146.0
2015-04-27,32.27,32.18,31.796,32.16,5959.0,706321.0
2015-04-28,32.57,32.31,31.97,32.29,8457.0,1007063.0
2015-04-29,32.75,32.64,32.3,32.51,8758.0,1082590.0
2015-04-30,32.81,32.48,31.83,32.6,9597.0,2133086.0
2015-05-01,32.5999,32.38,31.9,32.43,5745.0,644889.0
2015-05-04,32.37,32.18,31.75,32.29,4655.0,489132.0
2015-05-05,32.05,31.53,31.25,32.0,3626.0,426534.0
2015-05-06,31.735,31.03,30.845,31.56,5549.0,576216.0
2015-05-07,31.82,30.36,29.125,31.39,8494.0,1345651.0
2015-05-08,31.63,31.26,30.51,31.0,5323.0,595064.0
2015-05-11,31.49,30.54,30.47,31.29,3766.0,544725.0
2015-05-12,31.11,30.9,30.1161,30.34,4826.0,582195.0
2015-05-13,31.16,30.88,30.72,31.1,4828.0,642730.0
2015-05-14,31.24,30.74,30.58,31.12,4120.0,566434.0
2015-05-15,31.3,31.29,30.702,30.88,3801.0,461619.0
2015-05-18,31.67,31.67,30.96,31.13,3456.0,397508.0
2015-05-19,32.09,32.0,31.45,31.65,3133.0,520550.0
2015-05-20,32.36,32.02,31.76,32.21,2308.0,249690.0
2015-05-21,32.06,31.62,31.53,32.04,1393.0,132381.0
2015-05-22,31.77,31.52,31.35,31.39,2181.0,222625.0
2015-05-26,31.57,31.24,30.97,31.52,3430.0,332609.0
2015-05-27,32.08,32.0,31.03,31.46,3543.0,422418.0
2015-05-28,32.52,32.51,31.83,31.89,3271.0,339342.0
2015-05-29,32.66,32.27,31.91,32.56,4234.0,581713.0
2015-06-01,32.84,32.2,32.13,32.5,4717.0,517281.0
2015-06-02,32.15,31.84,31.67,32.15,2665.0,292960.0
2015-06-03,32.2,31.44,31.22,32.1,2688.0,295653.0
2015-06-04,31.56,31.09,30.96,31.28,2438.0,244361.0
2015-06-05,31.17,31.02,30.42,30.81,2944.0,287459.0
2015-06-08,31.29,31.01,30.785,31.0,2189.0,200318.0
2015-06-09,31.16,31.03,30.715,31.06,2282.0,198967.0
2015-06-10,31.27,30.9,30.63,31.07,3535.0,477298.0
2015-06-11,31.155,31.02,30.919,31.03,2721.0,203575.0
2015-06-12,30.99,30.65,30.63,30.99,1798.0,250055.0
2015-06-15,30.727,30.52,30.35,30.55,3172.0,423178.0
2015-06-16,30.53,30.49,30.15,30.53,2788.0,297707.0
2015-06-17,30.6,30.18,30.05,30.6,3190.0,421950.0
2015-06-18,30.84,30.52,30.13,30.13,3776.0,439876.0
2015-06-19,30.51,29.92,29.84,30.5,5355.0,1280569.0
2015-06-22,30.89,30.55,30.1,30.16,8076.0,1034491.0
2015-06-23,30.35,30.08,29.4,30.0,7366.0,1362074.0
2015-06-24,30.26,30.1,29.91,30.06,31427.0,7261608.0
2015-06-25,30.25,29.96,29.81,30.15,7517.0,1175735.0
2015-06-26,30.11,30.05,29.51,30.02,8569.0,2937655.0
2015-06-29,30.25,29.22,29.09,29.95,7478.0,826315.0
2015-06-30,29.45,29.45,29.06,29.23,6715.0,693869.0
2015-07-01,29.83,29.83,29.39,29.64,5353.0,679419.0
2015-07-02,30.04,30.02,29.55,29.64,6284.0,1136308.0
2015-07-06,30.14,30.11,29.49,29.78,5843.0,787219.0
2015-07-07,30.25,30.24,29.86,30.05,6309.0,667969.0
2015-07-08,30.46,29.99,29.98,30.02,5005.0,554545.0
2015-07-09,30.3799,29.57,29.46,30.27,3527.0,354810.0
2015-07-10,30.02,29.82,29.49,29.77,4089.0,439746.0
2015-07-13,30.18,30.04,29.69,29.89,4074.0,477159.0
2015-07-14,30.157,30.04,29.94,30.11,4769.0,627930.0
2015-07-15,30.2,30.08,29.73,30.0,3592.0,479049.0
2015-07-16,30.32,30.18,30.03,30.03,5116.0,603847.0
2015-07-17,30.36,30.22,30.07,30.34,3855.0,453729.0
2015-07-20,30.74,30.495,30.04,30.08,3612.0,407640.0
