,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,CONE.O,86900000.0,41900000.0,0.048389999999999996,1571000000.0,711100000.0,2.6103196669999997,-7000000.0,-2.82
1,CONE.O,85700000.0,41400000.0,0.02426,1576600000.0,743700000.0,2.577950169,-4300000.0,-2.72
2,CONE.O,89100000.0,43600000.0,0.00861,1991700000.0,794700000.0,2.673018312,-5500000.0,-1.47
3,CONE.O,111200000.0,53300000.0,-0.00848,2181600000.0,1147400000.0,3.148761682,-4600000.0,1.53
4,CONE.O,113300000.0,53600000.0,0.007490000000000001,2195600000.0,1158700000.0,4.031397838999999,-1000000.0,-1.83
5,CONE.O,117800000.0,59500000.0,0.1057,2483500000.0,1168800000.0,4.251704548999999,5600000.0,-0.47
6,CONE.O,130100000.0,66200000.0,0.11850999999999999,2511300000.0,1251400000.0,3.696911024,9100000.0,3.55
7,CONE.O,143800000.0,70600000.0,0.06521,2696300000.0,1219500000.0,3.140345654,4400000.0,1.75
8,CONE.O,137400000.0,67700000.0,0.04997,2852400000.0,1386600000.0,3.700181401,800000.0,
9,CONE.O,149300000.0,76300000.0,-0.07798,3543800000.0,1878700000.0,3.751684618,-30400000.0,3.36
10,CONE.O,166900000.0,85700000.0,0.02997,3816600000.0,1978200000.0,3.669958513,-800000.0,2.32
11,CONE.O,175300000.0,90900000.0,-0.1911,3883800000.0,2157900000.0,3.948310382,-55100000.0,0.91
12,CONE.O,180500000.0,92400000.0,0.06987,4312100000.0,2231400000.0,2.87252484,2800000.0,0.25
13,CONE.O,196600000.0,104200000.0,0.5021800000000001,4498300000.0,2325500000.0,3.113197617,43500000.0,
14,CONE.O,196900000.0,105000000.0,1.07501,4628700000.0,2322200000.0,3.258912236,105900000.0,
15,CONE.O,206600000.0,105300000.0,-0.42495,5493100000.0,2738900000.0,2.499555883,-42400000.0,
16,CONE.O,221300000.0,96900000.0,-0.9930100000000001,5592500000.0,2781400000.0,2.552016629,-105800000.0,
17,CONE.O,225000000.0,114400000.0,0.8266399999999999,5941400000.0,2932000000.0,2.6775480590000003,89400000.0,-3.41
18,CONE.O,251500000.0,123300000.0,-0.0683,5869700000.0,2745400000.0,3.63528419841211,-8500000.0,-1.96
19,CONE.O,250900000.0,123400000.0,0.14125,5892900000.0,2806800000.0,3.0644432470112206,12600000.0,0.34
20,CONE.O,,,,,,,,0.24
