,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,COR,74655000,36152000,0.21206,1086287000,333750000,3.283296511,6652000,
1,COR,81336000,38767000,0.22753,1097785000,352250000,3.130928442,7623000,
2,COR,86382000,41104000,0.2651,1115609000,360250000,3.63973195,9004000,
3,COR,90524000,44136000,0.3357,1162543000,391007000,4.099118197,11427000,
4,COR,92480000,46394000,0.37233,1217661000,458727000,5.1568561410000004,13345000,
5,COR,96090000,48791000,0.37601,1296330000,496199000,6.645846821,14120000,
6,COR,101274000,49603000,0.36666,1359992000,590992000,5.632143116,14264000,
7,COR,110508000,58607000,0.44543,1451303000,690450000,6.062255158999999,16980000,
8,COR,114921000,62602000,0.48548,1452589000,719657000,7.005329355,18376000,
9,COR,117886000,62428000,0.46498999999999996,1485508000,769503000,8.203597184,17728000,
10,COR,123068000,62876000,0.46513000000000004,1499956000,788787000,9.130692782999999,17842000,
11,COR,125946000,66333000,0.44105,1625643000,939570000,9.575043823,20909000,
12,COR,129619000,70169000,0.5999,1640414000,986974000,12.216157615999998,20302000,
13,COR,136447000,71680000,0.5698,1767098000,1030536000,14.094869402999999,19389000,
14,COR,139180000,70737000,0.52377,1818220000,1073479000,14.817403924,18600000,
15,COR,139146000,71401000,0.5405800000000001,1853667000,1130823000,12.13565281,19631000,
16,COR,138895000,71079000,0.54091,1932862000,1210716000,16.19659048,19661000,
17,COR,142906000,73052000,0.53574,2001444000,1310114000,19.169544039,19535000,
18,COR,144891000,74189000,0.47225,2046742000,1380541000,22.503812726570303,17450000,
19,COR,146035000,75421000,0.51463,2100999000,1478402000,23.450138546987702,19194000,
