,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,CPT,201608000,116573000.0,0.27869,6077059000,2743117000,2.57715636,115599000,4.58
1,CPT,206432000,115666000.0,0.34515999999999997,5988906000,2662825000,2.409154526,36079000,4.51
2,CPT,212593000,117114000.0,0.35752,6022513000,2703832000,2.4137705819999997,37044000,5.45
3,CPT,214985000,121780000.0,0.40671,6037612000,2724687000,2.527437601,60593000,5.83
4,CPT,217595000,121896000.0,0.39452,6040455000,2765817000,2.771871907,41730000,5.8
5,CPT,221478000,123895000.0,0.35999000000000003,6199474000,2480800000,2.940787833,446302000,6.78
6,CPT,220235000,124217000.0,0.29999000000000003,6088279000,2480626000,2.562571417,290898000,5.07
7,CPT,217139000,125560000.0,0.45383999999999997,6028152000,2480588000,2.704716851,40893000,4.73
8,CPT,219521000,121022000.0,0.39079,5935346000,2450295000,2.61053659,34861000,4.52
9,CPT,223370000,124993000.0,0.43409,5798600000,2303900000,2.794656317,39188000,4.8
10,CPT,228178000,122571000.0,0.37756999999999996,6168895000,2204251000,3.0191815639999997,34384000,4.4
11,CPT,229827000,131481000.0,0.46697,6173748000,2204598000,2.793324417,87989000,5.56
12,CPT,230683000,128889000.0,0.4116,6128375000,2204940000,2.5404323769999997,39395000,4.8
13,CPT,237133000,134065000.0,0.40306,6131906000,2205288000,2.57570382,38671000,
14,CPT,241770000,135703000.0,0.40503,6198500000,2259609000,2.671853994,38866000,
15,CPT,244919000,138733000.0,0.40856,6219586000,2321603000,2.5216292240000002,39196000,
16,CPT,248567000,138423000.0,0.3917,6285394000,2124819000,2.9321814219999998,38613000,
17,CPT,255761000,145525000.0,0.42751000000000006,6621602000,2476803000,2.8351235619999997,42399000,
18,CPT,260672000,148010000.0,0.43966000000000005,6648646000,2477387000,3.04704484676517,43597000,
19,CPT,263461000,,1.07982,6748504000,2524099000,2.9372202345548097,95014000,
