Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,24.6,24.28,24.04,24.58,13869.0,1964128.0
2015-02-17,24.53,24.01,23.87,24.3,12267.0,1842709.0
2015-02-18,24.38,24.2,23.72,24.06,14024.0,2726415.0
2015-02-19,24.19,23.89,23.69,24.13,11371.0,2173443.0
2015-02-20,24.35,24.2,23.69,23.78,9616.0,1423877.0
2015-02-23,24.44,24.27,24.11,24.21,7337.0,1024713.0
2015-02-24,24.25,23.71,23.69,24.21,10091.0,1427963.0
2015-02-25,24.06,23.63,23.585,23.7,13393.0,2094102.0
2015-02-26,23.665,23.3,23.29,23.65,12439.0,2069702.0
2015-02-27,23.6,23.2,22.84,23.41,16337.0,4083507.0
2015-03-02,23.54,23.33,23.17,23.29,9792.0,1388674.0
2015-03-03,23.45,23.42,23.04,23.29,8269.0,1168596.0
2015-03-04,23.48,22.93,22.9,23.32,7913.0,1100728.0
2015-03-05,23.25,23.05,22.872,22.95,9229.0,1323925.0
2015-03-06,22.79,22.31,22.09,22.7,12539.0,1792900.0
2015-03-09,22.6,22.52,22.26,22.33,8669.0,1258772.0
2015-03-10,23.14,22.7,22.3,23.14,12621.0,2070035.0
2015-03-11,22.83,22.67,22.62,22.66,8067.0,1223095.0
2015-03-12,23.37,23.29,22.554,22.76,8976.0,1302447.0
2015-03-13,23.51,23.46,23.13,23.32,12376.0,2237872.0
2015-03-16,23.73,23.7,23.51,23.62,9991.0,1506707.0
2015-03-17,23.77,23.68,23.45,23.66,7958.0,1100765.0
2015-03-18,24.37,24.26,23.47,23.71,9995.0,1232361.0
2015-03-19,24.36,24.13,23.94,24.15,7648.0,1142103.0
2015-03-20,24.92,24.91,24.1,24.1,9315.0,1790668.0
2015-03-23,25.03,24.87,24.74,24.98,9634.0,1486412.0
2015-03-24,24.8992,24.64,24.58,24.85,5540.0,948192.0
2015-03-25,24.72,24.1,24.02,24.68,6241.0,801078.0
2015-03-26,24.18,23.85,23.82,24.0,6103.0,717691.0
2015-03-27,23.996,23.8,23.69,23.91,7273.0,1088589.0
2015-03-30,24.14,24.13,23.54,23.76,7005.0,911518.0
2015-03-31,24.5,24.15,24.04,24.12,12764.0,2464618.0
2015-04-01,24.35,23.98,23.8,24.1,10295.0,1141914.0
2015-04-02,24.24,24.01,23.88,23.97,7032.0,949059.0
2015-04-06,24.33,24.26,24.02,24.04,4901.0,709223.0
2015-04-07,24.25,23.91,23.91,24.25,5131.0,689922.0
2015-04-08,24.09,24.07,23.86,23.96,5903.0,868482.0
2015-04-09,24.04,23.44,23.385,24.0,6591.0,1423811.0
2015-04-10,23.75,23.41,23.31,23.5,5334.0,697623.0
2015-04-13,23.46,23.08,23.08,23.43,8059.0,1307946.0
2015-04-14,23.38,23.16,23.12,23.13,4802.0,696006.0
2015-04-15,23.23,22.89,22.87,23.23,5482.0,721261.0
2015-04-16,23.06,22.98,22.74,22.81,6583.0,877786.0
2015-04-17,22.94,22.76,22.47,22.87,10118.0,1841676.0
2015-04-20,23.27,23.15,22.81,23.18,10278.0,2171684.0
2015-04-21,23.49,23.44,23.18,23.22,6529.0,1019639.0
2015-04-22,23.76,23.71,23.39,23.46,10537.0,1973446.0
2015-04-23,23.83,23.7,23.51,23.67,6048.0,962980.0
2015-04-24,23.88,23.79,23.56,23.7,4951.0,858365.0
2015-04-27,24.08,23.76,23.68,23.8,9508.0,1732777.0
2015-04-28,23.91,23.91,23.52,23.74,9843.0,1520896.0
2015-04-29,23.85,23.06,23.06,23.68,16160.0,3409975.0
2015-04-30,23.32,23.07,22.85,22.96,18005.0,2619622.0
2015-05-01,23.84,23.58,22.96,23.12,12741.0,1778149.0
2015-05-04,23.9,23.46,23.44,23.71,11487.0,1598410.0
2015-05-05,23.46,22.9,22.79,23.35,10892.0,1490289.0
2015-05-06,22.93,22.77,22.595,22.85,9704.0,1433532.0
2015-05-07,23.25,23.21,22.69,22.78,12948.0,2422582.0
2015-05-08,23.98,23.77,23.42,23.49,6775.0,895011.0
2015-05-11,24.0199,23.61,23.46,23.75,7412.0,1104869.0
2015-05-12,23.9,23.79,23.25,23.46,7218.0,1329236.0
2015-05-13,24.09,23.47,23.42,23.88,6929.0,919316.0
2015-05-14,24.06,24.05,23.57,23.57,7022.0,1015644.0
2015-05-15,24.5,24.45,24.09,24.12,10572.0,1614189.0
2015-05-18,24.7,24.62,24.29,24.4,11395.0,1659770.0
2015-05-19,24.7,24.41,24.39,24.53,7120.0,967775.0
2015-05-20,24.59,24.42,24.33,24.47,7201.0,1024099.0
2015-05-21,24.51,24.17,24.05,24.45,6013.0,876370.0
2015-05-22,24.525,24.26,24.05,24.1,5660.0,818283.0
2015-05-26,24.21,23.99,23.93,24.21,5344.0,783320.0
2015-05-27,24.19,24.1,23.94,24.03,4693.0,793104.0
2015-05-28,24.2,24.06,23.88,24.04,5361.0,925764.0
2015-05-29,24.19,23.79,23.755,24.06,7163.0,1426970.0
2015-06-01,24.25,24.15,23.73,23.85,5550.0,693576.0
2015-06-02,24.11,23.81,23.74,24.07,6009.0,887076.0
2015-06-03,23.96,23.46,23.35,23.75,6895.0,986902.0
2015-06-04,23.5336,23.22,23.2,23.41,4653.0,869160.0
2015-06-05,23.04,22.83,22.65,23.04,8337.0,1313565.0
2015-06-08,22.91,22.75,22.65,22.86,4571.0,680358.0
2015-06-09,22.86,22.74,22.56,22.73,5652.0,984388.0
2015-06-10,23.35,23.2,22.69,22.8,9264.0,1394937.0
2015-06-11,23.37,23.34,23.15,23.35,9677.0,1675049.0
2015-06-12,23.44,23.35,23.146,23.27,4897.0,859550.0
2015-06-15,23.415,23.36,23.1,23.35,5356.0,904670.0
2015-06-16,23.645,23.57,23.25,23.38,7865.0,1389182.0
2015-06-17,23.87,23.78,23.48,23.6,6596.0,1235965.0
2015-06-18,24.21,24.15,23.746,23.8,8510.0,1299778.0
2015-06-19,24.18,24.08,23.84,24.03,5305.0,1247767.0
2015-06-22,24.13,23.76,23.74,24.1,9073.0,1813941.0
2015-06-23,23.94,23.84,23.6,23.67,10486.0,1932255.0
2015-06-24,23.99,23.57,23.57,23.84,7975.0,1308197.0
2015-06-25,23.615,23.29,23.14,23.6,7315.0,1088551.0
2015-06-26,23.57,23.3,23.18,23.28,10653.0,3886696.0
2015-06-29,23.4,22.91,22.86,23.14,10039.0,1668892.0
2015-06-30,23.4,23.16,22.9,23.02,10878.0,1551602.0
2015-07-01,23.83,23.81,23.05,23.13,9562.0,1684530.0
2015-07-02,24.19,23.85,23.795,23.99,8642.0,1231368.0
2015-07-06,24.07,24.0,23.67,23.67,6922.0,1014614.0
2015-07-07,24.625,24.56,24.07,24.07,10303.0,1382847.0
2015-07-08,24.745,24.72,24.46,24.46,8838.0,1307898.0
2015-07-09,25.02,24.75,24.65,24.82,10106.0,1432833.0
2015-07-10,25.25,25.05,24.67,24.87,8958.0,1597045.0
2015-07-13,25.44,24.94,24.93,25.27,14744.0,2498275.0
2015-07-14,25.06,24.93,24.78,25.01,7156.0,1394282.0
2015-07-15,25.15,25.03,24.76,24.87,5087.0,789981.0
2015-07-16,25.24,25.11,24.99,25.11,6100.0,1000869.0
2015-07-17,25.24,25.04,24.86,25.07,6403.0,1048153.0
2015-07-20,25.12,25.04,24.84,25.12,5198.0,905541.0
2015-07-21,25.24,24.96,24.94,25.11,5044.0,689288.0
2015-07-22,25.25,25.17,24.95,24.95,5195.0,776170.0
2015-07-23,25.45,25.07,24.83,25.45,5621.0,871617.0
2015-07-24,25.25,25.1,24.9,24.98,5153.0,724059.0
2015-07-27,25.41,25.19,25.09,25.18,3430.0,464742.0
2015-07-28,25.23,25.09,24.9,25.2,5544.0,760210.0
2015-07-29,25.47,25.32,24.89,25.09,8587.0,1277261.0
2015-07-30,25.76,25.66,25.17,25.22,7315.0,1367265.0
2015-07-31,26.39,26.16,25.82,25.87,6790.0,1008768.0
2015-08-03,26.32,26.15,25.88,26.18,8059.0,1142785.0
2015-08-04,26.28,25.87,25.83,26.19,7429.0,1098681.0
2015-08-05,26.01,25.75,25.59,25.91,7213.0,1148466.0
2015-08-06,26.05,25.95,25.55,25.75,8068.0,1230625.0
2015-08-07,26.365,26.18,25.66,25.71,7232.0,1078555.0
2015-08-10,26.5,26.04,26.0,26.25,8665.0,1443625.0
2015-08-11,26.39,26.11,25.8823,26.01,9426.0,1341261.0
2015-08-12,26.4,26.38,25.93,26.05,9254.0,1356007.0
2015-08-13,26.595,26.44,26.07,26.39,7795.0,1573562.0
2015-08-14,26.59,26.55,26.22,26.4,7778.0,1260746.0
2015-08-17,26.81,26.65,26.54,26.55,8589.0,1444674.0
2015-08-18,26.71,26.68,26.56,26.6,10483.0,1617868.0
2015-08-19,26.68,26.52,26.37,26.54,9106.0,1583849.0
2015-08-20,26.7,26.46,26.4,26.47,7416.0,1231331.0
2015-08-21,26.59,26.25,25.92,26.12,10121.0,1748428.0
2015-08-24,25.99,25.05,25.02,25.41,13782.0,1918181.0
2015-08-25,25.95,24.5,24.46,25.95,12560.0,2172628.0
2015-08-26,25.11,25.01,24.335,25.0,11875.0,1739067.0
2015-08-27,25.975,25.85,25.0,25.31,13148.0,1972202.0
2015-08-28,25.95,25.82,25.04,25.72,10997.0,1940401.0
2015-08-31,25.92,25.29,25.265,25.76,9791.0,1804433.0
2015-09-01,25.145,24.86,24.635,24.9,9302.0,1597860.0
2015-09-02,25.37,25.26,24.92,25.17,7512.0,1185516.0
2015-09-03,25.5,25.15,25.11,25.34,8485.0,1348245.0
2015-09-04,25.0,24.49,24.32,24.94,8990.0,1451233.0
2015-09-08,25.23,25.16,24.671,24.78,8334.0,1352490.0
2015-09-09,25.46,24.79,24.74,25.4,7126.0,1200768.0
2015-09-10,25.165,24.83,24.68,24.74,6922.0,964920.0
2015-09-11,25.24,25.23,24.67,24.79,5158.0,676667.0
2015-09-14,25.35,25.23,25.1,25.32,3881.0,505898.0
2015-09-15,25.6,25.52,25.035,25.24,6019.0,848863.0
2015-09-16,25.685,25.68,25.415,25.52,6961.0,1037777.0
2015-09-17,26.53,26.29,25.59,25.65,14783.0,1913706.0
2015-09-18,26.47,26.13,25.91,25.97,18693.0,2903916.0
2015-09-21,26.53,26.52,26.22,26.24,9160.0,1183290.0
2015-09-22,26.51,26.29,26.16,26.29,7360.0,1217987.0
2015-09-23,26.81,26.77,26.25,26.34,8729.0,1266041.0
2015-09-24,26.94,26.54,26.25,26.66,8828.0,2263411.0
2015-09-25,27.035,26.91,26.43,26.69,12611.0,2104436.0
2015-09-28,26.99,26.86,26.41,26.87,12296.0,1699248.0
2015-09-29,27.08,27.04,26.63,26.82,13766.0,2443413.0
2015-09-30,27.48,27.21,27.01,27.28,15392.0,3345746.0
2015-10-01,27.41,27.32,26.99,27.4,11425.0,1490528.0
