,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,CUBE.K,100267000.0,58768000.0,0.04832,2786339000.0,1173851000.0,2.7344493969999997,5483000.0,3.32
1,CUBE.K,103688000.0,59630000.0,0.044969999999999996,2808000000.0,1176868000.0,2.636212673,8434000.0,2.3
2,CUBE.K,109871000.0,65206000.0,0.07783999999999999,2863953000.0,1203892000.0,3.0829548680000003,13724000.0,3.57
3,CUBE.K,115970000.0,70208000.0,0.10725,2929906000.0,1188244000.0,3.389570594,18438000.0,4.55
4,CUBE.K,114992000.0,70258000.0,0.10902,3104164000.0,1251542000.0,3.5394295060000003,37116000.0,4.4
5,CUBE.K,118871000.0,71029000.0,0.09437000000000001,3206687000.0,1296494000.0,3.2513199569999998,15750000.0,4.69
6,CUBE.K,126526000.0,77639000.0,0.12078,3362509000.0,1429584000.0,2.854523281,20424000.0,5.64
7,CUBE.K,132096000.0,82881000.0,0.13542,3519199000.0,1552729000.0,2.7573565589999998,24884000.0,5.95
8,CUBE.K,132546000.0,82397000.0,0.13401,3475028000.0,1595743000.0,2.82409591,26847000.0,5.77
9,CUBE.K,133037000.0,79375000.0,0.13957,3466115000.0,1598960000.0,2.652067082,24986000.0,6.19
10,CUBE.K,138559000.0,85714000.0,0.18385,3493238000.0,1614100000.0,2.895752537,32458000.0,7.35
11,CUBE.K,143865000.0,89062000.0,0.20815999999999998,3503019000.0,1620403000.0,3.235208492,37297000.0,8.4
12,CUBE.K,143482000.0,91177000.0,0.21923,3545336000.0,1634990000.0,3.154119838,39547000.0,8.73
13,CUBE.K,142877000.0,85958000.0,0.18885,3565534000.0,1689258000.0,3.6470439289999996,34423000.0,8.89
14,CUBE.K,147815000.0,90524000.0,0.20906999999999998,3584760000.0,1600141000.0,3.1443641839999996,38410000.0,
15,CUBE.K,153370000.0,95413000.0,0.23055,3640050000.0,1646265000.0,3.153119463,42900000.0,
16,CUBE.K,153882000.0,93784000.0,0.2015,3752972000.0,1747094000.0,3.507168604,48156000.0,
17,CUBE.K,152845000.0,92897000.0,0.18957000000000002,3814189000.0,1792112000.0,3.7065045739999998,35498000.0,
18,CUBE.K,159017000.0,99868000.0,0.26056,3947469000.0,1852834000.0,3.7701122573187704,49420000.0,
19,CUBE.K,166547000.0,103758000.0,0.2185,3950330000.0,1824273000.0,3.35958857259838,42154000.0,
20,CUBE.K,,,,,,,,
