,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,CUZ,91976000.0,49307000,0.12648,2684661000,847948000,0.9679987390000001,7203000.0,
1,CUZ,97903000.0,49522000,0.1576,2685466000,849772000,0.954301643,7951000.0,
2,CUZ,98146000.0,53678000,0.30496,2637607000,779570000,0.8522026890000001,53620000.0,
3,CUZ,93618000.0,-52212000,0.26635,2595320000,718810000,0.854272838,56744000.0,
4,CUZ,47942000.0,20670000,0.009940000000000001,2610408000,767811000,0.920544823,22796000.0,
5,CUZ,48305000.0,23138000,0.05542999999999999,2622995000,777485000,0.920500433,7765000.0,
6,CUZ,48673000.0,25215000,0.08309,2760734000,789378000,0.928684498,11657000.0,
7,CUZ,,58541000,,4171607000,1380920000,1.075549793,,
8,CUZ,119879000.0,70902000,0.06704,4206289000,1113766000,1.324980661,4751000.0,
9,CUZ,119035000.0,67773000,0.44515,4136046000,1019619000,1.4023825047495901,168089000.0,
10,CUZ,113159000.0,63960000,0.10471,4224200000,1095177000,1.411901701,12067000.0,
11,CUZ,114112000.0,66822000,0.1733,4204619000,1093228000,1.40497949951352,31368000.0,
12,CUZ,117202000.0,68940000,0.15795,4159310000,1091258000,1.31522858036737,16043000.0,
13,CUZ,116628000.0,66922000,0.15319000000000002,4166252000,1089264000,1.463325234,21276000.0,
14,CUZ,118706000.0,72166000,0.18483,4143599000,1065012000,1.34554643,19485000.0,
15,CUZ,122676000.0,76128000,0.20795,4146296000,1062570000,1.19883703,22360000.0,
16,CUZ,132733000.0,76674000,0.21149,4251193000,1116474000,1.4682268180000002,35341000.0,
17,CUZ,142020000.0,85270000,0.23125,6676672000,1837449000,1.372773896,-22409000.0,
18,CUZ,188323000.0,115238000,0.14615,6704120000,1850817000,1.28129151881867,20374000.0,
19,CUZ,194439000.0,116067000,0.15474000000000002,7151447000,2222975000,1.4114049341459298,117112000.0,
