Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,70.96,68.65,67.27,70.63,17638.0,2196401.0
2015-02-17,69.0,67.3,66.9469,68.62,10738.0,1408378.0
2015-02-18,67.68,67.58,66.4128,67.14,12093.0,1432076.0
2015-02-19,67.74,66.27,65.87,67.32,10450.0,1206889.0
2015-02-20,67.47,67.42,66.43,66.47,7828.0,1019106.0
2015-02-23,68.45,67.93,67.49,67.8,5430.0,610809.0
2015-02-24,67.84,66.75,66.5,67.72,8914.0,1093643.0
2015-02-25,67.155,66.17,65.85,66.7,10205.0,1243549.0
2015-02-26,66.33,65.44,64.97,66.21,9364.0,1300589.0
2015-02-27,66.495,66.38,65.39,65.54,6982.0,1042978.0
2015-03-02,67.76,66.94,66.605,67.1,11122.0,1468827.0
2015-03-03,66.9225,66.72,65.79,66.73,8431.0,1033966.0
2015-03-04,66.94,65.6,65.32,66.75,7002.0,917458.0
2015-03-05,66.55,65.87,65.73,65.95,6794.0,768366.0
2015-03-06,65.04,64.99,63.3044,64.52,12501.0,1594788.0
2015-03-09,65.67,64.49,64.42,65.37,6697.0,790173.0
2015-03-10,65.13,64.6,64.0,64.18,8426.0,1026627.0
2015-03-11,64.91,64.51,63.76,63.89,9114.0,1226311.0
2015-03-12,65.31,64.95,64.534,64.79,6866.0,778647.0
2015-03-13,64.97,64.47,64.08,64.93,6046.0,877670.0
2015-03-16,65.44,64.95,64.63,64.74,4952.0,1055615.0
2015-03-17,65.32,64.98,64.53,64.87,9021.0,1263532.0
2015-03-18,66.21,66.04,64.28,65.0,12291.0,1835769.0
2015-03-19,66.98,66.55,65.8196,66.04,7148.0,836490.0
2015-03-20,68.45,68.28,66.48,66.64,7162.0,949616.0
2015-03-23,68.29,67.52,67.49,68.24,7223.0,868031.0
2015-03-24,67.7,66.78,66.72,67.62,5000.0,678259.0
2015-03-25,67.47,66.61,66.4,66.92,8251.0,1069376.0
2015-03-26,67.0,66.67,66.33,66.62,7295.0,1006116.0
2015-03-27,67.24,65.73,65.42,66.55,9602.0,1229346.0
2015-03-30,66.8,66.76,65.495,66.15,5885.0,728505.0
2015-03-31,67.16,65.96,65.95,66.69,7762.0,959141.0
2015-04-01,66.29,65.18,64.715,66.06,8678.0,965245.0
2015-04-02,66.0499,65.84,65.185,65.26,5986.0,651144.0
2015-04-06,66.807,66.39,65.72,65.72,5858.0,609688.0
2015-04-07,66.66,66.03,65.68,66.53,6371.0,651172.0
2015-04-08,66.47,66.37,65.91,66.06,5860.0,671200.0
