,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,DLR,406609000.0,295863000.0,0.6207600000000001,9408426000.0,4817911000.0,2.306683238,120183000.0,5.63
1,DLR,420295000.0,258194000.0,0.33182,9586009000.0,4968826000.0,2.373168382,135511000.0,6.23
2,DLR,435989000.0,269428000.0,0.36398,9501013000.0,4748579000.0,2.305856459,56978000.0,6.1
3,DLR,500443000.0,272186000.0,-0.26252,11416063000.0,5899037000.0,2.571030678,-15983000.0,5.15
4,DLR,504199000.0,289032000.0,0.27860999999999997,11421975000.0,6156730000.0,2.878480516,61549000.0,5.72
5,DLR,514934000.0,291507000.0,0.21395,11292375000.0,6135406000.0,3.630635185,50375000.0,5.19
6,DLR,546293000.0,299898000.0,0.18347,12299035000.0,6024987000.0,3.324837144,219188000.0,3.96
7,DLR,576787000.0,336664000.0,0.54491,12192585000.0,5838607000.0,3.02713567,95075000.0,4.02
8,DLR,550569000.0,317072000.0,0.43875,12329548000.0,6201329000.0,3.31985761,83538000.0,4.428999999999999
9,DLR,565989000.0,323003000.0,0.44298999999999994,12579571000.0,6437620000.0,3.5814693610000004,78651000.0,4.4985
10,DLR,609925000.0,337872000.0,0.26978,21232498000.0,8484244000.0,3.840680988,12435000.0,1.6469999999999998
11,DLR,731445000.0,420852000.0,0.18632,21404345000.0,8648618000.0,2.235003542,73635000.0,3.65
12,DLR,744368000.0,442780000.0,0.25398000000000004,21581917000.0,9147712000.0,2.0922109140000003,106627000.0,3.76
13,DLR,754919000.0,448456000.0,0.27554,21411423000.0,9106084000.0,2.2402824519999998,85463000.0,4.23
14,DLR,768924000.0,442648000.0,0.24627,21462110000.0,9179871000.0,2.2856228730000003,87597000.0,2.51
15,DLR,778267000.0,448126000.0,0.2379,23766695000.0,11101479000.0,2.192020593,51559000.0,2.83
16,DLR,814515000.0,460874000.0,0.24395,23342067000.0,10279656000.0,2.491686843,116812000.0,2.16
17,DLR,800797000.0,443744000.0,0.26449,23430091000.0,11017612000.0,2.431061824,60168000.0,2.25
18,DLR,806466000.0,455600000.0,0.28153,23172765000.0,11092301000.0,2.82806653654095,66497000.0,2.5
19,DLR,,,,,,2.6464967334481497,,2.59
