Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,61.985,61.68,61.08,61.97,1912.0,201699.0
2015-02-17,62.448,61.88,61.52,61.53,2323.0,244108.0
2015-02-18,62.16,62.11,61.26,62.0,2991.0,336753.0
2015-02-19,62.1,61.02,60.98,61.86,1827.0,168091.0
2015-02-20,61.95,61.79,60.9705,60.99,2547.0,252764.0
2015-02-23,62.73,62.6,61.78,61.93,2967.0,289336.0
2015-02-24,62.52,61.62,61.06,62.36,2287.0,263777.0
2015-02-25,61.82,60.67,58.62,60.62,4267.0,444606.0
2015-02-26,60.82,60.27,59.9201,60.35,4006.0,433590.0
2015-02-27,61.16,61.01,60.0,60.5,2913.0,347645.0
2015-03-02,62.11,60.62,60.37,61.17,3010.0,299537.0
2015-03-03,60.895,60.54,59.84,60.5,2314.0,242898.0
2015-03-04,60.73,59.78,59.56,60.49,1772.0,168651.0
2015-03-05,60.4299,59.78,59.72,60.08,1912.0,166508.0
2015-03-06,58.9,57.24,56.64,58.9,5185.0,558670.0
2015-03-09,58.26,58.04,57.564,57.66,2758.0,267715.0
2015-03-10,58.595,58.54,57.83,57.98,2837.0,312356.0
2015-03-11,58.84,58.47,58.09,58.78,2544.0,412302.0
2015-03-12,59.68,59.06,58.57,58.81,4462.0,573990.0
2015-03-13,59.636,58.82,58.26,59.07,2035.0,230321.0
2015-03-16,59.93,59.31,58.6101,58.89,1963.0,214137.0
2015-03-17,59.68,59.41,58.74,59.22,2819.0,289263.0
2015-03-18,60.895,60.53,58.79,59.15,3818.0,378000.0
2015-03-19,60.92,60.31,59.95,60.26,2082.0,273291.0
2015-03-20,61.84,61.78,60.37,60.51,4720.0,812687.0
2015-03-23,62.18,61.59,61.37,61.69,2079.0,228215.0
2015-03-24,61.55,60.72,60.645,61.34,2529.0,301028.0
2015-03-25,61.17,59.76,59.42,60.69,3663.0,395286.0
2015-03-26,60.0,59.46,59.05,59.67,1973.0,205318.0
2015-03-27,59.73,59.41,59.02,59.39,2383.0,262514.0
2015-03-30,60.36,60.32,59.42,59.7,2908.0,265901.0
2015-03-31,60.42,60.03,59.7275,60.15,1877.0,206134.0
2015-04-01,60.6,60.11,59.56,60.23,2439.0,240659.0
2015-04-02,60.84,60.72,60.0001,60.01,1705.0,162726.0
2015-04-06,61.7,61.13,60.73,60.73,1831.0,185496.0
2015-04-07,61.288,59.94,59.9,61.19,2009.0,170571.0
2015-04-08,60.14,59.75,59.47,60.14,2272.0,251477.0
2015-04-09,59.7,57.85,57.8,59.58,3708.0,439103.0
2015-04-10,58.99,58.5,58.2,58.46,2445.0,295071.0
2015-04-13,59.45,58.82,58.53,58.64,1874.0,215690.0
2015-04-14,59.92,59.47,59.14,59.14,2580.0,264759.0
2015-04-15,59.61,58.81,58.75,59.47,1902.0,206451.0
