,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,EQIX.O,638121000,261716000,-5.00785,7781978000,4643954000,5.580938322000001,-355103000,7.05
1,EQIX.O,643174000,274241000,1.3289600000000001,7727694000,4666650000,6.6366062470000005,76452000,
2,EQIX.O,665582000,276375000,1.16391,7826018000,4710030000,7.0154497000000005,59459000,
3,EQIX.O,686649000,286638000,0.87723,7705666000,4636412000,11.980047562000001,41132000,
4,EQIX.O,730462000,297391000,0.40033,10356695000,6521020000,7.480603425,10731000,
5,EQIX.O,844156000,344516000,-0.24931,13495835000,7181791000,5.585953237000001,-31111000,
6,EQIX.O,900510000,379300000,0.73554,13269045000,7001225000,5.4414630310000005,44711000,
7,EQIX.O,924676000,377024000,0.7056600000000001,13097557000,6925310000,5.517576927,51450000,
8,EQIX.O,942647000,394183000,0.90995,12608371000,6759573000,6.548591192999999,61750000,
9,EQIX.O,949525000,387244000,0.64603,17184684000,9181369000,5.130021444,42062000,1.125
10,EQIX.O,1066421000,466083000,1.04467,17473937000,9289119000,5.332407073,45805000,
11,EQIX.O,1152261000,505357000,1.32588,18308496000,10025630000,5.419732167,79900000,4.572
12,EQIX.O,1200221000,531445000,-1.3142399999999999,18691457000,10080419000,4.824815711,65215000,6.77
13,EQIX.O,1215877000,538082000,1.05408,19941928000,11103831000,4.783664114,62894000,4.07
14,EQIX.O,1261943000,552782000,1.42153,20070288000,11390006000,4.970479301,67618000,4.4
15,EQIX.O,1283751000,564346000,1.4687700000000001,20288071000,11354583000,3.958349065,124825000,4.59
16,EQIX.O,1310083000,578062000,1.4051799999999999,20244638000,11332497000,5.0670017519999995,110022000,5.16
17,EQIX.O,1363218000,616461000,1.59857,22491091000,10949676000,5.032058957,118078000,6.21
18,EQIX.O,1384977000,625236000,1.72875,22886505000,10802512000,5.59176343367854,143527000,6.96
19,EQIX.O,1396810000,596502000,1.4486299999999999,22842333000,10788779000,5.68161624501778,120850000,7.34
