,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,EQR,666371000,412852000,0.272,23029048000,10859508000,2.321624055,182522000,3.89
1,EQR,679112000,440466000,0.37649,23081830000,10827907000,2.10627724,286420000,4.79
2,EQR,696289000,453560000,0.35466,23008804000,10803319000,2.218986768,196692000,8.435
3,EQR,703193000,453826000,0.33749,23110196000,10921366000,2.4158100069999997,204486000,9.045
4,EQR,619083000,500413000,-0.10099999999999999,21301292000,8583818000,2.4950219469999997,3587758000,6.55
5,EQR,595154000,328787000,0.29453,21229922000,8510994000,2.172061737,218839000,
6,EQR,606074000,382565000,0.29415,21297744000,8498787000,2.107047921,208316000,
7,EQR,605489000,403921000,1.22819,20704148000,8987258000,2.326496702,277250000,
8,EQR,604100000,377466000,0.22177,20608338000,8929925000,2.225468282,143742000,
9,EQR,612480000,391317000,0.29586,20636575000,8964089000,2.3509756680000002,196041000,
10,EQR,624122000,401651000,0.32677,20697833000,8992272000,2.353238049,138229000,
11,EQR,630704000,418490000,0.31744,20570599000,8957291000,2.284088891,125442000,
12,EQR,633016000,417861000,0.25454,20383870000,8659477000,2.2140447930000002,211809000,
13,EQR,639808000,411040000,0.30530999999999997,20406582000,8772769000,2.279232629,113602000,
14,EQR,652867000,464063000,0.39207,20542150000,8823793000,2.390387756,214937000,
15,EQR,652743000,422774000,0.32042,20394209000,8817939000,2.375936457,117187000,
16,EQR,662494000,415882000,0.28536999999999996,20768811000,8952670000,2.734988569,104539000,
17,EQR,669517000,449121000,0.50626,20990711000,9130421000,2.7994251560000003,308968000,
18,EQR,685145000,444095000,0.34744,21054056000,8991936000,3.15048647131912,267106000,
19,EQR,683919000,445597000,0.46653999999999995,21172769000,9036956000,2.95088693571968,289764000,
