Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,227.95,226.69,224.67,227.67,3638.0,276856.0
2015-02-17,228.47,226.21,225.27,226.24,3086.0,234177.0
2015-02-18,228.19,227.96,224.16,225.16,4216.0,303359.0
2015-02-19,227.96,223.55,223.0,227.96,3751.0,235830.0
2015-02-20,226.77,226.56,222.0,223.24,2712.0,268040.0
2015-02-23,228.9,228.48,225.872,227.03,3732.0,276007.0
2015-02-24,227.42,223.17,222.07,227.04,3001.0,224753.0
2015-02-25,225.55,222.38,222.22,223.17,3348.0,258843.0
2015-02-26,223.14,220.34,220.03,221.95,2993.0,257792.0
2015-02-27,222.66,222.43,218.3545,220.72,3124.0,295502.0
2015-03-02,227.418,225.16,223.25,223.25,4541.0,345091.0
2015-03-03,224.65,223.5,221.72,224.1,3137.0,232799.0
2015-03-04,224.44,221.24,221.01,223.08,4367.0,396954.0
2015-03-05,227.77,226.19,223.065,223.16,5612.0,463819.0
2015-03-06,223.81,219.36,218.8,223.81,5328.0,407299.0
2015-03-09,222.448,222.17,220.08,220.34,2967.0,285508.0
2015-03-10,224.74,223.5,220.164,221.93,4007.0,372061.0
2015-03-11,224.99,223.58,223.01,223.4,3111.0,291664.0
2015-03-12,229.4,228.77,225.4,225.48,4246.0,361717.0
2015-03-13,229.787,228.51,226.9801,228.98,3701.0,298955.0
2015-03-16,234.61,234.61,229.575,230.18,3926.0,335010.0
2015-03-17,234.54,232.65,232.03,234.54,4989.0,356168.0
2015-03-18,237.4,236.72,230.19,233.01,6803.0,458381.0
2015-03-19,238.85,234.84,234.765,236.23,5500.0,548125.0
2015-03-20,241.48,240.55,234.9,234.9,5507.0,818654.0
2015-03-23,243.17,239.85,239.81,240.88,4342.0,355589.0
2015-03-24,240.87,237.76,237.68,239.09,3863.0,273178.0
2015-03-25,239.03,233.13,232.81,237.86,3751.0,284343.0
2015-03-26,234.18,233.33,228.2935,232.2,4337.0,388856.0
2015-03-27,236.28,232.37,231.81,232.8,3741.0,377933.0
2015-03-30,234.43,234.09,231.76,233.54,3927.0,336935.0
2015-03-31,235.03,229.9,229.75,233.25,4487.0,411986.0
2015-04-01,231.25,227.12,226.42,230.18,5331.0,436549.0
2015-04-02,230.55,229.15,226.61,226.64,3808.0,271475.0
2015-04-06,231.9,230.93,229.85,230.51,3262.0,277776.0
2015-04-07,231.06,227.18,227.11,230.28,3149.0,202904.0
2015-04-08,228.96,228.15,227.0,227.17,3167.0,238594.0
2015-04-09,227.47,221.89,221.32,227.47,3695.0,274381.0
2015-04-10,224.88,222.19,221.56,222.65,3321.0,205988.0
2015-04-13,224.04,221.86,221.47,221.47,2297.0,233651.0
2015-04-14,224.65,223.02,221.86,221.86,2708.0,186143.0
2015-04-15,223.87,221.58,221.22,223.14,3360.0,278421.0
2015-04-16,224.38,223.31,220.75,221.12,3273.0,198762.0
2015-04-17,223.53,222.46,220.948,222.26,2949.0,216870.0
2015-04-20,225.0,223.13,221.8,222.49,2745.0,192737.0
2015-04-21,226.32,225.15,224.1201,224.32,2993.0,239060.0
2015-04-22,228.4,226.78,223.99,224.96,3040.0,205555.0
2015-04-23,229.05,227.75,226.8,226.8,3397.0,289273.0
2015-04-24,228.45,227.01,226.16,227.5,3876.0,330627.0
2015-04-27,230.48,228.03,227.26,228.76,4769.0,453108.0
2015-04-28,229.8,229.5,226.55,227.69,3715.0,223041.0
2015-04-29,228.91,224.82,223.95,227.62,2949.0,195692.0
2015-04-30,225.74,221.95,220.46,223.5,5382.0,391300.0
2015-05-01,226.65,224.63,223.38,223.38,4305.0,334617.0
2015-05-04,227.28,225.86,225.06,225.68,3636.0,266280.0
2015-05-05,224.9,219.32,219.0101,224.56,4753.0,348755.0
2015-05-06,220.83,219.86,218.02,218.97,4797.0,268770.0
2015-05-07,227.08,224.19,220.78,225.28,5497.0,437713.0
2015-05-08,231.44,227.44,225.34,225.76,4166.0,309373.0
2015-05-11,229.5499,221.2,220.82,226.85,5606.0,610546.0
2015-05-12,223.14,222.32,218.7,220.08,4899.0,354191.0
2015-05-13,225.73,219.53,218.94,223.24,4947.0,456171.0
2015-05-14,224.75,224.64,219.2,220.2,4664.0,365919.0
2015-05-15,226.58,226.3,224.07,225.47,4718.0,390796.0
2015-05-18,226.22,224.89,223.52,225.11,3024.0,213564.0
2015-05-19,225.47,224.05,222.82,224.47,3211.0,218119.0
2015-05-20,225.9,224.23,223.28,224.62,2827.0,696806.0
2015-05-21,224.27,222.21,221.86,224.27,3240.0,274756.0
2015-05-22,223.81,221.81,220.32,221.9,2779.0,207731.0
2015-05-26,222.45,219.4,219.01,221.79,4622.0,350846.0
2015-05-27,224.47,224.0,220.07,220.39,3934.0,283618.0
2015-05-28,225.395,224.98,223.24,224.03,4014.0,251168.0
2015-05-29,225.62,222.62,222.11,225.27,5300.0,525487.0
2015-06-01,226.56,226.26,222.41,223.17,4063.0,275081.0
2015-06-02,225.39,221.77,221.09,225.37,5299.0,389280.0
2015-06-03,223.74,216.77,216.42,221.53,4464.0,343905.0
2015-06-04,217.2,216.08,214.97,216.04,4399.0,387584.0
2015-06-05,216.135,214.46,211.96,214.39,5130.0,322981.0
2015-06-08,216.06,213.89,213.21,214.96,3369.0,206998.0
2015-06-09,214.62,211.51,211.13,213.51,4285.0,309037.0
2015-06-10,215.49,213.47,210.06,211.71,5993.0,356345.0
2015-06-11,215.4,214.27,210.18,214.45,4595.0,378923.0
2015-06-12,215.73,214.37,213.55,214.48,2848.0,223062.0
2015-06-15,214.37,214.0,212.65,213.67,2993.0,227135.0
2015-06-16,216.82,216.44,213.72,214.17,3043.0,226111.0
2015-06-17,218.59,218.14,214.865,216.49,3653.0,253545.0
2015-06-18,222.67,221.88,219.17,219.17,6024.0,344617.0
2015-06-19,221.37,219.71,218.4,221.02,4435.0,468805.0
2015-06-22,221.78,217.52,217.19,220.26,4471.0,273243.0
2015-06-23,217.34,215.1,214.62,217.0,3826.0,252087.0
2015-06-24,216.75,215.05,214.67,215.46,4919.0,303767.0
2015-06-25,216.98,213.3,213.11,215.08,4383.0,286587.0
2015-06-26,214.58,214.17,208.85,212.17,3856.0,355030.0
2015-06-29,216.1,210.49,210.38,213.97,4680.0,343517.0
2015-06-30,214.47,212.5,209.89,212.36,6992.0,416145.0
2015-07-01,216.73,216.71,212.345,214.31,4418.0,330606.0
2015-07-02,220.23,218.31,214.71,218.56,4655.0,376432.0
2015-07-06,220.065,219.66,215.97,216.8,4534.0,331350.0
2015-07-07,222.98,222.34,219.13,220.76,5984.0,319838.0
2015-07-08,223.09,221.66,220.27,221.49,4435.0,403744.0
2015-07-09,224.4,221.01,221.01,222.77,5569.0,378801.0
2015-07-10,224.686,221.82,221.66,222.2,4532.0,370397.0
2015-07-13,224.8,220.82,219.25,223.47,5607.0,417131.0
2015-07-14,222.66,221.87,218.4,220.99,2811.0,202011.0
2015-07-15,223.45,222.62,218.89,221.3,4093.0,257692.0
2015-07-16,225.0,223.77,222.135,223.41,3912.0,243403.0
2015-07-17,223.77,222.99,221.32,223.72,3764.0,270734.0
2015-07-20,224.93,224.82,221.74,221.79,3794.0,237835.0
2015-07-21,226.36,223.55,223.15,224.01,3643.0,239328.0
2015-07-22,226.025,224.27,222.475,223.74,3210.0,240970.0
2015-07-23,223.89,222.37,220.76,223.56,3198.0,216027.0
2015-07-24,224.62,223.81,221.87,221.89,3504.0,218624.0
2015-07-27,226.54,224.31,222.45,223.79,3075.0,188315.0
2015-07-28,224.03,222.32,219.91,223.76,6114.0,382397.0
2015-07-29,223.02,222.55,220.41,222.92,5101.0,323389.0
2015-07-30,229.9,223.78,221.11,222.03,5159.0,383988.0
2015-07-31,230.0,224.91,224.56,228.0,5017.0,448740.0
2015-08-03,226.945,226.55,224.09,225.67,3834.0,246580.0
2015-08-04,228.91,225.31,224.92,226.78,2903.0,186649.0
2015-08-05,228.49,224.42,223.18,225.53,3333.0,186325.0
2015-08-06,226.28,226.07,221.718,223.97,3547.0,195597.0
2015-08-07,227.15,227.0,223.2,226.15,2238.0,159479.0
2015-08-10,229.07,227.12,225.52,227.78,3696.0,242543.0
2015-08-11,229.54,228.15,225.7,226.52,4685.0,268050.0
2015-08-12,228.6,228.33,225.11,227.6,4105.0,283453.0
2015-08-13,228.95,227.93,224.2,227.33,3412.0,269377.0
2015-08-14,228.84,228.55,225.395,227.23,3950.0,315279.0
2015-08-17,231.2,231.11,227.01,228.8,3909.0,267198.0
2015-08-18,232.2,231.93,229.85,230.75,3782.0,317762.0
2015-08-19,230.59,228.27,224.93,230.07,5817.0,426176.0
2015-08-20,230.97,227.61,225.42,226.61,4725.0,327980.0
