,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,ESS,282873000,185157000,0.5269699999999999,12085159000,5436053000,2.430921231,60677000,2.58
1,ESS,296162000,196536000,0.53606,12045004000,5369331000,2.219570241,46868000,2.12
2,ESS,304626000,199378000,0.65558,12012717000,5317420000,2.331041763,43637000,6.505
3,ESS,310746000,209738000,0.71277,12008384000,5318757000,2.510482665,80938000,6.71
4,ESS,314202000,210530000,0.90914,12067484000,5426552000,2.451149661,81836000,3.08
5,ESS,321590000,215813000,1.1043399999999999,12206691000,5618286000,2.429697539,72013000,3.87
6,ESS,329171000,220163000,1.00837,12177196000,5584687000,2.383431915,65561000,4.16
7,ESS,329038000,217817000,0.94944,12217408000,5563260000,2.502045977,195569000,4.32
8,ESS,335404000,225290000,1.02005,12447427000,5602507000,2.4501387919999997,178964000,3.96
9,ESS,339062000,230460000,1.04785,12524951000,5663395000,2.693009875,70759000,4.04
10,ESS,344369000,230444000,1.20915,12512523000,5615222000,2.653748156,79723000,4.26
11,ESS,345064000,230778000,1.5792899999999999,12495706000,5689126000,2.542654324,103613000,4.58
12,ESS,347255000,229709000,1.3774899999999999,12642667000,5718970000,2.532570459,90918000,4.49
13,ESS,348723000,235670000,1.18496,12555654000,5691093000,2.47916581,100440000,
14,ESS,350917000,234780000,1.2264,12518143000,5633672000,2.56446763,80975000,
15,ESS,353158000,230047000,1.1661299999999999,12383596000,5605942000,2.564110849,117820000,
16,ESS,356223000,236295000,1.30921,12578001000,5735801000,3.0409915689999996,118858000,
17,ESS,361635000,244049000,1.3994,12671145000,5841251000,3.0986288660000003,92275000,
18,ESS,366932000,244861000,1.42555,12997892000,6048141000,3.4882188287312696,99335000,
19,ESS,375365000,246930000,2.11012,12705405000,5808873000,3.19373539548051,125654000,
