Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,65.83,65.33,64.79,65.69,5606.0,590337.0
2015-02-17,65.734,64.7,64.4301,65.31,6209.0,655279.0
2015-02-18,65.59,65.45,64.18,64.75,6101.0,566730.0
2015-02-19,65.3799,63.76,63.65,65.2,7939.0,841301.0
2015-02-20,65.87,65.57,63.46,63.98,7029.0,817556.0
2015-02-23,66.12,66.07,65.42,65.72,7126.0,811718.0
2015-02-24,65.81,65.36,65.05,65.64,8241.0,1054026.0
2015-02-25,66.95,66.34,65.05,65.27,9606.0,1236216.0
2015-02-26,66.35,65.45,65.04,66.35,7726.0,930514.0
2015-02-27,66.13,65.78,65.04,65.57,6245.0,874992.0
2015-03-02,66.625,66.49,65.44,65.78,6590.0,679056.0
2015-03-03,66.42,66.23,65.66,66.42,5471.0,563211.0
2015-03-04,66.3799,65.31,65.17,66.06,5959.0,545945.0
2015-03-05,66.28,65.85,65.31,65.46,4833.0,414477.0
2015-03-06,65.01,64.22,63.59,65.01,9949.0,1132991.0
2015-03-09,64.65,64.33,64.01,64.52,5389.0,549324.0
2015-03-10,64.32,63.95,63.57,64.2,6619.0,851609.0
2015-03-11,64.44,64.01,63.79,64.1,7143.0,1227890.0
2015-03-12,65.07,64.92,63.52,63.96,7623.0,968564.0
2015-03-13,65.36,64.68,64.54,65.08,4335.0,442077.0
2015-03-16,65.91,65.06,64.72,64.81,5814.0,634027.0
2015-03-17,65.74,65.11,64.776,65.06,5941.0,607444.0
2015-03-18,66.82,66.55,64.705,65.18,6490.0,568839.0
2015-03-19,67.39,66.93,66.32,66.49,5722.0,755490.0
2015-03-20,69.24,69.22,67.24,67.37,9765.0,1693276.0
2015-03-23,69.8,69.3,68.91,69.53,7930.0,1010928.0
2015-03-24,69.26,68.42,68.4,69.26,6000.0,748202.0
2015-03-25,68.76,67.14,66.98,68.58,5004.0,554215.0
2015-03-26,67.35,67.25,66.65,66.85,7205.0,727928.0
2015-03-27,67.525,66.98,66.71,67.24,4291.0,453740.0
2015-03-30,68.43,68.26,67.01,67.22,5741.0,567490.0
2015-03-31,68.52,67.57,67.315,68.21,7724.0,1099200.0
2015-04-01,67.84,67.34,66.625,67.57,6156.0,599922.0
2015-04-02,68.38,67.87,67.21,67.34,7053.0,935540.0
2015-04-06,68.46,68.4,67.62,67.92,5306.0,662425.0
2015-04-07,68.48,67.73,67.55,68.28,5573.0,537187.0
2015-04-08,68.27,68.21,67.73,67.8,5389.0,510406.0
2015-04-09,68.2,66.91,66.58,67.96,4775.0,520760.0
2015-04-10,67.86,67.08,66.8,67.3,4405.0,384806.0
2015-04-13,68.25,66.89,66.88,66.88,8422.0,3343980.0
2015-04-14,67.5,66.97,66.64,66.88,6197.0,707324.0
2015-04-15,67.03,66.11,66.09,66.94,6079.0,822700.0
2015-04-16,66.5485,66.21,65.71,65.86,6885.0,596265.0
2015-04-17,66.105,65.82,65.18,65.93,5686.0,554050.0
2015-04-20,66.55,66.22,65.74,65.91,5404.0,609490.0
2015-04-21,66.966,66.88,66.21,66.52,4043.0,485427.0
2015-04-22,67.34,66.97,66.66,66.8,3985.0,682818.0
2015-04-23,67.49,67.33,66.87,66.96,3588.0,407013.0
2015-04-24,67.9,67.61,66.88,67.41,5592.0,620402.0
2015-04-27,68.19,66.79,66.58,67.88,6101.0,825590.0
2015-04-28,67.185,66.85,66.13,66.75,5378.0,515082.0
2015-04-29,67.37,65.09,64.81,66.33,7372.0,916858.0
2015-04-30,67.8,65.93,65.74,66.01,11925.0,1433150.0
2015-05-01,67.44,66.53,65.49,65.95,9252.0,1051619.0
2015-05-04,67.32,66.72,66.53,66.84,5492.0,673997.0
2015-05-05,66.82,65.66,65.55,66.39,7372.0,749766.0
2015-05-06,66.09,65.57,65.2,65.65,6462.0,814990.0
2015-05-07,67.07,66.99,65.46,65.72,6855.0,847475.0
2015-05-08,69.01,68.51,66.5,67.71,7878.0,788778.0
2015-05-11,69.2,68.05,67.81,68.49,8222.0,834807.0
2015-05-12,69.08,68.91,66.87,67.61,7487.0,841856.0
2015-05-13,69.89,68.55,68.375,69.24,9119.0,861126.0
2015-05-14,70.71,70.57,68.58,68.99,10623.0,1185189.0
2015-05-15,72.33,72.22,70.59,70.81,11683.0,2277192.0
2015-05-18,72.46,71.62,71.49,72.26,11020.0,1452561.0
2015-05-19,71.69,71.14,70.83,71.47,15797.0,1552169.0
2015-05-20,71.53,71.01,70.73,71.28,14687.0,1782423.0
2015-05-21,71.29,70.46,70.21,71.11,7185.0,842344.0
2015-05-22,71.23,70.78,70.11,70.16,5234.0,546479.0
2015-05-26,70.86,70.61,70.24,70.75,14334.0,1557923.0
2015-05-27,71.0,70.96,70.46,70.68,8872.0,975740.0
2015-05-28,71.52,70.64,70.15,71.08,10562.0,930204.0
2015-05-29,71.01,70.03,69.73,70.88,15165.0,4217492.0
2015-06-01,70.79,70.31,69.7,70.05,9523.0,961195.0
2015-06-02,70.16,69.17,68.94,70.16,8269.0,888936.0
2015-06-03,69.45,68.2,68.06,69.17,6620.0,740458.0
2015-06-04,68.27,67.62,67.23,68.02,6720.0,800550.0
2015-06-05,67.24,66.59,66.26,67.08,7952.0,838395.0
2015-06-08,66.66,66.43,66.17,66.61,5836.0,614583.0
2015-06-09,66.62,65.83,65.66,66.36,5066.0,543208.0
2015-06-10,67.17,66.54,65.82,65.92,7078.0,609412.0
2015-06-11,67.11,67.1,65.95,66.4,8001.0,855433.0
2015-06-12,67.39,67.2,66.6,66.98,6586.0,831310.0
2015-06-15,67.54,67.1,66.65,67.14,5889.0,613499.0
2015-06-16,68.7025,68.47,66.55,66.59,7985.0,1141999.0
2015-06-17,69.25,68.64,68.37,69.17,26148.0,4362228.0
2015-06-18,69.74,69.55,68.75,68.75,12317.0,1118588.0
2015-06-19,69.68,68.9,68.76,69.45,7866.0,1265000.0
2015-06-22,69.19,68.15,68.09,69.0,8177.0,1293733.0
2015-06-23,68.2,67.16,67.05,68.12,7288.0,778711.0
2015-06-24,67.51,66.25,66.21,67.29,6504.0,787890.0
2015-06-25,66.64,65.41,65.16,66.29,7827.0,763264.0
2015-06-26,65.77,65.64,64.99,65.43,5237.0,718431.0
2015-06-29,66.18,65.04,64.9825,65.34,6741.0,782955.0
