,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,EXR,167367000.0,105038000.0,0.451,4381987000.0,2349764000.0,4.525352989,45122000.0,12.15
1,EXR,173154000.0,106733000.0,0.46901000000000004,4464145000.0,2441547000.0,4.383118697,53742000.0,12.09
2,EXR,185860000.0,117713000.0,0.50666,4833750000.0,2298142000.0,4.4203286639999995,55339000.0,13.06
3,EXR,197497000.0,128295000.0,0.57695,6002836000.0,3492710000.0,5.157721786000001,71718000.0,13.92
4,EXR,225759000.0,144773000.0,0.47518,6071407000.0,3535621000.0,5.552792584,8675000.0,10.63
5,EXR,229403000.0,140578000.0,0.70399,6291419000.0,3682188000.0,5.403234845,82592000.0,14.36
6,EXR,244273000.0,157390000.0,0.5999399999999999,6458998000.0,3797000000.0,4.702874673,83044000.0,14.3
7,EXR,257183000.0,171212000.0,0.9519299999999999,6742056000.0,3991899000.0,4.418720705,118088000.0,15.96
8,EXR,261016000.0,175329000.0,0.69287,7091446000.0,4306223000.0,4.171390788,82403000.0,13.94
9,EXR,263008000.0,173635000.0,0.65351,7034357000.0,4291455000.0,4.3920567980000005,82282000.0,13.81
10,EXR,276003000.0,183039000.0,0.73715,7037463000.0,4288709000.0,4.531540269,87006000.0,15.65
11,EXR,284156000.0,187956000.0,0.74431,7086955000.0,4313012000.0,4.974269688,93764000.0,17.93
12,EXR,281842000.0,190271000.0,0.7077899999999999,7460953000.0,4554217000.0,4.682750058,215961000.0,15.04
13,EXR,285485000.0,185661000.0,0.7003,7470624000.0,4514363000.0,5.368713992000001,88256000.0,15.69
14,EXR,296813000.0,291953000.0,0.7544,7721949000.0,4767495000.0,4.6667497760000005,95153000.0,
15,EXR,306953000.0,205874000.0,0.79043,7798690000.0,4761455000.0,4.7777532769999995,130418000.0,
16,EXR,307353000.0,209803000.0,0.80089,7847978000.0,4811515000.0,5.366455801,101462000.0,
17,EXR,311546000.0,201538000.0,0.74469,8132514000.0,5001094000.0,5.669233133,94770000.0,
18,EXR,323602000.0,210946000.0,0.81103,8390719000.0,5038198000.0,6.14726272074641,104828000.0,
19,EXR,337505000.0,215650000.0,0.83806,8318430000.0,4812000000.0,5.41809087584759,108087000.0,
20,EXR,,,,,,,,
