,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,FRT,184792000,114106000,0.6705,4780750000,2636733000,6.294845786000001,46186000,12.16
1,FRT,181461000,118872000,0.7420399999999999,4733838000,2539505000,5.527213689,43632000,12.45
2,FRT,185252000,119635000,0.7548600000000001,4783803000,2532825000,5.766504416,52447000,12.72
3,FRT,192507000,122337000,0.73385,4896559000,2627216000,6.091406341,67954000,12.74
4,FRT,198344000,124721000,0.72143,5125457000,2659322000,6.518076651,76955000,11.79
5,FRT,197981000,128570000,0.76081,5188468000,2664953000,6.3242011510000005,55941000,12.13
6,FRT,201157000,129364000,0.75667,5397337000,2809564000,5.714526395,58977000,12.2
7,FRT,204109000,131925000,0.8059999999999999,5423279000,2798452000,5.171152441,58037000,12.36
8,FRT,207389000,132923000,0.7749199999999999,5656200000,3013369000,4.862291797,56190000,11.79
9,FRT,208049000,135756000,0.79292,5803503000,3142988000,4.60719017,76291000,11.48
10,FRT,217953000,140108000,0.7699699999999999,6221137000,3263462000,4.50436909,106777000,10.68
11,FRT,223957000,139551000,0.72793,6275755000,3284766000,4.361532145,50656000,10.54
12,FRT,225405000,144255000,0.76357,6293625000,3335414000,3.744015358,61247000,10.67
13,FRT,224902000,148277000,0.78582,6302703000,3320484000,4.115046855,63595000,
14,FRT,229753000,151120000,0.77946,6285664000,3256634000,4.100462025,62558000,
15,FRT,235376000,150314000,0.68815,6289644000,3229204000,3.771285915,54507000,
16,FRT,232227000,150715000,0.77657,6351366000,3228630000,4.363080593,60144000,
17,FRT,230465000,152439000,0.83611,6383741000,3229851000,4.03491291,80902000,
18,FRT,233947000,139373000,0.65386,6607565000,3348976000,4.23889346558789,65465000,
19,FRT,239149000,151749000,0.7848,6794992000,3428656000,3.93471483335139,147355000,
