,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,GEO,427740000,86156000,0.34515999999999997,3002208000,1621395000,3.103329243,38051000,
1,GEO,427369000,77612000,0.26084,3367921000,1979549000,2.483863036,28777000,
2,GEO,445945000,79835000,0.25603000000000004,3401451000,2043723000,2.184566394,28291000,
3,GEO,469866000,90158000,0.34629,3434616000,2085192000,2.1463138980000003,38312000,
4,GEO,500126000,94880000,0.39799999999999996,3462227000,2094742000,2.570536035,44064000,
5,GEO,510185000,87618000,0.29594000000000004,3543027000,2203493000,2.5832579730000003,32350000,
6,GEO,548350000,94609000,0.32957,3600446000,2268940000,1.842789802,23209000,
7,GEO,554376000,101234000,0.3933,3742395000,2410678000,2.7878777710000002,43720000,
8,GEO,566579000,97039000,0.44451999999999997,3749409000,2419803000,3.568209465,49436000,
9,GEO,550614000,93321000,0.35566,4167015000,2576011000,2.933659348,40403000,
10,GEO,577070000,86419000,0.25377,4293768000,2653179000,2.7182358539999996,30992000,
11,GEO,566759000,94551000,0.31484,4369341000,2747727000,2.409744223,38489000,
12,GEO,568977000,98291000,0.37561,4226908000,2581887000,2.116713739,36357000,
13,GEO,564917000,96376000,0.28981999999999997,4193309000,2630331000,2.9500972439999997,34987000,
14,GEO,583509000,98264000,0.31113,4206570000,2666344000,2.79979659,37421000,
15,GEO,583530000,101077000,0.32828,4242339000,2730616000,2.217628796,39289000,
16,GEO,599430000,95382000,0.27999,4258118000,2748841000,2.225103451,33392000,
17,GEO,610667000,107246000,0.34271,4384066000,2785588000,2.477850936,40705000,
18,GEO,613966000,113527000,0.395,4308138000,2704477000,2.0560458730008397,41914000,
19,GEO,631579000,110578000,0.38085,4282879000,2689576000,1.9979252583285099,45932000,
