Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,34.3499,33.57,33.53,34.17,3386.0,347195.0
2015-02-17,33.71,33.5,33.3,33.52,2541.0,260538.0
2015-02-18,34.03,33.87,33.33,33.58,3152.0,411908.0
2015-02-19,33.8,33.61,33.48,33.8,3344.0,364321.0
2015-02-20,33.86,33.79,33.51,33.6,2819.0,389305.0
2015-02-23,33.95,33.91,33.49,33.88,3399.0,380110.0
2015-02-24,33.99,33.85,33.51,33.99,4149.0,427812.0
2015-02-25,34.11,33.77,33.61,33.96,4321.0,559631.0
2015-02-26,33.73,33.57,33.52,33.7,3686.0,473336.0
2015-02-27,33.93,33.85,33.34,33.38,6224.0,885058.0
2015-03-02,34.33,33.79,33.63,33.94,2610.0,321248.0
2015-03-03,33.93,33.76,33.4976,33.73,2932.0,720185.0
2015-03-04,33.97,33.61,33.48,33.77,3808.0,443557.0
2015-03-05,33.82,33.54,33.49,33.69,5316.0,704985.0
2015-03-06,32.99,32.37,32.05,32.84,6274.0,806068.0
2015-03-09,36.55,36.43,34.12,34.5,20261.0,3479308.0
2015-03-10,36.96,36.45,35.81,36.25,10453.0,1504094.0
2015-03-11,36.79,36.62,36.1,36.53,7739.0,1117991.0
2015-03-12,37.14,36.785,36.685,37.01,5645.0,591912.0
2015-03-13,36.51,36.015,35.44,35.89,6368.0,678734.0
2015-03-16,36.14,36.06,35.77,36.13,4402.0,565071.0
2015-03-17,36.53,36.42,35.54,35.87,4835.0,634363.0
2015-03-18,36.885,36.58,36.24,36.86,5833.0,677925.0
2015-03-19,36.99,36.71,36.445,36.55,3549.0,565525.0
2015-03-20,37.68,37.65,36.48,36.87,5967.0,949113.0
2015-03-23,37.85,37.47,37.38,37.5,5853.0,810833.0
2015-03-24,37.64,37.0,36.98,37.49,4453.0,569350.0
2015-03-25,37.31,37.15,36.84,37.13,4609.0,516556.0
2015-03-26,37.2,36.79,36.56,37.03,4147.0,429398.0
2015-03-27,36.98,36.95,36.39,36.86,5980.0,808706.0
2015-03-30,37.31,37.0,36.58,36.95,3791.0,647305.0
2015-03-31,37.06,36.87,36.64,37.0,2937.0,326948.0
2015-04-01,37.2023,37.1,36.62,36.96,2818.0,410151.0
2015-04-02,37.49,37.25,37.0,37.18,2767.0,287443.0
2015-04-06,37.63,37.45,36.9501,37.25,3273.0,484998.0
2015-04-07,37.57,36.81,36.76,37.57,3243.0,350076.0
2015-04-08,36.9,36.75,36.44,36.73,4268.0,469324.0
2015-04-09,36.95,36.42,36.38,36.85,4046.0,480354.0
2015-04-10,37.1799,36.7,36.56,36.64,3152.0,416327.0
2015-04-13,36.94,36.88,36.54,36.74,3128.0,379186.0
2015-04-14,37.63,36.35,36.26,37.03,8856.0,1291523.0
2015-04-15,37.1,36.46,35.71,36.52,9723.0,1043408.0
2015-04-16,36.61,36.6,35.946,36.52,4211.0,428080.0
2015-04-17,36.66,36.49,36.1,36.61,5433.0,568849.0
2015-04-20,36.6,36.45,36.28,36.6,4139.0,378206.0
2015-04-21,36.6799,36.37,36.32,36.63,5339.0,814997.0
2015-04-22,36.51,36.5,36.3,36.35,3167.0,341076.0
2015-04-23,36.72,36.5,36.3,36.37,3116.0,536015.0
2015-04-24,36.77,36.59,36.25,36.58,4118.0,489181.0
2015-04-27,36.68,36.17,36.02,36.65,2873.0,318623.0
2015-04-28,36.385,36.24,36.06,36.1,2598.0,239303.0
2015-04-29,36.27,36.22,35.78,35.88,3768.0,361228.0
2015-04-30,36.35,35.7,35.69,36.21,4404.0,488006.0
2015-05-01,36.005,35.69,35.61,35.7,5211.0,553078.0
2015-05-04,37.22,36.68,36.28,36.33,7292.0,805941.0
2015-05-05,36.69,36.39,36.0,36.5,7391.0,828835.0
2015-05-06,36.75,36.36,36.24,36.56,8513.0,1099221.0
2015-05-07,36.64,36.49,36.02,36.24,5541.0,641497.0
2015-05-08,36.95,36.34,36.31,36.76,4137.0,409413.0
2015-05-11,36.63,36.33,36.17,36.17,3313.0,362091.0
2015-05-12,36.57,36.43,35.785,36.24,2597.0,254691.0
2015-05-13,36.73,36.43,36.38,36.56,2786.0,249787.0
2015-05-14,36.81,36.73,36.45,36.45,2109.0,194578.0
2015-05-15,37.24,37.01,36.59,36.84,3240.0,327346.0
2015-05-18,37.05,37.02,36.61,36.96,5083.0,483974.0
2015-05-19,37.41,37.17,36.95,37.19,3137.0,338835.0
2015-05-20,37.17,36.85,36.58,37.17,2477.0,239936.0
2015-05-21,37.15,37.14,36.72,36.98,2710.0,349887.0
2015-05-22,37.3,37.08,36.82,37.02,4064.0,451631.0
2015-05-26,36.96,36.68,36.5,36.87,3802.0,363318.0
2015-05-27,37.34,37.24,36.21,36.61,4257.0,471564.0
2015-05-28,37.28,37.14,36.76,37.28,2623.0,287082.0
2015-05-29,37.18,36.6,36.52,37.18,3265.0,486288.0
2015-06-01,37.03,36.8,36.51,36.74,3038.0,377593.0
2015-06-02,37.02,36.95,36.58,36.71,4023.0,833588.0
2015-06-03,37.06,36.62,36.5,37.02,3117.0,321973.0
2015-06-04,37.17,36.48,36.48,36.5,2811.0,375079.0
2015-06-05,37.35,36.55,36.41,36.45,7851.0,814654.0
2015-06-08,36.595,36.36,36.18,36.54,4590.0,481086.0
2015-06-09,35.98,35.61,35.52,35.77,3398.0,467058.0
2015-06-10,36.53,36.36,35.5,35.78,5344.0,656610.0
2015-06-11,36.5,36.48,36.06,36.5,3844.0,534846.0
2015-06-12,36.96,36.84,36.33,36.47,3433.0,402862.0
2015-06-15,37.05,36.9,36.47,36.79,3865.0,394003.0
2015-06-16,37.072,36.57,36.51,36.87,3011.0,441078.0
2015-06-17,37.09,37.08,36.45,36.65,4427.0,543695.0
2015-06-18,37.55,37.39,37.14,37.27,4865.0,534872.0
2015-06-19,38.3,38.18,37.17,37.55,10147.0,3383306.0
2015-06-22,38.28,37.53,37.47,38.28,4529.0,585284.0
2015-06-23,37.71,37.47,37.2,37.63,3529.0,435058.0
2015-06-24,37.59,37.39,37.25,37.41,3765.0,355596.0
2015-06-25,37.54,37.4,37.205,37.38,2980.0,292940.0
2015-06-26,37.6,37.35,37.01,37.58,3164.0,731942.0
2015-06-29,37.32,36.5,36.445,37.25,4251.0,473560.0
2015-06-30,37.03,36.66,36.45,36.67,5219.0,627991.0
2015-07-01,37.23,36.76,36.6,36.94,4972.0,765024.0
2015-07-02,36.835,36.65,36.32,36.73,4658.0,528558.0
