,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,GLPI.O,148705000.0,92211000.0,0.29015,2552477000.0,2576463000.0,-53.214766012,33131000.0,
1,GLPI.O,149867000.0,90488000.0,0.27865,2515974000.0,2566439000.0,-52.911671332,31989000.0,
2,GLPI.O,147792000.0,92848000.0,0.28893,2516115000.0,2541414000.0,-42.866247642,33229000.0,
3,GLPI.O,128689000.0,91651000.0,0.25745999999999997,2448155000.0,2510341000.0,-13.474081382,29773000.0,
4,GLPI.O,148820000.0,94720000.0,0.19515,2436229000.0,2468985000.0,-14.098536469,32749000.0,
5,GLPI.O,207361000.0,149377000.0,0.39733,7149062000.0,4513452000.0,-15.590761843,73264000.0,
6,GLPI.O,233275000.0,172782000.0,0.43443000000000004,7421320000.0,4661683000.0,2.851495405,89600000.0,55.6
7,GLPI.O,238799000.0,179461000.0,0.45064,7369330000.0,4664965000.0,2.588874339,93692000.0,57.75
8,GLPI.O,242713000.0,180574000.0,0.45214,7314399000.0,4573194000.0,2.851657036,93991000.0,58.56
9,GLPI.O,243391000.0,183719000.0,0.45929,7357220000.0,4521423000.0,3.256933952,96334000.0,27.81
10,GLPI.O,244506000.0,184058000.0,0.4558,7334808000.0,4449652000.0,3.108154448,97014000.0,27.51
11,GLPI.O,240697000.0,181085000.0,0.44632,7246882000.0,4442880000.0,3.1552323810000003,93259000.0,27.45
12,GLPI.O,244050000.0,182605000.0,0.45261,7220447000.0,4401107000.0,2.896233128,96772000.0,27.99
13,GLPI.O,254221000.0,183492000.0,0.44611999999999996,7288560000.0,4506744000.0,3.162481608,91998000.0,27.7
14,GLPI.O,254139000.0,194828000.0,0.48938999999999994,8295898000.0,5449147000.0,3.1672960060000004,104815000.0,26.3
15,GLPI.O,303317000.0,241387000.0,0.48732,8577293000.0,5853497000.0,2.9323181760000003,45931000.0,30.84
16,GLPI.O,287864000.0,232443000.0,0.43263,8646832000.0,5795122000.0,3.646772869,93010000.0,32.39
17,GLPI.O,289013000.0,248038000.0,0.43271000000000004,8563864000.0,5796990000.0,3.78989094,93033000.0,32.09
18,GLPI.O,287612000.0,247947000.0,0.51774,8504752000.0,5749136000.0,3.8028212860906403,90547000.0,32.54
19,GLPI.O,,,,,,4.38714361262806,,34.54
