Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,32.38,31.85,31.83,32.2,2989.0,397452.0
2015-02-17,32.21,31.7,31.48,31.93,4317.0,560675.0
2015-02-18,31.86,31.85,31.315,31.74,4872.0,741973.0
2015-02-19,31.85,31.31,31.16,31.85,4087.0,533394.0
2015-02-20,31.55,31.46,31.07,31.18,3396.0,457884.0
2015-02-23,31.73,31.55,31.26,31.49,2956.0,354900.0
2015-02-24,31.5099,31.16,30.84,31.47,3686.0,386309.0
2015-02-25,31.32,31.11,30.92,31.14,3471.0,811425.0
2015-02-26,31.17,31.04,30.56,31.12,3942.0,387184.0
2015-02-27,32.01,31.96,31.09,31.19,6943.0,926416.0
2015-03-02,32.45,31.9,31.74,32.11,2971.0,389964.0
2015-03-03,32.07,32.01,31.55,31.85,2629.0,309390.0
2015-03-04,31.99,31.61,31.47,31.96,2699.0,322790.0
2015-03-05,32.01,31.71,31.56,31.72,3736.0,396395.0
2015-03-06,31.386,30.9,30.77,31.36,4455.0,510237.0
2015-03-09,31.19,30.69,30.675,30.94,3612.0,495083.0
2015-03-10,30.82,30.67,30.21,30.39,4088.0,639209.0
2015-03-11,31.28,31.22,30.49,30.76,3059.0,342188.0
2015-03-12,32.06,32.01,31.33,31.33,3776.0,577158.0
2015-03-13,32.1899,32.14,31.75,32.08,3390.0,378074.0
2015-03-16,32.83,32.3,32.16,32.29,3916.0,429847.0
2015-03-17,32.43,32.09,31.7094,32.15,4786.0,556565.0
2015-03-18,32.4,32.39,31.64,32.02,4720.0,584024.0
2015-03-19,32.64,32.34,32.05,32.21,2961.0,503965.0
2015-03-20,33.85,33.62,32.34,32.34,5097.0,956986.0
2015-03-23,33.85,33.65,33.51,33.56,2894.0,345068.0
2015-03-24,33.68,33.3,33.24,33.48,2490.0,286875.0
2015-03-25,33.56,32.61,32.58,33.33,1889.0,232978.0
2015-03-26,32.65,32.39,32.24,32.43,2237.0,230634.0
2015-03-27,32.6,32.3,32.17,32.33,1564.0,239211.0
2015-03-30,33.09,33.04,32.19,32.35,3183.0,923374.0
2015-03-31,33.21,33.19,32.6901,32.97,3355.0,541946.0
2015-04-01,33.22,33.09,32.65,33.11,2241.0,330571.0
2015-04-02,33.705,33.62,33.04,33.15,2752.0,467306.0
2015-04-06,34.25,33.95,33.64,33.64,3361.0,523496.0
2015-04-07,33.4,32.8,32.77,33.3,15454.0,3364971.0
2015-04-08,33.15,33.15,32.83,32.9,5113.0,939506.0
2015-04-09,33.11,31.78,31.72,33.0,7619.0,1036750.0
2015-04-10,32.34,31.97,31.792,32.03,4753.0,675472.0
2015-04-13,32.23,31.86,31.86,32.03,4059.0,517803.0
2015-04-14,32.15,31.81,31.575,31.98,5857.0,964996.0
2015-04-15,31.97,31.64,31.4,31.9,4363.0,606472.0
2015-04-16,31.96,31.66,31.47,31.63,4228.0,514948.0
2015-04-17,31.66,31.32,31.09,31.5,3443.0,618735.0
2015-04-20,31.72,31.61,31.23,31.4,4095.0,455975.0
2015-04-21,32.0,31.79,31.5801,31.76,3800.0,599012.0
2015-04-22,31.91,31.84,31.6001,31.73,3094.0,390229.0
2015-04-23,31.93,31.79,31.71,31.74,2548.0,338206.0
2015-04-24,31.96,31.7,31.65,31.89,3772.0,522969.0
2015-04-27,32.28,32.01,31.8001,31.82,4717.0,658358.0
2015-04-28,32.31,31.68,31.59,31.92,3442.0,526505.0
2015-04-29,31.54,30.86,30.83,31.42,3426.0,406065.0
2015-04-30,30.83,30.16,29.86,30.79,6819.0,1308652.0
2015-05-01,30.58,30.24,29.97,30.15,4173.0,633422.0
2015-05-04,30.86,30.54,30.33,30.38,3524.0,393844.0
2015-05-05,30.67,29.82,29.67,30.46,5515.0,671461.0
2015-05-06,30.11,30.06,29.69,29.84,4115.0,437253.0
2015-05-07,30.83,30.66,30.0275,30.11,4863.0,584523.0
2015-05-08,31.87,30.92,30.72,31.14,3949.0,485161.0
2015-05-11,31.0,30.33,30.01,30.78,3916.0,472013.0
2015-05-12,30.79,30.55,29.8,30.09,4087.0,667320.0
2015-05-13,31.03,30.13,30.02,30.75,4547.0,595158.0
2015-05-14,30.66,30.59,30.235,30.36,3250.0,395635.0
2015-05-15,30.93,30.85,30.56,30.66,3540.0,480176.0
2015-05-18,31.13,31.08,30.62,30.7,3159.0,390879.0
2015-05-19,31.11,30.78,30.74,30.96,2438.0,314734.0
2015-05-20,31.15,30.87,30.69,30.86,2510.0,248352.0
2015-05-21,30.86,30.55,30.38,30.86,2434.0,314009.0
2015-05-22,31.0,30.94,30.35,30.6,2921.0,335873.0
2015-05-26,30.91,30.56,30.53,30.91,3994.0,508290.0
2015-05-27,30.91,30.87,30.52,30.57,2448.0,324632.0
2015-05-28,30.88,30.8,30.565,30.82,2241.0,327825.0
2015-05-29,30.76,30.49,30.22,30.76,5034.0,961827.0
2015-06-01,30.77,30.68,30.3,30.56,3415.0,363572.0
2015-06-02,30.59,30.32,30.13,30.51,3407.0,453292.0
2015-06-03,30.38,29.88,29.77,30.32,4633.0,805142.0
