,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,HPP,67535000.0,31883000.0,0.03055,2335140000.0,912683000.0,1.8801463109999998,891000.0,
1,HPP,62824000.0,30484000.0,0.033389999999999996,2801643000.0,787190000.0,1.4379331690000001,23072000.0,
2,HPP,151819000.0,89686000.0,0.14432,6313130000.0,2119157000.0,1.388453016,-37976000.0,
3,HPP,151556000.0,84360000.0,-0.13889,6254509000.0,2088335000.0,1.3737053719999999,-3101000.0,-0.68
4,HPP,154651000.0,87929000.0,-0.07364,6254035000.0,2260716000.0,1.547769656,-1930000.0,-2.1
5,HPP,153537000.0,87379000.0,-0.04596,6039119000.0,2080005000.0,1.586166224,4031000.0,-1.29
6,HPP,154321000.0,85919000.0,-0.013269999999999999,6276923000.0,2338882000.0,1.6823458480000002,1639000.0,-0.27
7,HPP,164583000.0,91154000.0,0.01879,6363355000.0,2407943000.0,1.6275595919999999,2692000.0,0.26
8,HPP,167198000.0,94042000.0,0.00324,6678998000.0,2473326000.0,1.52357719,26106000.0,0.43
9,HPP,168285000.0,99270000.0,0.024659999999999998,6701761000.0,2388388000.0,1.4286730669999999,21116000.0,1.09
10,HPP,180500000.0,103523000.0,0.02288,6864034000.0,2598780000.0,1.4145230659999999,3980000.0,0.78
11,HPP,190021000.0,107318000.0,0.07509,6907090000.0,2424358000.0,1.458544549,11519000.0,0.93
12,HPP,189333000.0,110062000.0,0.02412,6622070000.0,2421380000.0,1.3914426309999999,32986000.0,1.95
13,HPP,174118000.0,95650000.0,0.07082000000000001,6448291000.0,2240688000.0,1.506649189,49240000.0,1.2
14,HPP,175169000.0,96487000.0,0.09171,6559174000.0,2361749000.0,1.3976615940000001,16524000.0,1.94
15,HPP,180698000.0,98612000.0,0.08864,6744850000.0,2471798000.0,1.246980178,17701000.0,1.91
16,HPP,198433000.0,108932000.0,0.10457999999999999,7070879000.0,2828194000.0,1.499477757,16264000.0,1.97
17,HPP,197389000.0,107371000.0,0.08379,7373628000.0,2915185000.0,1.4863997290000002,-39116000.0,
18,HPP,196656000.0,107877000.0,0.06339,7486666000.0,3037557000.0,1.50984404168854,10064000.0,
19,HPP,208218000.0,112148000.0,0.07762000000000001,7428294000.0,2930369000.0,1.68956266826473,59642000.0,
20,HPP,,,,,,,,
