,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,HST,1287000000.0,302000000.0,0.22946,12172000000.0,3957000000.0,2.06194842374323,254000000.0,9.6
1,HST,1302000000.0,312000000.0,0.13135,12010000000.0,3968000000.0,2.0406002497575,98000000.0,8.6
2,HST,1439000000.0,383000000.0,0.19367,12041000000.0,4053000000.0,1.6263199793340801,212000000.0,9.2
3,HST,1283000000.0,306000000.0,0.10295,11980000000.0,4278000000.0,1.61426819706969,85000000.0,9.0
4,HST,1326000000.0,341000000.0,0.20344,11656000000.0,3867000000.0,1.7591780524888798,163000000.0,15.5
5,HST,1339000000.0,329000000.0,0.18903,11690000000.0,3961000000.0,1.70887469392625,182000000.0,15.92
6,HST,1459000000.0,417000000.0,0.25453000000000003,11592000000.0,3715000000.0,1.5941094007845802,347000000.0,20.24
7,HST,1295000000.0,314000000.0,0.11462,11542000000.0,3752000000.0,1.95004411671685,107000000.0,15.34
8,HST,1337000000.0,332000000.0,0.16289,11408000000.0,3649000000.0,1.9574040412525502,126000000.0,10.745
9,HST,1348000000.0,347000000.0,0.1956,11776000000.0,3988000000.0,1.90983357286641,158000000.0,11.47
10,HST,1441000000.0,420000000.0,0.24709,11854000000.0,3992000000.0,1.91293451671494,210000000.0,16.38
11,HST,1254000000.0,302000000.0,0.08276,11771000000.0,3961000000.0,2.06029820247875,104000000.0,14.13
12,HST,1344000000.0,341000000.0,0.1168,11693000000.0,3954000000.0,1.96465032037377,92000000.0,16.56
13,HST,1346000000.0,349000000.0,0.19308,12064000000.0,4266000000.0,2.18253569911289,253000000.0,17.55
14,HST,1518000000.0,452000000.0,0.29880999999999996,12075000000.0,4228000000.0,2.17458334240349,209000000.0,15.215
15,HST,1299000000.0,320000000.0,0.06055,12155000000.0,4079000000.0,1.68029196861421,322000000.0,12.325
16,HST,1361000000.0,346000000.0,0.15474000000000002,12090000000.0,3837000000.0,1.8623516242953402,303000000.0,17.89
17,HST,1390000000.0,386000000.0,0.24447,12577000000.0,3862000000.0,1.7920153901353502,186000000.0,15.62
18,HST,1483000000.0,446000000.0,0.31387,12525000000.0,3864000000.0,1.6858497218809199,286000000.0,17.66
19,HST,1262000000.0,304000000.0,0.1404,13132000000.0,4442000000.0,1.77732697693382,368000000.0,13.83
20,HST,,,,,,,,15.21
