,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,HT,112926000,37287000,0.13243,1855539000,918923000,1.53668373,8695000,
1,HT,95712000,25400000,-0.15242999999999998,1854300000,949888000,1.57250441,-3946000,
2,HT,127030000,48845000,0.32532,1904066000,1035528000,1.410170822,19221000,
3,HT,124515000,43637000,0.22691,1922038000,1090107000,1.380625803,14159000,
4,HT,123128000,41129000,0.20007,1962649000,1169964000,1.3861964869999999,12362000,
5,HT,106870000,25939000,-0.22016999999999998,2088831000,1272521000,1.1579214709999999,-7732000,
6,HT,127723000,48111000,0.9410200000000001,2026495000,1053790000,0.9706783659999999,110211000,
7,HT,120607000,39163000,0.09083,2016368000,1010772000,1.177503746,7994000,
8,HT,111446000,31552000,-0.2884,2155536000,1051899000,0.939491228,6508000,
9,HT,107998000,28161000,0.054470000000000005,2124036000,1070333000,0.918748755,24774000,
10,HT,138004000,46381000,0.11307,2196168000,1070194000,0.8636648690000001,80030000,
11,HT,129589000,38806000,0.00292,2185454000,1083178000,0.8171662829999999,3353000,
12,HT,122646000,32328000,-0.40741,2138336000,1093013000,0.856860095,-8289000,
13,HT,99639000,19018000,-0.4162,2158938000,1094715000,0.9117085690000001,-8044000,
14,HT,133840000,40554000,0.01348,2177720000,1109147000,0.967056595,12537000,
15,HT,127876000,35956000,-0.15114,2166293000,1109083000,0.759875008,2809000,
16,HT,133736000,36265000,-0.12605,2138630000,1093031000,0.7575236679999999,2688000,
17,HT,114793000,23988000,-0.33189,2165276000,1119863000,0.7520334470000001,-6659000,
18,HT,147501000,47073000,-0.017740000000000002,2156474000,1119402000,0.688982263605691,5600000,
19,HT,134995000,37739000,-0.14311,2139062000,1126590000,0.6839467731381279,609000,
