Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2017-02-01,20.42,20.0,19.8,20.1,85136.0,30832953.0
2017-02-02,20.41,20.23,20.04,20.04,20566.0,4901231.0
2017-02-03,20.8,20.63,20.3,20.35,11840.0,2631545.0
2017-02-06,21.14,20.73,20.55,21.14,9378.0,1836800.0
2017-02-07,20.86,20.8,20.62,20.75,10638.0,3521570.0
2017-02-08,20.92,20.84,20.73,20.8,6467.0,973618.0
2017-02-09,20.97,20.88,20.83,20.89,6209.0,1798591.0
2017-02-10,21.87,21.02,20.78,20.92,6475.0,1560824.0
2017-02-13,21.19,21.0,20.955,21.14,4939.0,896041.0
2017-02-14,21.05,21.03,20.75,20.89,4542.0,1143094.0
2017-02-15,21.16,20.91,20.86,21.16,4423.0,1065698.0
2017-02-16,21.05,20.96,20.78,20.8,4031.0,740470.0
2017-02-17,21.215,21.15,20.76,20.93,4005.0,664029.0
2017-02-21,21.5,21.47,21.28,21.3,4825.0,793309.0
2017-02-22,21.65,21.57,21.4,21.45,3900.0,675062.0
2017-02-23,21.81,21.58,21.37,21.68,3743.0,641434.0
2017-02-24,21.71,21.6,21.5,21.52,3520.0,763716.0
2017-02-27,21.99,21.81,21.55,21.58,7185.0,1159288.0
2017-02-28,22.15,21.79,21.765,21.91,7845.0,1583632.0
2017-03-01,22.146,21.53,21.17,22.14,6836.0,1415061.0
2017-03-02,21.78,21.72,21.33,21.6,6323.0,1123486.0
2017-03-03,21.95,21.81,21.26,21.56,7699.0,1077753.0
2017-03-06,22.0,21.92,21.62,21.78,9319.0,1333155.0
2017-03-07,21.98,21.81,21.5,21.8,5460.0,709011.0
2017-03-08,21.82,21.55,21.52,21.78,5281.0,797640.0
2017-03-09,21.74,21.24,21.04,21.6,7738.0,1303081.0
2017-03-10,21.54,21.4,21.28,21.28,7641.0,1193724.0
2017-03-13,21.84,21.38,21.06,21.39,11959.0,1841007.0
2017-03-14,21.45,21.25,21.05,21.38,5756.0,778245.0
2017-03-15,21.6,21.52,21.245,21.39,7455.0,1520784.0
2017-03-16,21.68,21.48,21.25,21.6,7736.0,1181759.0
2017-03-17,21.79,21.6,21.47,21.55,13607.0,8630179.0
2017-03-20,21.65,21.54,21.35,21.5,7251.0,1357769.0
2017-03-21,21.58,21.39,21.315,21.58,8414.0,1762859.0
2017-03-22,21.53,21.5,21.251,21.41,7190.0,1419148.0
2017-03-23,21.55,21.49,21.27,21.35,7403.0,1571324.0
2017-03-24,21.7,21.58,21.5,21.53,7672.0,1069116.0
2017-03-27,21.6,21.53,21.4,21.46,6540.0,894619.0
2017-03-28,21.68,21.64,21.45,21.45,6518.0,988367.0
2017-03-29,21.79,21.69,21.62,21.71,4942.0,878483.0
2017-03-30,21.86,21.75,21.59,21.78,4104.0,551682.0
2017-03-31,21.98,21.83,21.52,21.78,12435.0,5648435.0
2017-04-03,21.89,21.63,21.56,21.85,5974.0,1013715.0
2017-04-04,21.8599,21.54,21.45,21.46,8240.0,1355775.0
2017-04-05,21.6675,21.58,21.45,21.66,5583.0,766778.0
2017-04-06,21.82,21.7,21.46,21.49,6024.0,924919.0
2017-04-07,21.84,21.61,21.58,21.76,3317.0,394134.0
2017-04-10,21.765,21.64,21.6,21.6,3179.0,400707.0
2017-04-11,21.69,21.55,21.43,21.69,4938.0,1138763.0
2017-04-12,21.66,21.55,21.42,21.48,3313.0,652518.0
2017-04-13,21.67,21.29,21.19,21.62,5389.0,962875.0
2017-04-17,21.91,21.67,21.181,21.26,5844.0,931946.0
2017-04-18,21.81,21.77,21.62,21.62,4116.0,812722.0
2017-04-19,21.85,21.75,21.67,21.77,7579.0,1154764.0
2017-04-20,21.825,21.49,21.4,21.68,7668.0,1312592.0
2017-04-21,21.76,21.66,21.17,21.43,10240.0,1174101.0
2017-04-24,21.77,21.64,21.54,21.76,3816.0,576937.0
2017-04-25,21.75,21.72,21.565,21.65,5169.0,733861.0
2017-04-26,21.72,21.68,21.51,21.65,5124.0,632046.0
2017-04-27,21.745,21.59,21.55,21.7,4243.0,457186.0
2017-04-28,21.64,21.55,21.51,21.59,4305.0,782233.0
2017-05-01,21.75,21.68,21.58,21.58,4128.0,704630.0
2017-05-02,21.76,21.52,21.45,21.59,5515.0,1224119.0
2017-05-03,21.53,21.48,21.12,21.38,4948.0,1162872.0
2017-05-04,21.49,21.2,21.09,21.49,6500.0,1759528.0
2017-05-05,21.49,21.27,21.179,21.25,6098.0,899630.0
2017-05-08,21.47,21.28,21.14,21.35,4341.0,816968.0
2017-05-09,21.56,21.45,21.18,21.25,7022.0,1270806.0
2017-05-10,21.89,21.67,21.37,21.37,8633.0,2430792.0
2017-05-11,22.02,21.9,21.39,21.68,7340.0,1253891.0
2017-05-12,21.95,21.79,21.53,21.95,4352.0,709920.0
2017-05-15,21.91,21.9,21.54,21.75,7938.0,1227833.0
2017-05-16,21.91,21.37,21.25,21.86,12138.0,1815054.0
2017-05-17,21.74,21.54,21.25,21.25,8420.0,1234265.0
2017-05-18,21.79,21.65,21.3,21.49,6912.0,1092140.0
2017-05-19,21.93,21.78,21.525,21.71,5514.0,805731.0
2017-05-22,21.9,21.67,21.56,21.7,6769.0,808554.0
2017-05-23,21.88,21.56,21.51,21.78,3960.0,464864.0
2017-05-24,21.74,21.64,21.52,21.54,4051.0,483041.0
2017-05-25,21.74,21.2,21.13,21.74,5362.0,784919.0
2017-05-26,21.31,21.2,21.01,21.25,4276.0,543801.0
2017-05-30,21.4,21.36,21.19,21.19,5826.0,1473123.0
2017-05-31,21.625,21.52,21.33,21.52,4997.0,619775.0
2017-06-01,21.7,21.68,21.44,21.54,2531.0,404099.0
2017-06-02,21.97,21.93,21.65,21.67,4120.0,490139.0
2017-06-05,22.29,21.58,21.57,22.03,6449.0,1266841.0
2017-06-06,21.68,21.52,21.32,21.43,5082.0,673705.0
2017-06-07,21.55,21.3,21.235,21.55,4822.0,676785.0
2017-06-08,21.34,21.18,21.14,21.3,5020.0,776817.0
2017-06-09,21.74,21.4,21.11,21.18,8578.0,2112604.0
2017-06-12,22.43,21.45,21.39,22.43,10120.0,1395164.0
2017-06-13,21.57,21.41,21.39,21.45,12324.0,2058180.0
2017-06-14,21.76,21.5,21.32,21.45,9530.0,1997047.0
2017-06-15,21.56,21.46,21.23,21.44,6249.0,939715.0
