,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,INVH.K,,175100000.0,,,,,,
1,INVH.K,213332000.0,102568000.0,-0.09647,,,,-31335000.0,
2,INVH.K,216685000.0,99306000.0,-0.12199000000000002,9796978000.0,7725957000.0,,-38542000.0,
3,INVH.K,224502000.0,116782000.0,-0.06405,,,,-9975000.0,
4,INVH.K,230496000.0,116277000.0,-0.06666,9918616000.0,7693826000.0,,-19666000.0,10.6
5,INVH.K,233038000.0,112643000.0,-0.07699,9910433000.0,7680956000.0,,-21949000.0,8.8
6,INVH.K,234551000.0,117418000.0,-0.08775,9732351000.0,7570279000.0,,-26649000.0,6.6
7,INVH.K,238750000.0,80867000.0,-0.12390999999999999,9588161000.0,5714391000.0,,-42391000.0,
8,INVH.K,242216000.0,188514000.0,-0.01295,9519326000.0,5645195000.0,3.461449995,5529000.0,
9,INVH.K,243536000.0,116899000.0,-0.02242,9524524000.0,5644275000.0,1.835256814,-22510000.0,
10,INVH.K,329954000.0,174147000.0,-0.01745,18683638000.0,9651662000.0,1.9292224530000002,-45965000.0,
11,INVH.K,423669000.0,225128000.0,-0.01895,18696445000.0,9668850000.0,2.037366499,-17269000.0,
12,INVH.K,432426000.0,233936000.0,-0.015519999999999999,18665362000.0,9662765000.0,1.973401662,-13946000.0,
13,INVH.K,434251000.0,231677000.0,-0.00412,18476648000.0,9454919000.0,1.4130592359999998,1020000.0,
14,INVH.K,432616000.0,243761000.0,0.03199,18063428000.0,9249815000.0,1.4129127369999999,25268000.0,
15,INVH.K,435500000.0,243220000.0,0.0351,17853619000.0,9082524000.0,1.2413108990000001,20822000.0,
16,INVH.K,441582000.0,244958000.0,0.030969999999999998,17714153000.0,8966427000.0,1.539335823,38942000.0,
17,INVH.K,443326000.0,236439000.0,0.034260000000000006,17660018000.0,8657221000.0,1.7239707169999998,33707000.0,
18,INVH.K,,,,,,1.9539628313044899,,
19,INVH.K,,,,,,1.9925934947953101,,
