,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,JBGS.K,,186247000.0,,,,,,
1,JBGS.K,119184000.0,61334000.0,0.15125,3575878000.0,1385868000.0,,15985000.0,
2,JBGS.K,116784000.0,58565000.0,0.1341,,,,11547000.0,
3,JBGS.K,116339000.0,62889000.0,0.1811,,,,16783000.0,
4,JBGS.K,123357000.0,65916000.0,0.23173000000000002,3703329000.0,1421373000.0,,21014000.0,
5,JBGS.K,122040000.0,66773000.0,0.20167000000000002,3660640000.0,1448246000.0,,15398000.0,
6,JBGS.K,116272000.0,59229000.0,0.12424,3686203000.0,1451574000.0,,6318000.0,
7,JBGS.K,118020000.0,62445000.0,0.13802,3909945000.0,1665981000.0,,11341000.0,
8,JBGS.K,152350000.0,59306000.0,-0.16280999999999998,6015027000.0,2139814000.0,,-69831000.0,
9,JBGS.K,156371000.0,56243000.0,-0.06897,6071807000.0,2203799000.0,,-13902000.0,
10,JBGS.K,163037000.0,67818000.0,-0.0055,6061746000.0,2149277000.0,1.865027432,-4190000.0,
11,JBGS.K,159447000.0,68585000.0,-0.006370000000000001,5914949000.0,2054730000.0,1.329924395,20574000.0,
12,JBGS.K,158443000.0,65815000.0,0.07415,6011194000.0,2082655000.0,1.334645308,22830000.0,
13,JBGS.K,163255000.0,63245000.0,-0.08756,5997285000.0,2151214000.0,1.4312162080000002,710000.0,
14,JBGS.K,155199000.0,54279000.0,0.0027,6024694000.0,2148790000.0,1.4683218669999998,24861000.0,
15,JBGS.K,160617000.0,60446000.0,0.00229,6007275000.0,1673057000.0,1.372827974,-3040000.0,
16,JBGS.K,167077000.0,64164000.0,0.02974,6022264000.0,1671296000.0,1.674086771,9360000.0,
17,JBGS.K,,,,,,1.609358922,,
18,JBGS.K,,,,,,1.52769828253398,,
19,JBGS.K,,,,,,1.56721585105456,,
