Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,27.08,26.83,26.66,27.05,11881.0,1698594.0
2015-02-17,27.04,26.76,26.61,26.83,18633.0,3460408.0
2015-02-18,26.99,26.94,26.48,26.76,13654.0,1979217.0
2015-02-19,26.92,26.34,26.305,26.85,17845.0,2604854.0
2015-02-20,26.99,26.9,26.24,26.39,19686.0,4503067.0
2015-02-23,27.28,27.26,26.86,26.88,21885.0,3931980.0
2015-02-24,27.09,26.45,26.37,27.09,23442.0,4283835.0
2015-02-25,26.63,26.45,26.375,26.4,16052.0,3056074.0
2015-02-26,26.37,26.17,26.0,26.37,13114.0,2409782.0
2015-02-27,26.4,26.28,26.01,26.2,12525.0,2361289.0
2015-03-02,26.625,26.31,26.16,26.26,12996.0,2004482.0
2015-03-03,26.43,26.35,26.11,26.21,15449.0,2274798.0
2015-03-04,26.37,25.89,25.81,26.29,14126.0,2315355.0
2015-03-05,26.405,26.18,25.97,26.04,12317.0,1894195.0
2015-03-06,25.69,25.29,25.25,25.69,21704.0,3475355.0
2015-03-09,25.58,25.52,25.345,25.41,13101.0,2057382.0
2015-03-10,25.76,25.6,25.42,25.44,17059.0,2747426.0
2015-03-11,25.76,25.61,25.53,25.6,15332.0,2223586.0
2015-03-12,26.13,26.08,25.64,25.72,11939.0,1765375.0
2015-03-13,26.23,26.04,25.92,26.09,10957.0,1716097.0
2015-03-16,26.59,26.42,26.18,26.18,13940.0,2319696.0
2015-03-17,26.55,26.32,26.22,26.3,10255.0,1559237.0
2015-03-18,27.11,27.06,26.17,26.32,14643.0,1985339.0
2015-03-19,27.18,26.99,26.76,26.91,11827.0,1885727.0
2015-03-20,27.77,27.74,26.92,27.05,17386.0,3717322.0
2015-03-23,27.95,27.65,27.59,27.73,16290.0,2779912.0
2015-03-24,27.67,27.35,27.305,27.58,18977.0,3850144.0
2015-03-25,27.47,26.75,26.72,27.42,14243.0,2249116.0
2015-03-26,26.83,26.45,26.39,26.64,15804.0,2558986.0
2015-03-27,26.71,26.52,26.435,26.45,13604.0,2208268.0
2015-03-30,27.1,27.03,26.54,26.72,17437.0,3024874.0
2015-03-31,27.19,26.85,26.75,26.97,16164.0,3332631.0
2015-04-01,26.63,26.38,26.26,26.55,16125.0,2674062.0
2015-04-02,26.72,26.61,26.38,26.4,13378.0,1822275.0
2015-04-06,27.055,26.96,26.53,26.67,11619.0,2047089.0
2015-04-07,26.92,26.45,26.45,26.92,11412.0,1565474.0
2015-04-08,26.53,26.44,26.335,26.5,6941.0,1063347.0
2015-04-09,26.35,25.76,25.66,26.35,11274.0,1702783.0
2015-04-10,26.22,25.91,25.78,25.88,14505.0,2847169.0
2015-04-13,25.99,25.74,25.73,25.93,8176.0,1482098.0
2015-04-14,26.01,25.81,25.73,25.79,9144.0,1326608.0
2015-04-15,25.86,25.5,25.49,25.85,9727.0,1699201.0
2015-04-16,25.675,25.52,25.28,25.41,11776.0,1809257.0
2015-04-17,25.59,25.3,25.11,25.42,11776.0,1710396.0
2015-04-20,25.48,25.33,25.235,25.4,9477.0,1425615.0
2015-04-21,25.61,25.3,25.28,25.47,10405.0,1909447.0
2015-04-22,25.52,25.17,25.12,25.34,14717.0,3584895.0
2015-04-23,25.35,25.2,25.115,25.15,12451.0,2621827.0
