,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,KIM,283456000,174926000.0,0.72669,11733888000,5721251000,2.315782212,278287000,3.8
1,KIM,294061000,-10543000.0,0.29665,11467304000,5537772000,1.855603928,100501000,8.1
2,KIM,288382000,194022000.0,0.18554,11413984000,5498586000,2.029220819,49907000,5.87
3,KIM,300870000,-89505000.0,0.46241000000000004,11344171000,5376310000,2.218852446,339607000,4.86
4,KIM,297202000,189955000.0,0.31899,11249361000,5162462000,2.357873546,113817000,4.42
5,KIM,291488000,188633000.0,0.53795,11392432000,5188817000,2.5326360269999997,164141000,5.07
6,KIM,285076000,182980000.0,-0.0461,11206102000,5000041000,2.288040057,-53316000,4.68
7,KIM,297026000,187841000.0,0.19505999999999998,11230600000,5066368000,2.017055475,67423000,5.08
8,KIM,293588000,186328000.0,0.15536,11248419000,5124883000,1.786292845,75047000,4.34
9,KIM,297176000,190900000.0,0.35531999999999997,11558320000,5390180000,1.4987501019999998,123533000,4.44
10,KIM,294845000,191232000.0,0.24661,11702241000,5551271000,1.5906516080000002,80497000,4.3
11,KIM,315225000,197161000.0,0.25196999999999997,11763726000,5478927000,1.4818251340000002,53460000,4.66
12,KIM,304078000,192966000.0,0.324,11372502000,5097322000,1.1362681909999999,87119000,4.23
13,KIM,293403000,186982000.0,0.39183,11291783000,5068716000,1.330806358,70146000,
14,KIM,283080000,180514000.0,0.21841,11109521000,4887474000,1.303595207,71908000,
15,KIM,284201000,181691000.0,0.15646,10999100000,4873872000,1.147842271,88161000,
16,KIM,295010000,186244000.0,0.19483,11070200000,4868754000,1.461563694,116169000,
17,KIM,284873000,179094000.0,0.20868,11040903000,4905502000,1.46605761,101027000,
18,KIM,282871000,178926000.0,0.15548,11085131000,5312628000,1.66480745627637,83990000,
19,KIM,296130000,,,10997867000,5315767000,1.78388331218025,109419000,
