Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,57.79,57.55,57.29,57.45,5656.0,652408.0
2015-02-17,57.75,57.6,57.35,57.47,3437.0,339315.0
2015-02-18,58.19,58.16,57.29,57.65,7473.0,1054156.0
2015-02-19,58.37,58.22,57.97,58.13,5617.0,953577.0
2015-02-20,58.37,58.24,58.0,58.02,6316.0,868446.0
2015-02-23,58.41,58.18,57.97,58.3,6843.0,888261.0
2015-02-24,58.4,58.36,57.84,58.08,7278.0,1141469.0
2015-02-25,59.0599,57.9,57.58,58.72,14752.0,1918008.0
2015-02-26,59.12,59.03,57.2428,57.64,10683.0,1394947.0
2015-02-27,58.61,58.1,57.73,58.14,8321.0,1045631.0
2015-03-02,58.53,58.28,57.61,58.03,5731.0,796654.0
2015-03-03,58.95,58.88,57.764,57.86,6427.0,1039633.0
2015-03-04,59.14,58.89,58.46,58.84,6343.0,854902.0
2015-03-05,59.42,59.08,58.82,59.08,6725.0,790581.0
2015-03-06,58.942,57.6,57.2,58.09,8288.0,1193354.0
2015-03-09,57.92,57.59,57.2,57.8,4644.0,618940.0
2015-03-10,57.604,57.37,56.96,57.15,3820.0,474943.0
2015-03-11,57.952,57.69,57.09,57.69,5081.0,745375.0
2015-03-12,58.38,58.34,57.7,57.98,6207.0,786528.0
2015-03-13,57.925,57.88,57.13,57.47,7676.0,1091155.0
2015-03-16,58.53,58.44,57.97,58.09,4944.0,678128.0
2015-03-17,58.64,58.53,58.041,58.32,4450.0,509254.0
2015-03-18,59.35,59.06,58.38,58.73,7034.0,811819.0
2015-03-19,59.24,58.75,58.74,58.94,3908.0,457141.0
2015-03-20,59.49,59.48,58.79,59.01,7856.0,1656190.0
2015-03-23,59.7775,59.16,59.14,59.45,5153.0,604561.0
2015-03-24,59.43,59.19,59.0,59.33,5233.0,707126.0
2015-03-25,59.4,58.53,58.17,59.39,3990.0,421680.0
2015-03-26,58.62,58.09,57.83,58.23,3804.0,602129.0
2015-03-27,58.84,58.73,57.85,58.12,4368.0,501455.0
2015-03-30,59.16,58.99,58.27,58.94,6579.0,799966.0
2015-03-31,59.4,59.27,58.81,59.02,3965.0,539578.0
2015-04-01,59.73,59.67,58.97,59.15,5762.0,768074.0
2015-04-02,59.92,59.58,59.46,59.87,4942.0,648807.0
2015-04-06,59.875,59.65,59.39,59.57,6844.0,1114427.0
2015-04-07,59.87,59.17,59.11,59.87,3718.0,405260.0
2015-04-08,60.06,60.01,59.2798,59.29,4843.0,638528.0
2015-04-09,60.09,59.91,59.45,59.85,3152.0,329146.0
2015-04-10,60.3,60.0,59.8,60.02,4315.0,427490.0
2015-04-13,60.09,59.61,59.49,60.0,3387.0,448916.0
2015-04-14,60.04,59.9,59.31,59.31,4548.0,649690.0
2015-04-15,60.17,59.82,59.79,60.17,3803.0,437438.0
2015-04-16,60.51,60.3,59.49,59.89,4948.0,533359.0
2015-04-17,60.03,59.66,59.43,60.03,4093.0,360274.0
2015-04-20,60.24,59.455,59.38,59.96,4568.0,575313.0
2015-04-21,59.9,59.73,59.54,59.75,3187.0,458792.0
2015-04-22,60.41,60.38,59.5,59.92,4592.0,543525.0
2015-04-23,60.82,60.48,60.24,60.33,3750.0,403208.0
