Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,39.22,39.14,38.75,39.2,3693.0,422099.0
2015-02-17,39.43,38.66,38.54,39.19,4826.0,668397.0
2015-02-18,39.04,39.0,38.48,38.89,6334.0,788269.0
2015-02-19,38.9,38.39,38.29,38.87,3539.0,401466.0
2015-02-20,38.68,38.65,38.25,38.32,5522.0,806432.0
2015-02-23,38.75,38.71,38.39,38.64,5350.0,763169.0
2015-02-24,38.49,37.65,37.545,38.47,6905.0,886459.0
2015-02-25,38.0,37.79,37.57,37.7,6494.0,822728.0
2015-02-26,37.75,37.07,36.99,37.75,4812.0,800967.0
2015-02-27,37.3775,37.22,36.94,37.06,6144.0,896782.0
2015-03-02,37.82,37.33,37.01,37.2,6371.0,807443.0
2015-03-03,37.37,37.09,36.96,37.27,7831.0,974198.0
2015-03-04,37.08,36.46,36.33,37.08,7029.0,1050698.0
2015-03-05,36.83,36.19,36.16,36.48,9336.0,1275696.0
2015-03-06,35.72,35.03,34.725,35.72,7092.0,847576.0
2015-03-09,35.33,34.78,34.7,35.17,6410.0,970197.0
2015-03-10,34.81,34.65,34.47,34.56,8422.0,1522056.0
2015-03-11,34.78,34.54,34.37,34.78,6105.0,952973.0
2015-03-12,35.02,34.91,34.6,34.6,8007.0,1560524.0
2015-03-13,35.12,34.57,34.52,34.94,7148.0,943283.0
2015-03-16,35.21,35.18,34.59,34.69,5127.0,669540.0
2015-03-17,35.565,35.5,34.83,35.18,6054.0,833912.0
2015-03-18,36.39,36.34,35.28,35.51,9105.0,1360945.0
2015-03-19,36.64,36.25,36.06,36.17,6334.0,824229.0
2015-03-20,37.18,37.13,36.14,36.14,7226.0,1561206.0
2015-03-23,37.36,36.9,36.9,37.15,4407.0,803833.0
2015-03-24,36.91,36.33,36.27,36.91,6479.0,802731.0
2015-03-25,36.58,35.95,35.8,36.44,6831.0,819640.0
2015-03-26,35.95,35.78,35.52,35.75,4851.0,479317.0
2015-03-27,36.03,35.97,35.7201,35.93,6613.0,794473.0
2015-03-30,36.155,35.92,35.52,35.56,6381.0,827477.0
2015-03-31,36.1,35.7,35.5,35.79,5050.0,771704.0
2015-04-01,35.93,35.78,35.35,35.7,5212.0,614618.0
2015-04-02,36.39,36.27,35.74,35.8,6154.0,688775.0
2015-04-06,36.795,36.75,36.25,36.44,6413.0,852137.0
2015-04-07,36.72,35.93,35.73,36.72,6243.0,800323.0
2015-04-08,36.25,36.19,35.75,35.88,5755.0,754289.0
2015-04-09,36.21,35.55,35.42,36.1,8259.0,1144172.0
2015-04-10,36.11,35.41,35.38,35.77,5302.0,729846.0
2015-04-13,35.52,35.3,35.26,35.31,3961.0,670514.0
2015-04-14,35.66,35.49,35.21,35.47,4690.0,759442.0
2015-04-15,35.72,35.34,35.28,35.47,5215.0,718799.0
2015-04-16,35.49,35.33,34.93,35.21,6210.0,950343.0
2015-04-17,35.4,35.05,34.82,35.17,5402.0,699136.0
2015-04-20,35.46,35.38,34.99,35.17,7201.0,855030.0
2015-04-21,36.61,35.99,35.51,35.51,8624.0,1588295.0
2015-04-22,36.13,35.6,35.41,35.97,6256.0,975918.0
2015-04-23,35.83,35.56,35.53,35.58,4123.0,511983.0
2015-04-24,35.82,35.3,35.295,35.59,4610.0,941026.0
2015-04-27,35.66,35.36,35.1201,35.47,5024.0,579964.0
2015-04-28,35.49,35.45,35.03,35.25,5730.0,1071066.0
2015-04-29,35.35,35.0,34.98,35.23,7314.0,1548062.0
2015-04-30,35.18,34.84,34.64,34.9,7294.0,1043442.0
2015-05-01,35.4,34.75,34.74,34.9,6762.0,956964.0
2015-05-04,35.22,34.79,34.62,34.92,6156.0,750246.0
2015-05-05,34.75,34.01,33.79,34.68,9198.0,1258884.0
2015-05-06,34.21,33.99,33.69,33.99,4944.0,625634.0
2015-05-07,34.43,34.33,33.87,34.01,4494.0,687706.0
2015-05-08,35.47,34.88,34.57,34.9,5894.0,808377.0
2015-05-11,34.92,34.47,34.13,34.71,5447.0,1134168.0
2015-05-12,34.76,34.67,33.98,34.27,5022.0,666931.0
2015-05-13,35.21,34.56,34.45,34.92,6427.0,845120.0
2015-05-14,35.68,35.61,34.65,34.65,10994.0,1526973.0
2015-05-15,36.26,36.14,35.65,35.73,7125.0,852327.0
2015-05-18,36.26,36.22,35.71,36.0,5382.0,857171.0
2015-05-19,36.64,36.4,35.87,36.07,6638.0,926841.0
