,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,LPT^B20,206901000.0,126999000.0,0.29652,6564504000.0,3142458000.0,1.7516740709999998,30951000.0,4.68
1,LPT^B20,203518000.0,128950000.0,0.23731,6556730000.0,3159710000.0,1.603162006,35513000.0,5.01
2,LPT^B20,198972000.0,126840000.0,0.2571,6689793000.0,3280967000.0,1.576082725,91331000.0,5.49
3,LPT^B20,199381000.0,122364000.0,0.2708,6557629000.0,3147016000.0,1.55505675,81686000.0,5.33
4,LPT^B20,190140000.0,116080000.0,0.25558000000000003,6518298000.0,3145270000.0,1.661168934,57554000.0,5.08
5,LPT^B20,186654000.0,121743000.0,0.3141,6584868000.0,3261555000.0,2.004328999,49627000.0,5.3
6,LPT^B20,190857000.0,122837000.0,0.38591,6722922000.0,3377028000.0,2.057836156,54253000.0,
7,LPT^B20,179055000.0,91358000.0,0.20178,5992813000.0,2556936000.0,2.025166671,195383000.0,
8,LPT^B20,156824000.0,96875000.0,0.2447,6083901000.0,2670230000.0,1.886727676,43032000.0,
9,LPT^B20,163458000.0,99411000.0,0.25937,6159635000.0,2730501000.0,2.000318089,51411000.0,
10,LPT^B20,171587000.0,101200000.0,0.25014000000000003,6309674000.0,2847208000.0,2.015042479,59539000.0,
11,LPT^B20,177419000.0,100156000.0,0.24216,6439757000.0,2909545000.0,2.104226206,128358000.0,
12,LPT^B20,172713000.0,95644000.0,0.22487,6414631000.0,2806278000.0,1.897485136,140181000.0,
13,LPT^B20,165931000.0,40435000.0,-0.05281,6550873000.0,2914858000.0,2.056598772,19614000.0,
14,LPT^B20,161286000.0,100025000.0,0.26447,6819075000.0,3089156000.0,1.99191013,150143000.0,
15,LPT^B20,177843000.0,110316000.0,0.23385,6934394000.0,3092746000.0,1.919438145,169669000.0,
16,LPT^B20,157237000.0,101609000.0,0.26,6938579000.0,3128779000.0,2.15062626547919,54331000.0,
17,LPT^B20,161337000.0,106418000.0,0.32461,6882259000.0,3084374000.0,2.22597313,99769000.0,
18,LPT^B20,163169000.0,111554000.0,0.28789000000000003,7338732000.0,3031267000.0,2.26871437890659,100364000.0,
19,LPT^B20,,,,,,2.46515254414188,,
