Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,94.86,94.14,93.32,94.86,1070.0,97207.0
2015-02-17,94.98,93.3,92.81,94.3,1550.0,131420.0
2015-02-18,94.24,93.92,91.8,93.5,3225.0,366732.0
2015-02-19,94.75,93.34,92.155,93.62,2365.0,207963.0
2015-02-20,94.995,93.95,93.46,93.54,2147.0,203684.0
2015-02-23,95.272,94.55,93.72,93.96,1553.0,140961.0
2015-02-24,94.06,92.81,92.53,94.06,1371.0,110711.0
2015-02-25,94.4499,93.19,92.75,93.15,2225.0,168206.0
2015-02-26,92.59,91.77,91.15,91.52,6118.0,695751.0
2015-02-27,92.4,92.02,91.0,91.91,2718.0,281660.0
2015-03-02,93.48,92.54,91.99,92.38,2106.0,204514.0
2015-03-03,92.56,91.84,91.01,92.28,1728.0,149715.0
2015-03-04,92.06,90.75,90.44,91.68,2785.0,258220.0
2015-03-05,91.72,90.95,90.51,90.76,2946.0,274124.0
2015-03-06,90.39,88.3,88.02,90.22,2960.0,256790.0
2015-03-09,89.45,88.65,88.17,88.87,2254.0,187072.0
2015-03-10,89.37,88.95,88.03,88.36,2596.0,221244.0
2015-03-11,89.33,88.47,88.4,88.94,2862.0,294945.0
2015-03-12,90.8,90.49,89.23,89.23,2734.0,247000.0
2015-03-13,91.25,90.53,90.02,90.81,1909.0,181768.0
2015-03-16,91.91,91.72,90.75,90.78,2051.0,204836.0
2015-03-17,92.27,91.61,90.85,91.43,2290.0,218458.0
2015-03-18,94.345,94.08,91.16,91.89,3114.0,207718.0
2015-03-19,94.71,94.44,93.25,93.67,2588.0,273219.0
2015-03-20,97.48,97.23,94.58,94.58,4616.0,840673.0
2015-03-23,97.76,97.41,96.73,97.23,3267.0,313346.0
2015-03-24,97.35,96.39,95.929,97.08,2574.0,250555.0
2015-03-25,96.822,94.16,93.86,96.63,2845.0,245252.0
2015-03-26,94.51,93.8,93.0,93.98,2209.0,181956.0
2015-03-27,94.69,93.52,93.29,93.93,2571.0,253258.0
2015-03-30,95.085,94.7,93.522,93.53,3059.0,255093.0
2015-03-31,95.51,93.94,93.67,94.68,2596.0,504884.0
2015-04-01,94.398,93.41,92.3101,93.7,2582.0,197804.0
2015-04-02,94.73,93.95,93.4,93.4,1773.0,125918.0
2015-04-06,94.84,94.48,94.02,94.02,1511.0,134697.0
2015-04-07,94.31,93.22,93.15,94.23,1643.0,137593.0
2015-04-08,94.19,93.45,92.82,93.4,1798.0,174224.0
2015-04-09,93.39,91.5,90.92,93.31,1846.0,188473.0
2015-04-10,93.03,91.95,91.56,92.08,2684.0,234218.0
2015-04-13,92.365,91.22,91.22,92.0,2076.0,225140.0
2015-04-14,92.07,91.56,91.22,91.26,2517.0,252135.0
2015-04-15,91.32,90.52,90.17,91.0,2824.0,265677.0
2015-04-16,91.26,90.73,90.28,90.61,3083.0,285231.0
2015-04-17,90.58,89.62,89.35,90.27,3266.0,299363.0
2015-04-20,90.85,90.67,89.68,89.87,3348.0,300612.0
2015-04-21,91.34,90.92,90.26,90.73,2136.0,205077.0
2015-04-22,91.69,91.21,90.35,90.66,1891.0,173657.0
2015-04-23,91.65,90.83,90.45,90.75,1740.0,147557.0
2015-04-24,91.32,91.0,90.5,91.14,2541.0,491492.0
2015-04-27,91.915,90.58,90.23,91.53,2542.0,207488.0
2015-04-28,90.96,90.78,89.61,90.63,1538.0,132469.0
2015-04-29,90.638,88.3,88.2357,90.0,2313.0,181496.0
2015-04-30,89.36,87.34,87.3,87.61,4442.0,409942.0
2015-05-01,89.09,87.84,87.37,87.47,3692.0,319799.0
2015-05-04,88.52,87.8,87.655,88.19,3126.0,295699.0
2015-05-05,88.35,86.34,86.02,87.8,3609.0,331813.0
2015-05-06,86.94,86.66,85.95,86.77,2109.0,168017.0
2015-05-07,88.21,87.95,86.26,86.65,2443.0,217406.0
2015-05-08,90.59,89.97,88.484,88.87,2053.0,167149.0
2015-05-11,90.52,88.35,88.09,89.99,2231.0,174176.0
2015-05-12,89.22,89.14,86.9,88.3,1856.0,184546.0
2015-05-13,90.16,88.09,87.75,89.37,2292.0,158832.0
2015-05-14,89.99,89.87,88.22,88.57,2271.0,183136.0
2015-05-15,91.59,91.5,90.27,90.3,2623.0,241087.0
2015-05-18,92.14,92.03,90.708,91.05,3048.0,289292.0
2015-05-19,92.33,92.05,91.08,91.79,2923.0,273506.0
2015-05-20,92.84,92.0,91.75,92.56,3386.0,368771.0
2015-05-21,92.24,91.2,90.92,91.98,3087.0,312815.0
2015-05-22,92.21,91.28,90.585,90.86,2169.0,208091.0
2015-05-26,91.0884,90.6,90.11,91.04,1996.0,157252.0
2015-05-27,91.41,91.28,90.37,90.93,1403.0,102906.0
2015-05-28,91.86,91.39,90.44,90.98,2315.0,186153.0
2015-05-29,91.59,91.21,90.49,91.39,4338.0,492280.0
2015-06-01,92.5449,91.91,91.15,91.32,2336.0,179566.0
2015-06-02,91.675,90.97,90.6,91.27,1594.0,175978.0
2015-06-03,90.74,89.73,89.49,90.74,2079.0,207627.0
2015-06-04,89.98,89.23,89.01,89.45,1934.0,159066.0
2015-06-05,88.78,87.96,87.5829,88.55,2099.0,220993.0
2015-06-08,87.94,87.23,87.19,87.8,2012.0,163234.0
2015-06-09,87.51,86.72,86.46,87.34,1468.0,113812.0
2015-06-10,88.29,87.2,86.46,86.89,2083.0,182113.0
2015-06-11,87.99,87.95,87.06,87.68,2690.0,226496.0
2015-06-12,88.33,87.85,87.46,87.85,1268.0,102187.0
