,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,LSI,84930000.0,46576000.0,0.70495,1854800000.0,801127000.0,3.283139317,25693000.0,10.54
1,LSI,85408000.0,45840000.0,0.67114,1982178000.0,815095000.0,2.830949912,22451000.0,9.45
2,LSI,90726000.0,52410000.0,0.8287700000000001,2044952000.0,848061000.0,3.013504808,28532000.0,11.71
3,LSI,95428000.0,55860000.0,0.91176,2106812000.0,866028000.0,3.374872762,31504000.0,12.27
4,LSI,95039000.0,54673000.0,0.8613,2118822000.0,827643000.0,3.601405228,30037000.0,11.67
5,LSI,99124000.0,55252000.0,0.79985,2449483000.0,889790000.0,2.827501363,28339000.0,9.38
6,LSI,107005000.0,62717000.0,0.7117600000000001,3426453000.0,1197975000.0,1.926449754,43456000.0,10.81
7,LSI,127801000.0,75409000.0,0.44392,3848116000.0,1637253000.0,1.882431951,-4738000.0,9.43
8,LSI,128679000.0,74864000.0,0.42016000000000003,3857984000.0,1653552000.0,1.8266045169999998,18167000.0,4.77
9,LSI,128320000.0,72653000.0,0.44118999999999997,3857633000.0,1699891000.0,1.6624151809999999,20429000.0,4.18
10,LSI,132784000.0,72467000.0,0.41745,3890671000.0,1732232000.0,1.8544028769999998,19355000.0,4.94
11,LSI,135568000.0,77353000.0,0.76474,3884335000.0,1730572000.0,2.029780813,35496000.0,4.79
12,LSI,133077000.0,77266000.0,0.54923,3876774000.0,1726763000.0,1.916874884,21085000.0,6.72
13,LSI,133094000.0,75041000.0,0.72954,3868914000.0,1752157000.0,2.241476684,33889000.0,6.54
14,LSI,138008000.0,80710000.0,0.84495,3862969000.0,1735551000.0,2.202424378,39274000.0,
15,LSI,141483000.0,83834000.0,0.8466600000000001,3869334000.0,1750945000.0,2.156378426,41120000.0,
16,LSI,138265000.0,79924000.0,0.79138,3892212000.0,1714122000.0,2.203623878,92307000.0,
17,LSI,136522000.0,76791000.0,0.7168100000000001,3958803000.0,1800548000.0,2.166132499,34454000.0,
18,LSI,145028000.0,84728000.0,0.8746299999999999,4034777000.0,1869083000.0,2.4082322568468504,40742000.0,
19,LSI,145634000.0,85674000.0,0.8480700000000001,4188740000.0,1917640000.0,2.36592772092993,140002000.0,
20,LSI,,,,,,,,
