Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,74.31,73.82,73.36,74.31,4359.0,354153.0
2015-02-17,74.74,73.8,73.45,73.81,4221.0,368140.0
2015-02-18,75.14,75.1,73.35,74.1,6494.0,587478.0
2015-02-19,75.01,73.7,73.65,74.84,6583.0,673206.0
2015-02-20,74.67,74.49,73.405,73.56,5117.0,495276.0
2015-02-23,75.2399,74.46,73.885,74.81,5448.0,572798.0
2015-02-24,74.13,73.15,72.63,74.13,4265.0,509759.0
2015-02-25,74.12,73.45,72.55,73.25,4306.0,391227.0
2015-02-26,73.42,71.97,71.87,73.42,4755.0,511442.0
2015-02-27,72.86,72.47,71.72,72.1,5128.0,595245.0
2015-03-02,74.03,73.26,72.61,72.61,3688.0,519312.0
2015-03-03,73.25,73.1,72.42,73.21,4329.0,367793.0
2015-03-04,73.43,73.24,72.83,73.26,7045.0,702328.0
2015-03-05,74.16,73.52,73.34,73.34,6341.0,556518.0
2015-03-06,72.59,71.15,70.67,72.59,5038.0,544430.0
2015-03-09,72.0,71.77,71.26,71.64,4089.0,401020.0
2015-03-10,72.39,71.85,71.63,71.7,4049.0,401658.0
2015-03-11,72.36,72.27,71.63,71.85,5473.0,575207.0
2015-03-12,74.11,73.94,72.23,72.74,5679.0,875852.0
2015-03-13,74.44,74.15,73.4,74.05,5986.0,748068.0
2015-03-16,75.945,75.36,74.11,74.44,5430.0,554157.0
2015-03-17,76.51,76.43,75.3,75.35,6578.0,979744.0
2015-03-18,77.92,77.72,75.91,76.63,6825.0,624034.0
2015-03-19,78.35,77.46,77.18,77.42,5579.0,605478.0
2015-03-20,79.8,79.59,77.72,77.72,6453.0,971887.0
2015-03-23,79.99,79.17,79.06,79.59,6155.0,566285.0
2015-03-24,79.42,78.29,78.23,79.18,4626.0,482772.0
2015-03-25,78.68,76.91,76.7675,78.39,3447.0,276578.0
2015-03-26,77.64,76.72,76.34,76.87,3645.0,274101.0
2015-03-27,77.26,76.73,76.358,76.78,3248.0,305621.0
2015-03-30,78.03,77.87,76.788,77.07,3925.0,283138.0
2015-03-31,78.25,77.27,77.0,77.59,3634.0,407712.0
2015-04-01,77.62,77.32,76.48,77.29,5597.0,463485.0
2015-04-02,78.32,77.97,76.87,76.87,4503.0,393560.0
2015-04-06,78.99,78.8,77.67,78.27,4534.0,427485.0
2015-04-07,78.73,77.49,77.43,78.73,3690.0,317155.0
2015-04-08,78.53,78.15,77.69,77.78,3971.0,391433.0
2015-04-09,78.65,76.07,75.84,78.65,3839.0,318253.0
2015-04-10,76.99,75.67,75.38,76.51,5074.0,432615.0
2015-04-13,75.38,74.79,74.24,74.72,4101.0,602024.0
2015-04-14,75.82,75.4,74.8766,75.22,4190.0,417532.0
2015-04-15,75.6,74.49,74.24,75.48,4028.0,365584.0
2015-04-16,75.31,75.13,73.94,74.17,4088.0,275044.0
2015-04-17,75.36,74.96,74.44,74.88,4318.0,365085.0
2015-04-20,75.58,75.24,74.7,75.04,3707.0,336838.0
2015-04-21,76.09,75.57,75.23,75.62,3502.0,291904.0
2015-04-22,76.59,76.57,75.11,75.53,3718.0,295694.0
2015-04-23,77.29,77.06,76.31,76.38,3675.0,312437.0
2015-04-24,77.47,76.73,76.72,77.15,3173.0,267118.0
2015-04-27,77.55,76.6,76.31,77.03,4366.0,435051.0
2015-04-28,76.99,76.72,75.99,76.64,3084.0,247226.0
2015-04-29,76.5,75.71,75.39,76.15,3969.0,343601.0
2015-04-30,77.11,74.61,74.15,77.11,5516.0,501472.0
2015-05-01,76.7,76.23,74.478,74.76,7024.0,662002.0
2015-05-04,77.5599,77.04,76.53,76.53,7377.0,832926.0
2015-05-05,77.063,74.95,74.69,76.75,8026.0,800289.0
2015-05-06,75.59,75.16,74.68,75.13,5524.0,595313.0
2015-05-07,76.695,76.32,75.24,75.33,4920.0,451791.0
2015-05-08,78.34,77.14,76.604,77.24,3312.0,275089.0
2015-05-11,77.63,75.49,75.24,76.9,3982.0,329230.0
2015-05-12,76.07,75.65,74.385,75.01,3183.0,244848.0
2015-05-13,76.43,74.49,74.24,75.32,5577.0,498754.0
2015-05-14,75.88,75.85,74.65,75.05,4580.0,386482.0
2015-05-15,76.96,76.85,75.9,76.13,2851.0,234028.0
2015-05-18,76.9772,76.84,76.06,76.45,3946.0,381763.0
2015-05-19,77.05,76.77,76.23,76.64,3247.0,299213.0
2015-05-20,77.32,76.86,76.54,76.97,2916.0,238764.0
2015-05-21,77.48,76.79,76.44,77.09,4193.0,430906.0
2015-05-22,77.45,77.04,76.04,76.55,3897.0,406326.0
2015-05-26,76.9,76.25,76.0,76.9,3102.0,223033.0
2015-05-27,77.23,77.09,75.95,76.41,3649.0,303099.0
2015-05-28,77.47,77.33,76.81,77.15,5534.0,503170.0
2015-05-29,77.43,76.39,76.21,77.34,6565.0,865133.0
2015-06-01,77.45,77.37,76.1,76.63,4864.0,460100.0
2015-06-02,77.06,76.16,75.98,76.96,3038.0,262419.0
2015-06-03,76.85,74.59,74.56,76.2,3639.0,340553.0
2015-06-04,75.0,74.75,74.19,74.55,3887.0,407345.0
2015-06-05,75.05,74.56,73.63,74.1,5430.0,604412.0
2015-06-08,74.83,73.96,73.96,74.71,3504.0,295333.0
2015-06-09,74.28,73.17,73.0,74.02,4721.0,489434.0
2015-06-10,74.31,73.63,72.81,73.22,4898.0,444796.0
2015-06-11,74.62,74.09,73.79,74.03,4155.0,369224.0
2015-06-12,74.77,74.22,74.03,74.2,2939.0,337124.0
2015-06-15,74.18,73.58,73.52,74.18,3729.0,412736.0
2015-06-16,74.45,74.07,73.14,73.77,4656.0,463367.0
2015-06-17,74.28,73.98,73.27,74.24,7475.0,1020667.0
2015-06-18,75.67,75.15,73.9,74.11,5357.0,511732.0
2015-06-19,75.59,75.18,73.985,74.62,5890.0,868712.0
2015-06-22,75.68,74.59,74.54,75.39,3289.0,315634.0
2015-06-23,75.06,74.09,73.58,74.47,3199.0,299574.0
2015-06-24,74.65,73.93,73.84,74.1,4304.0,442312.0
2015-06-25,74.0,73.27,73.23,73.88,3466.0,329519.0
2015-06-26,74.09,73.92,72.8,73.32,2898.0,334153.0
2015-06-29,74.75,73.29,73.24,73.9,5249.0,504975.0
2015-06-30,73.69,72.81,72.72,73.69,6210.0,565067.0
2015-07-01,74.75,74.75,72.51,73.49,8350.0,988163.0
2015-07-02,76.33,75.38,74.76,75.37,4623.0,457830.0
2015-07-06,75.84,75.65,75.09,75.09,5560.0,522827.0
2015-07-07,76.86,76.46,76.0,76.26,6461.0,511793.0
2015-07-08,76.5699,75.94,75.69,76.29,4192.0,415766.0
2015-07-09,77.155,76.49,75.78,76.45,6607.0,721294.0
2015-07-10,77.57,76.65,76.54,76.68,4834.0,457781.0
2015-07-13,77.268,75.77,75.46,76.54,4103.0,463580.0
2015-07-14,76.64,76.25,75.44,76.06,3882.0,379481.0
2015-07-15,76.615,76.3,75.5,76.05,4492.0,436421.0
2015-07-16,77.16,77.09,76.44,76.55,3992.0,398979.0
2015-07-17,77.47,77.06,76.61,77.31,4391.0,428578.0
2015-07-20,78.06,77.69,76.67,76.79,4605.0,524669.0
2015-07-21,78.46,77.78,77.474,78.14,4387.0,472101.0
2015-07-22,78.61,77.69,77.382,77.72,3681.0,365425.0
2015-07-23,77.86,76.82,76.32,77.82,4549.0,468110.0
2015-07-24,77.1,76.73,76.6,76.78,3880.0,341905.0
2015-07-27,77.55,76.68,76.54,76.75,3215.0,381933.0
2015-07-28,76.8878,76.31,75.94,76.7,3863.0,362485.0
2015-07-29,76.45,76.4,75.59,76.27,6762.0,617012.0
2015-07-30,79.82,79.25,77.34,78.27,11107.0,1249496.0
2015-07-31,80.95,80.34,79.71,80.06,6087.0,674155.0
2015-08-03,81.27,81.18,80.22,80.47,5525.0,616174.0
2015-08-04,81.6125,80.43,80.32,81.07,5688.0,669419.0
2015-08-05,81.29,79.7,79.39,80.5,6312.0,648835.0
2015-08-06,80.77,80.55,79.07,79.78,5997.0,647167.0
2015-08-07,81.5,81.2,79.95,80.47,4421.0,501901.0
2015-08-10,81.89,81.17,80.89,81.53,4653.0,524069.0
2015-08-11,82.19,81.71,80.65,80.93,6723.0,670779.0
2015-08-12,81.98,81.63,80.91,81.69,5264.0,510711.0
2015-08-13,81.86,81.64,80.7,81.26,6841.0,930116.0
