,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,MAA,258552000,143766000.0,0.4637,6799682000,3479493000,2.007962766,61267000,5.3
1,MAA,258891000,145550000.0,0.42648,6843413000,3442244000,1.8926435659999998,136299000,
2,MAA,261998000,146892000.0,0.50322,6887341000,3425135000,2.068766886,91734000,13.1
3,MAA,263338000,151299000.0,0.5823,6847781000,3427568000,2.273361799,42987000,13.5
4,MAA,269016000,152570000.0,0.55348,6827921000,3443963000,2.5688728469999997,43413000,
5,MAA,272236000,154181000.0,0.59542,6869381000,3489425000,2.695755837,45144000,
6,MAA,276898000,155683000.0,0.55015,6881313000,3434157000,2.393202558,84279000,
7,MAA,307198000,176750000.0,0.50879,11604491000,4499712000,2.467347829,39386000,2.31
8,MAA,378908000,213899000.0,0.41407,11559699000,4557184000,1.8006762019999998,41905000,6.28
9,MAA,382791000,216973000.0,0.43177,11534129000,4573052000,1.881784176,48315000,3.75
10,MAA,384550000,216876000.0,0.51456,11532801000,4492834000,1.9246912790000001,114709000,4.16
11,MAA,382738000,221558000.0,0.52753,11491919000,4502057000,1.805755037,123450000,3.52
12,MAA,386017000,219218000.0,0.45446000000000003,11417376000,4498851000,1.6328000530000002,49019000,3.34
13,MAA,390073000,220971000.0,0.5180100000000001,11447129000,4548635000,1.81785786,59807000,5.0
14,MAA,397108000,224838000.0,0.4639,11418987000,4504023000,1.8207811319999998,52791000,
15,MAA,398148000,230548000.0,0.5299,11323781000,4528328000,1.752338019,61282000,
16,MAA,401178000,225099000.0,0.47296000000000005,11303762000,4548098000,2.020795707,63660000,
17,MAA,407390000,229436000.0,0.53238,11274830000,4539989000,2.194406416,61917000,
18,MAA,415632000,230969000.0,0.67286,11247754000,4476114000,2.44521702167375,78645000,
19,MAA,416817000,,,11230450000,4454598000,2.49427113073323,149589000,
