,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,MAC,318335000,170009000.0,0.050710000000000005,13196667000.0,6474354000.0,2.252887286,24611000.0,2.94
1,MAC,322794000,191480000.0,0.1157,13360376000.0,6739208000.0,2.019380061,14395000.0,2.27
2,MAC,326262000,205072000.0,0.22483000000000003,13350181000.0,6826158000.0,2.111236582,33597000.0,3.09
3,MAC,320758000,201207000.0,1.0420200000000002,11235584000.0,5260750000.0,2.356463013,414959000.0,3.8
4,MAC,256000000,141392000.0,-0.061489999999999996,10211345000.0,4658968000.0,2.594692938,420915000.0,0.8
5,MAC,259904000,155538000.0,0.23355,9997679000.0,4912512000.0,2.734521305,45222000.0,0.14
6,MAC,253367000,148290000.0,0.18549000000000002,9941765000.0,4894102000.0,2.761954975,13730000.0,2.82
7,MAC,272000000,168558000.0,0.30505,9958148000.0,4965900000.0,2.4477774219999997,37128000.0,4.26
8,MAC,247045000,135646000.0,0.25656999999999996,9712064000.0,4902408000.0,2.25837598,69243000.0,0.11
9,MAC,247423000,144139000.0,0.18999000000000002,9682206000.0,4987514000.0,2.082005418,26638000.0,1.95
10,MAC,242451000,140950000.0,0.19547,9606911000.0,5050431000.0,2.016127207,17498000.0,2.67
11,MAC,256743000,155220000.0,0.29579,9605862000.0,5170264000.0,2.470558908,32751000.0,5.05
12,MAC,236734000,117472000.0,-0.0669,9157273000.0,5301932000.0,2.1454070290000002,-33573000.0,0.69
13,MAC,234545000,123208000.0,0.11582999999999999,9115217000.0,5357221000.0,2.539450069,7816000.0,
14,MAC,242198000,144949000.0,0.19476,9010730000.0,5257414000.0,2.542275439,74028000.0,
15,MAC,246874000,157438000.0,0.22534,9026808000.0,5360945000.0,2.007303111,11749000.0,
16,MAC,226522000,124284000.0,0.09882,9002921000.0,5375240000.0,2.075077868,7824000.0,
17,MAC,227972000,137208000.0,0.17037,8944099000.0,5433403000.0,1.65804238,15734000.0,
18,MAC,231127000,135547000.0,0.32683,8775973000.0,5323965000.0,1.6155839805356003,46371000.0,
19,MAC,241841000,,,,,1.40576410616,,
