Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2016-04-20,22.88,22.01,21.92,22.75,72131.0,29592040.0
2016-04-21,22.34,21.76,21.76,22.18,14588.0,5023625.0
2016-04-22,22.23,22.0,21.75,21.75,6091.0,1945159.0
2016-04-25,22.29,22.08,22.0,22.0,2778.0,713496.0
2016-04-26,22.405,22.39,22.08,22.1,3525.0,877426.0
2016-04-27,22.53,22.34,22.27,22.35,4010.0,1049387.0
2016-04-28,22.5,22.26,22.15,22.28,4068.0,3043625.0
2016-04-29,22.4,22.07,21.81,22.2,3634.0,818136.0
2016-05-02,22.12,22.02,21.94,22.07,3203.0,872795.0
2016-05-03,22.39,22.35,21.77,22.0,6407.0,1231400.0
2016-05-04,22.55,22.5,22.135,22.2,4391.0,1433348.0
2016-05-05,22.85,22.65,22.21,22.21,7920.0,1312275.0
2016-05-06,23.15,22.79,22.37,22.55,7170.0,1313427.0
2016-05-09,23.19,22.9,22.75,22.79,4058.0,943850.0
2016-05-10,22.96,22.91,22.71,22.9,3129.0,1070202.0
2016-05-11,22.9,22.83,22.67,22.77,3035.0,583155.0
2016-05-12,22.93,22.77,22.67,22.81,2477.0,483540.0
2016-05-13,23.03,22.74,22.5,22.6,3274.0,964514.0
2016-05-16,23.1,22.99,22.61,23.08,4540.0,742245.0
2016-05-17,23.4,22.98,22.95,23.35,6702.0,1737379.0
2016-05-18,23.14,22.89,22.5,23.05,4693.0,876406.0
2016-05-19,23.0,22.78,22.2,22.95,6184.0,1141447.0
2016-05-20,23.04,22.81,22.45,22.89,4100.0,935162.0
2016-05-23,22.8,22.73,22.53,22.8,3264.0,601458.0
2016-05-24,22.78,22.62,22.53,22.67,5505.0,987891.0
2016-05-25,22.83,22.8,22.51,22.7,3807.0,606476.0
2016-05-26,22.91,22.75,22.6,22.73,2661.0,414189.0
2016-05-27,23.15,23.03,22.705,22.87,2826.0,414482.0
2016-05-31,23.11,23.0,22.77,23.11,4057.0,930393.0
2016-06-01,23.85,23.81,23.25,23.4,10654.0,2388172.0
2016-06-02,24.02,23.92,23.8,23.81,7810.0,1433337.0
2016-06-03,24.63,24.25,24.0,24.08,6449.0,1639063.0
2016-06-06,24.45,24.35,24.13,24.25,7457.0,1375666.0
2016-06-07,25.57,25.45,24.33,24.33,12153.0,2663362.0
2016-06-08,25.98,25.12,25.1,25.45,9709.0,1655062.0
2016-06-09,25.54,25.48,25.025,25.16,6007.0,1014618.0
2016-06-10,25.79,25.47,25.13,25.39,4561.0,1012234.0
2016-06-13,25.73,24.74,24.74,25.58,7594.0,1548769.0
2016-06-14,25.12,25.02,24.01,24.84,7003.0,1194073.0
2016-06-15,25.19,24.99,24.9,24.95,4813.0,856984.0
2016-06-16,26.09,26.0,24.68,24.9,5748.0,1550574.0
2016-06-17,27.325,26.9,26.12,26.12,15109.0,3128043.0
2016-06-20,27.89,26.87,26.58,27.06,6074.0,874440.0
2016-06-21,27.1,26.48,26.41,26.86,3372.0,835265.0
2016-06-22,26.28,25.69,25.68,26.28,4532.0,938809.0
2016-06-23,26.0,25.22,25.08,25.61,4733.0,869341.0
2016-06-24,25.52,24.73,24.25,24.97,10361.0,2280869.0
