,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,MGP,0.0,-15326000.0,0.0,,,,0.0,
1,MGP,0.0,-15348000.0,0.0,7790974000.0,0.0,,0.0,
2,MGP,0.0,-14587000.0,0.0,7746580000.0,0.0,,0.0,
3,MGP,0.0,-13212000.0,0.1333,7793639000.0,0.0,,0.0,
4,MGP,0.0,-15620000.0,0.0152,7852529000.0,0.0,,0.0,
5,MGP,110903000.0,93250000.0,0.12675,8201007000.0,3134791000.0,0.251361796,6953000.0,35.41
6,MGP,172499000.0,152108000.0,0.37049,9525562000.0,3620681000.0,1.130393505,10591000.0,
7,MGP,184146000.0,159851000.0,0.25129,9506740000.0,3621942000.0,1.0834631209999999,12394000.0,
8,MGP,183899000.0,160732000.0,0.31346,9449452000.0,3606973000.0,1.1661082440000001,11348000.0,
9,MGP,184456000.0,161153000.0,0.36386,9392823000.0,3601214000.0,1.268772588,10680000.0,
10,MGP,182798000.0,160933000.0,0.2253,10110424000.0,3940803000.0,1.326984932,11025000.0,
11,MGP,214542000.0,182434000.0,0.5475899999999999,10351120000.0,3934628000.0,1.273493446,8722000.0,
12,MGP,215839000.0,183571000.0,0.2869,10309994000.0,3925203000.0,1.158157801,15830000.0,
13,MGP,220390000.0,184728000.0,0.41242,10270065000.0,3923224000.0,1.3369375959999998,13146000.0,
14,MGP,282221000.0,206300000.0,0.33676999999999996,11024220000.0,4684717000.0,1.306992938,19484000.0,
15,MGP,283994000.0,204083000.0,0.30591,10951307000.0,4666949000.0,1.181975163,18605000.0,
16,MGP,203423000.0,196812000.0,0.1121,12326685000.0,4939702000.0,1.460362441,19955000.0,
17,MGP,225759000.0,216148000.0,0.24615,11912808000.0,4852524000.0,1.3607476219999999,21858000.0,
18,MGP,226011000.0,215615000.0,0.34613,11929563000.0,4847408000.0,1.36915761427739,22515000.0,
19,MGP,,,,,,1.42522625964389,,
