,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,MPW,95961000,84705000,0.20598000000000002,3823049000,1882319000,1.842362684,35897000,9.65
1,MPW,99801000,88630000,0.2275,4226125000,2262861000,1.516596254,22407000,12.13
2,MPW,114570000,102065000,0.21279,5633323000,3364119000,1.279771521,23057000,8.9
3,MPW,131545000,119047000,0.26285,5609351000,3322541000,1.2924210870000001,58237000,11.53
4,MPW,134999000,122627000,0.23883000000000001,5710395000,3396604000,1.461724728,57927000,12.3
5,MPW,126300000,113471000,0.20634,5117933000,2758635000,1.6932259809999999,53724000,11.765
6,MPW,126555000,114343000,0.11564,6095337000,2728549000,1.6417236069999999,70358000,10.81
7,MPW,153283000,139073000,0.21524000000000001,6418536000,2909341000,1.205434265,43039000,10.89
8,MPW,156397000,141872000,0.19699,6780730000,3277986000,1.271842581,67970000,9.83
9,MPW,166807000,150575000,0.22963000000000003,7327837000,3221054000,1.271631462,73415000,0.919
10,MPW,176580000,160050000,0.22988000000000003,8927040000,4832264000,1.252081335,76464000,10.48
11,MPW,204961000,187838000,0.21755,9020288000,4898667000,1.31115927,71944000,10.29
12,MPW,205046000,185044000,0.2438,9031840000,4898364000,1.239980914,90601000,10.5
13,MPW,201902000,180430000,0.2407,8956824000,4864261000,1.3338346540000001,111567000,9.95
14,MPW,196996000,173295000,0.2489,8774516000,4043849000,1.4194168040000001,736034000,8.92
15,MPW,180578000,156430000,0.20875,8843643000,4037389000,1.3117785929999999,78483000,7.41
16,MPW,180454000,153937000,0.19799,9231453000,4025497000,1.508759165,75822000,7.47
17,MPW,192549000,161987000,0.20044,10123211000,4880240000,1.401255194,79438000,6.15
18,MPW,224756000,197432000,0.20296,12452153000,6098163000,1.57121944274845,89786000,7.85
19,MPW,256438000,220438000,0.21948,14467331000,7023679000,1.62481770943348,129638000,8.73
