Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,10.72,10.69,10.61,10.66,18679.0,6667241.0
2015-02-17,10.805,10.7,10.63,10.64,16335.0,5838306.0
2015-02-18,10.71,10.69,10.55,10.68,14247.0,4918235.0
2015-02-19,10.79,10.73,10.63,10.67,19711.0,7126110.0
2015-02-20,10.7601,10.72,10.68,10.74,12849.0,5523822.0
2015-02-23,10.76,10.72,10.655,10.72,14121.0,4944984.0
2015-02-24,10.7,10.65,10.61,10.7,21186.0,8078076.0
2015-02-25,10.83,10.64,10.55,10.58,22862.0,8145650.0
2015-02-26,10.65,10.57,10.54,10.62,19304.0,7126081.0
2015-02-27,10.67,10.62,10.56,10.57,20931.0,9704810.0
2015-03-02,10.69,10.61,10.58,10.62,17661.0,6547439.0
2015-03-03,10.62,10.6,10.56,10.61,16676.0,6072082.0
2015-03-04,10.71,10.68,10.58,10.6,22448.0,7178138.0
2015-03-05,10.68,10.61,10.57,10.67,15577.0,5777990.0
2015-03-06,10.55,10.43,10.39,10.51,25933.0,10661505.0
2015-03-09,10.55,10.43,10.41,10.43,16731.0,5986295.0
2015-03-10,10.41,10.35,10.33,10.41,20600.0,7278430.0
2015-03-11,10.41,10.3,10.29,10.36,22430.0,8778366.0
2015-03-12,10.44,10.41,10.32,10.32,20176.0,6807071.0
2015-03-13,10.5,10.5,10.35,10.41,20195.0,9133050.0
2015-03-16,10.6,10.52,10.47,10.47,19300.0,6772496.0
2015-03-17,10.64,10.61,10.51,10.53,15526.0,6203297.0
2015-03-18,10.79,10.72,10.59,10.62,26691.0,11168782.0
2015-03-19,10.77,10.7,10.65,10.72,15878.0,5911943.0
2015-03-20,10.84,10.74,10.71,10.73,36470.0,21202024.0
2015-03-23,10.93,10.87,10.73,10.74,26088.0,11268098.0
2015-03-24,10.9,10.8,10.8,10.9,15366.0,7273951.0
2015-03-25,10.92,10.8,10.8,10.83,25066.0,9440769.0
2015-03-26,10.88,10.82,10.79,10.8,18739.0,7229897.0
2015-03-27,10.61,10.53,10.47,10.54,22349.0,8076747.0
2015-03-30,10.57,10.45,10.42,10.53,23023.0,10501045.0
2015-03-31,10.485,10.4,10.4,10.45,16273.0,9443631.0
2015-04-01,10.48,10.44,10.39,10.4,20739.0,7417983.0
2015-04-02,10.5,10.45,10.42,10.46,13485.0,4169769.0
2015-04-06,10.55,10.52,10.45,10.45,13495.0,5253991.0
2015-04-07,10.55,10.42,10.41,10.54,23162.0,9165512.0
2015-04-08,10.45,10.41,10.36,10.37,24595.0,9907299.0
2015-04-09,10.44,10.34,10.34,10.41,18580.0,9783677.0
2015-04-10,10.45,10.4,10.37,10.37,13485.0,5687992.0
2015-04-13,10.42,10.35,10.35,10.39,17236.0,8239125.0
2015-04-14,10.405,10.32,10.31,10.38,17983.0,9149991.0
2015-04-15,10.36,10.26,10.26,10.31,17509.0,8040995.0
2015-04-16,10.33,10.29,10.21,10.26,15195.0,5454421.0
2015-04-17,10.34,10.29,10.27,10.28,13035.0,5719461.0
2015-04-20,10.32,10.32,10.27,10.3,16291.0,5913771.0
2015-04-21,10.35,10.25,10.24,10.32,13374.0,6033492.0
2015-04-22,10.28,10.27,10.225,10.26,9979.0,4193459.0
2015-04-23,10.28,10.26,10.24,10.27,10811.0,4245769.0
2015-04-24,10.27,10.25,10.23,10.26,9928.0,4386062.0
2015-04-27,10.26,10.23,10.22,10.23,15907.0,5121904.0
2015-04-28,10.24,10.15,10.1,10.21,22393.0,8028746.0
2015-04-29,10.15,10.1,10.04,10.06,24954.0,12289468.0
2015-04-30,10.14,10.07,10.01,10.13,30805.0,17184671.0
2015-05-01,10.16,10.12,10.05,10.05,19833.0,8130883.0
2015-05-04,10.17,10.15,10.09,10.1,20171.0,8519046.0
2015-05-05,10.14,10.04,10.02,10.14,23852.0,8600181.0
2015-05-06,10.03,9.98,9.94,10.02,23778.0,11354776.0
2015-05-07,10.08,10.06,9.75,9.9,32735.0,14505592.0
2015-05-08,10.16,10.1,10.02,10.11,19542.0,7355103.0
2015-05-11,10.07,10.01,9.99,10.07,22883.0,9693033.0
2015-05-12,10.15,10.1,9.99,10.0,19434.0,7244390.0
