,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,NLY,-465515000,-657536000,-0.71344,88355367000,72628167000,0.739430145,-658076000,10.11571
1,NLY,-296127000,-475290000,-0.5217,78675677000,62878778000,0.6638473460000001,-476409000,7.62667
2,NLY,1080435000,917745000,0.9466399999999999,75545680000,60433575000,0.743008407,900220000,8.735
3,NLY,-468107000,-626352000,-0.68083,75338687000,59542818000,0.7240601109999999,-627294000,9.578330000000001
4,NLY,842394000,677965000,0.68996,75190893000,60964612000,0.807217407,670039000,9.344
5,NLY,-673525000,-866488000,-0.9558700000000001,77443965000,62187096000,0.878925728,-867918000,9.436
6,NLY,-76597000,-273381000,-0.32015,77716470000,61545722000,0.840611112,-278112000,9.31333
7,NLY,928269000,659203000,0.65625,86909306000,69642292000,0.766430664,731216000,8.6375
8,NLY,2088576000,1852174000,1.7906400000000002,87905046000,73080825000,0.900697333,1848570000,9.395
9,NLY,693638000,448290000,0.40929,84658957000,70396763000,0.9714066929999999,440511000,10.2
10,NLY,290497000,20985000,-0.00868,84976578000,70033428000,0.9856723709999999,14624000,11.275
11,NLY,694639000,375399000,0.31438,97574181000,76813339000,0.914378228,367547000,10.295
12,NLY,1129702000,757874000,0.61998,101760050000,84815328000,0.813594857,746922000,9.96667
13,NLY,1758199000,1335609000,1.11722,100382233000,85060173000,0.8561848390000001,1327800000,9.66667
14,NLY,1105622000,606234000,0.48649,98832997000,82559712000,0.8650947609999999,595919000,9.75
15,NLY,1005669000,489200000,0.32682,105961803000,87492703000,0.855936215,385578000,11.05
16,NLY,-1586488000,-2241490000,-1.7368700000000001,105787527000,89157303000,0.93001649,-2254889000,10.1
17,NLY,-109535000,-829616000,-0.62573,119172549000,96902945000,0.838045184,-849150000,11.49667
18,NLY,-953703000,-1769816000,-1.24088,131800776000,113278170000,0.816110192140379,-1776330000,10.9525
19,NLY,82471000,-743885000,-0.53772,128956120000,111489873000,0.89002969043062,-747059000,10.675
